[rospy.client][INFO] 2019-03-07 07:52:52,049: init_node, name[/evader], pid[3227]
[xmlrpc][INFO] 2019-03-07 07:52:52,050: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2019-03-07 07:52:52,053: Started XML-RPC server [http://copter131:41958/]
[rospy.impl.masterslave][INFO] 2019-03-07 07:52:52,053: _ready: http://copter131:41958/
[rospy.init][INFO] 2019-03-07 07:52:52,054: ROS Slave URI: [http://copter131:41958/]
[xmlrpc][INFO] 2019-03-07 07:52:52,054: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2019-03-07 07:52:52,056: Registering with master node http://localhost:11311
[rospy.init][INFO] 2019-03-07 07:52:52,156: registered with master
[rospy.rosout][INFO] 2019-03-07 07:52:52,157: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-07 07:52:52,167: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-07 07:52:52,172: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-07 07:52:52,321: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-07 07:52:52,334: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:39107/], count 0
[rospy.internal][INFO] 2019-03-07 07:52:52,376: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-07 07:52:52,530: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-07 07:52:53,549: topic[/autopilot/acs_pose] adding connection to [http://copter131:55588/], count 0
[rospy.internal][INFO] 2019-03-07 07:52:54,042: topic[/autopilot/status] adding connection to [http://copter131:55588/], count 0
[rospy.internal][INFO] 2019-03-07 07:52:54,264: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-07 07:52:54,550: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:36689/], count 0
[rospy.internal][INFO] 2019-03-07 07:52:55,565: topic[/swarm_control/ap_intent] adding connection to [http://copter131:36689/], count 0
