[rospy.client][INFO] 2012-12-31 16:00:17,900: init_node, name[/simple_ground_attack], pid[2971]
[xmlrpc][INFO] 2012-12-31 16:00:17,919: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2012-12-31 16:00:17,921: Started XML-RPC server [http://copter131:44767/]
[rospy.init][INFO] 2012-12-31 16:00:17,921: ROS Slave URI: [http://copter131:44767/]
[rospy.impl.masterslave][INFO] 2012-12-31 16:00:17,921: _ready: http://copter131:44767/
[xmlrpc][INFO] 2012-12-31 16:00:17,929: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2012-12-31 16:00:17,939: Registering with master node http://localhost:11311
[rospy.init][INFO] 2019-03-07 07:52:50,122: registered with master
[rospy.rosout][INFO] 2019-03-07 07:52:50,123: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-07 07:52:50,535: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-07 07:52:50,637: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-07 07:52:50,866: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-07 07:52:51,441: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-07 07:52:52,536: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-07 07:52:52,791: topic[/safety/payload_rate] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-07 07:52:53,210: topic[/autopilot/waypoint_goto] adding connection to [/autopilot], count 0
[rospy.internal][INFO] 2019-03-07 07:52:54,058: topic[/autopilot/status] adding connection to [http://copter131:55588/], count 0
[rospy.internal][INFO] 2019-03-07 07:52:54,279: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-07 07:52:54,581: topic[/swarm_control/ap_intent] adding connection to [http://copter131:36689/], count 0
[rospy.internal][INFO] 2019-03-07 07:52:55,512: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:36689/], count 0
