[rospy.client][INFO] 2019-03-07 07:54:53,588: init_node, name[/evader], pid[3193]
[xmlrpc][INFO] 2019-03-07 07:54:53,589: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2019-03-07 07:54:53,591: Started XML-RPC server [http://copter131:43759/]
[rospy.impl.masterslave][INFO] 2019-03-07 07:54:53,591: _ready: http://copter131:43759/
[rospy.init][INFO] 2019-03-07 07:54:53,591: ROS Slave URI: [http://copter131:43759/]
[xmlrpc][INFO] 2019-03-07 07:54:53,592: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2019-03-07 07:54:53,594: Registering with master node http://localhost:11311
[rospy.init][INFO] 2019-03-07 07:54:53,692: registered with master
[rospy.rosout][INFO] 2019-03-07 07:54:53,693: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-07 07:54:53,707: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-07 07:54:53,717: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-07 07:54:53,869: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-07 07:54:54,144: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:43931/], count 0
[rospy.internal][INFO] 2019-03-07 07:54:54,235: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-07 07:54:54,251: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-07 07:54:54,814: topic[/autopilot/acs_pose] adding connection to [http://copter131:33690/], count 0
[rospy.internal][INFO] 2019-03-07 07:54:55,207: topic[/autopilot/status] adding connection to [http://copter131:33690/], count 0
[rospy.internal][INFO] 2019-03-07 07:54:55,312: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-07 07:54:55,484: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:34655/], count 0
[rospy.internal][INFO] 2019-03-07 07:54:55,596: topic[/swarm_control/ap_intent] adding connection to [http://copter131:34655/], count 0
