[rospy.client][INFO] 2019-03-07 07:54:51,549: init_node, name[/simple_ground_attack], pid[2969]
[xmlrpc][INFO] 2019-03-07 07:54:51,557: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2019-03-07 07:54:51,558: Started XML-RPC server [http://copter131:33188/]
[rospy.impl.masterslave][INFO] 2019-03-07 07:54:51,560: _ready: http://copter131:33188/
[rospy.init][INFO] 2019-03-07 07:54:51,559: ROS Slave URI: [http://copter131:33188/]
[xmlrpc][INFO] 2019-03-07 07:54:51,564: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2019-03-07 07:54:51,569: Registering with master node http://localhost:11311
[rospy.init][INFO] 2019-03-07 07:54:51,661: registered with master
[rospy.rosout][INFO] 2019-03-07 07:54:51,662: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-07 07:54:51,713: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-07 07:54:51,850: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-07 07:54:51,868: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-07 07:54:53,446: topic[/autopilot/waypoint_goto] adding connection to [/autopilot], count 0
[rospy.internal][INFO] 2019-03-07 07:54:54,211: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-07 07:54:54,249: topic[/safety/payload_rate] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-07 07:54:54,253: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-07 07:54:55,225: topic[/autopilot/status] adding connection to [http://copter131:33690/], count 0
[rospy.internal][INFO] 2019-03-07 07:54:55,295: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-07 07:54:55,425: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:34655/], count 0
[rospy.internal][INFO] 2019-03-07 07:54:55,572: topic[/swarm_control/ap_intent] adding connection to [http://copter131:34655/], count 0
