[rosmaster.main][INFO] 2012-12-31 16:00:14,363: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-31 16:00:14,363: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-31 16:00:14,365: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2012-12-31 16:00:14,366: Started XML-RPC server [http://copter131:11311/]
[rosmaster.master][INFO] 2012-12-31 16:00:14,366: Master initialized: port[11311], uri[http://copter131:11311/]
[xmlrpc][INFO] 2012-12-31 16:00:14,366: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-31 16:00:14,452: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,454: +PARAM [/roslaunch/uris/host_copter131__33541] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,573: +PARAM [/swarm_team] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,573: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,573: +PARAM [/aircraft_name] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,574: +PARAM [/fetch_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,574: +PARAM [/dis_between_land_points] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,574: +PARAM [/network_port] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,574: +PARAM [/aircraft_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,575: +PARAM [/do_deconflict_land] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,575: +PARAM [/subswarm_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,575: +PARAM [/aircraft_type] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,575: +PARAM [/sensor_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,576: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,576: +PARAM [/runway_pt2_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,576: +PARAM [/runway_pt2_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,576: +PARAM [/flight_ready] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,576: +PARAM [/runway_pt1_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,577: +PARAM [/network_device] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,577: +PARAM [/verify_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,577: +PARAM [/rosbag_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,577: +PARAM [/runway_pt1_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,676: +SERVICE [/rosout/get_loggers] /rosout http://copter131:33448/
[rosmaster.master][INFO] 2012-12-31 16:00:14,678: +SERVICE [/rosout/set_logger_level] /rosout http://copter131:33448/
[rosmaster.master][INFO] 2012-12-31 16:00:14,683: +PUB [/rosout_agg] /rosout http://copter131:33448/
[rosmaster.master][INFO] 2012-12-31 16:00:14,692: +SUB [/rosout] /rosout http://copter131:33448/
[rosmaster.master][INFO] 2012-12-31 16:00:15,510: +PUB [/rosout] /altitude_sensor http://copter131:47094/
[rosmaster.master][INFO] 2012-12-31 16:00:15,541: +SERVICE [/altitude_sensor/get_loggers] /altitude_sensor http://copter131:47094/
[rosmaster.master][INFO] 2012-12-31 16:00:15,559: +SERVICE [/altitude_sensor/set_logger_level] /altitude_sensor http://copter131:47094/
[rosmaster.master][INFO] 2012-12-31 16:00:15,567: publisherUpdate[/rosout] -> http://copter131:33448/
[rosmaster.master][INFO] 2012-12-31 16:00:15,590: +PUB [/tactic_interface/altitude] /altitude_sensor http://copter131:47094/
[rosmaster.master][INFO] 2012-12-31 16:00:15,625: +PUB [/rosout] /radiation_sensor http://copter131:52030/
[rosmaster.master][INFO] 2012-12-31 16:00:15,668: publisherUpdate[/rosout] -> http://copter131:33448/
[rosmaster.master][INFO] 2012-12-31 16:00:15,690: +SERVICE [/radiation_sensor/get_loggers] /radiation_sensor http://copter131:52030/
[rosmaster.master][INFO] 2012-12-31 16:00:15,716: +SERVICE [/radiation_sensor/set_logger_level] /radiation_sensor http://copter131:52030/
[rosmaster.master][INFO] 2012-12-31 16:00:15,740: +PUB [/tactic_interface/radiation] /radiation_sensor http://copter131:52030/
[rosmaster.master][INFO] 2012-12-31 16:00:15,772: -PUB [/tactic_interface/radiation] /radiation_sensor http://copter131:52030/
[rosmaster.master][INFO] 2012-12-31 16:00:15,773: -PUB [/rosout] /radiation_sensor http://copter131:52030/
[rosmaster.master][INFO] 2012-12-31 16:00:15,773: -SERVICE [/radiation_sensor/set_logger_level] /radiation_sensor rosrpc://copter131:42958
[rosmaster.master][INFO] 2012-12-31 16:00:15,774: -SERVICE [/radiation_sensor/get_loggers] /radiation_sensor rosrpc://copter131:42958
[rosmaster.master][INFO] 2012-12-31 16:00:15,776: publisherUpdate[/rosout] -> http://copter131:33448/
[rosmaster.master][INFO] 2012-12-31 16:00:16,035: +PUB [/rosout] /safety http://copter131:52233/
[rosmaster.master][INFO] 2012-12-31 16:00:16,070: publisherUpdate[/rosout] -> http://copter131:33448/
