[rospy.client][INFO] 2012-12-31 16:00:17,693: init_node, name[/simple_ground_attack], pid[2956]
[xmlrpc][INFO] 2012-12-31 16:00:17,706: XML-RPC server binding to 0.0.0.0:0
[rospy.init][INFO] 2012-12-31 16:00:17,710: ROS Slave URI: [http://copter131:53891/]
[xmlrpc][INFO] 2012-12-31 16:00:17,710: Started XML-RPC server [http://copter131:53891/]
[rospy.impl.masterslave][INFO] 2012-12-31 16:00:17,711: _ready: http://copter131:53891/
[xmlrpc][INFO] 2019-03-21 06:46:10,646: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2019-03-21 06:46:10,652: Registering with master node http://localhost:11311
[rospy.init][INFO] 2019-03-21 06:46:10,739: registered with master
[rospy.rosout][INFO] 2019-03-21 06:46:10,739: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-21 06:46:12,236: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-21 06:46:12,256: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-21 06:46:12,410: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-21 06:46:12,414: topic[/safety/payload_rate] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-21 06:46:12,472: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-21 06:46:12,683: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-21 06:46:13,975: topic[/autopilot/waypoint_goto] adding connection to [/autopilot], count 0
[rospy.internal][INFO] 2019-03-21 06:46:14,546: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-21 06:46:14,606: topic[/autopilot/status] adding connection to [http://copter131:59043/], count 0
[rospy.internal][INFO] 2019-03-21 06:46:14,764: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:39935/], count 0
[rospy.internal][INFO] 2019-03-21 06:46:14,909: topic[/swarm_control/ap_intent] adding connection to [http://copter131:39935/], count 0
