[rosmaster.main][INFO] 2012-12-31 16:00:14,413: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-31 16:00:14,413: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-31 16:00:14,415: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2012-12-31 16:00:14,416: Started XML-RPC server [http://copter131:11311/]
[rosmaster.master][INFO] 2012-12-31 16:00:14,416: Master initialized: port[11311], uri[http://copter131:11311/]
[xmlrpc][INFO] 2012-12-31 16:00:14,416: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-31 16:00:14,502: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,505: +PARAM [/roslaunch/uris/host_copter131__47303] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,625: +PARAM [/swarm_team] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,625: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,625: +PARAM [/aircraft_name] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,626: +PARAM [/fetch_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,626: +PARAM [/dis_between_land_points] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,626: +PARAM [/network_port] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,626: +PARAM [/aircraft_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,627: +PARAM [/do_deconflict_land] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,627: +PARAM [/subswarm_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,627: +PARAM [/aircraft_type] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,627: +PARAM [/sensor_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,627: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,628: +PARAM [/runway_pt2_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,628: +PARAM [/runway_pt2_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,628: +PARAM [/flight_ready] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,628: +PARAM [/runway_pt1_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,629: +PARAM [/network_device] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,629: +PARAM [/verify_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,629: +PARAM [/rosbag_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,629: +PARAM [/runway_pt1_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,731: +SERVICE [/rosout/get_loggers] /rosout http://copter131:53415/
[rosmaster.master][INFO] 2012-12-31 16:00:14,733: +SERVICE [/rosout/set_logger_level] /rosout http://copter131:53415/
[rosmaster.master][INFO] 2012-12-31 16:00:14,737: +PUB [/rosout_agg] /rosout http://copter131:53415/
[rosmaster.master][INFO] 2012-12-31 16:00:14,746: +SUB [/rosout] /rosout http://copter131:53415/
[rosmaster.master][INFO] 2012-12-31 16:00:15,665: +PUB [/rosout] /radiation_sensor http://copter131:53261/
[rosmaster.master][INFO] 2012-12-31 16:00:15,718: publisherUpdate[/rosout] -> http://copter131:53415/
[rosmaster.master][INFO] 2012-12-31 16:00:15,745: +SERVICE [/radiation_sensor/get_loggers] /radiation_sensor http://copter131:53261/
[rosmaster.master][INFO] 2012-12-31 16:00:15,771: +SERVICE [/radiation_sensor/set_logger_level] /radiation_sensor http://copter131:53261/
[rosmaster.master][INFO] 2012-12-31 16:00:15,800: +PUB [/tactic_interface/radiation] /radiation_sensor http://copter131:53261/
[rosmaster.master][INFO] 2012-12-31 16:00:15,838: -PUB [/tactic_interface/radiation] /radiation_sensor http://copter131:53261/
[rosmaster.master][INFO] 2012-12-31 16:00:15,839: -PUB [/rosout] /radiation_sensor http://copter131:53261/
[rosmaster.master][INFO] 2012-12-31 16:00:15,839: -SERVICE [/radiation_sensor/set_logger_level] /radiation_sensor rosrpc://copter131:47607
[rosmaster.master][INFO] 2012-12-31 16:00:15,840: -SERVICE [/radiation_sensor/get_loggers] /radiation_sensor rosrpc://copter131:47607
[rosmaster.master][INFO] 2012-12-31 16:00:15,919: publisherUpdate[/rosout] -> http://copter131:53415/
[rosmaster.master][INFO] 2012-12-31 16:00:15,956: +PUB [/rosout] /safety http://copter131:48471/
[rosmaster.master][INFO] 2012-12-31 16:00:16,004: +SERVICE [/safety/get_loggers] /safety http://copter131:48471/
[rosmaster.master][INFO] 2012-12-31 16:00:16,017: +SERVICE [/safety/set_logger_level] /safety http://copter131:48471/
[rosmaster.master][INFO] 2012-12-31 16:00:16,021: publisherUpdate[/rosout] -> http://copter131:53415/
[rosmaster.master][INFO] 2012-12-31 16:00:16,096: +PUB [/rosout] /network http://copter131:40883/
[rosmaster.master][INFO] 2012-12-31 16:00:16,123: publisherUpdate[/rosout] -> http://copter131:53415/
[rosmaster.master][INFO] 2012-12-31 16:00:16,180: +SERVICE [/network/get_loggers] /network http://copter131:40883/
[rosmaster.master][INFO] 2012-12-31 16:00:16,211: +SERVICE [/network/set_logger_level] /network http://copter131:40883/
[rosmaster.master][INFO] 2012-12-31 16:00:16,315: +PUB [/autopilot/heartbeat_onboard] /safety http://copter131:48471/
[rosmaster.master][INFO] 2012-12-31 16:00:16,366: +PUB [/safety/healthy] /safety http://copter131:48471/
[rosmaster.master][INFO] 2012-12-31 16:00:16,386: +PUB [/autopilot/payload_waypoint] /safety http://copter131:48471/
[rosmaster.master][INFO] 2012-12-31 16:00:16,397: +PUB [/autopilot/payload_rate] /safety http://copter131:48471/
[rosmaster.master][INFO] 2012-12-31 16:00:16,405: +PUB [/autopilot/payload_attitude] /safety http://copter131:48471/
[rosmaster.master][INFO] 2012-12-31 16:00:16,480: +PUB [/rosout] /autopilot http://copter131:34450/
[rosmaster.master][INFO] 2012-12-31 16:00:16,528: publisherUpdate[/rosout] -> http://copter131:53415/
[rosmaster.master][INFO] 2012-12-31 16:00:16,590: +PUB [/rosout] /hit_tracker http://copter131:42416/
[rosmaster.master][INFO] 2012-12-31 16:00:16,625: +SERVICE [/autopilot/get_loggers] /autopilot http://copter131:34450/
[rosmaster.master][INFO] 2012-12-31 16:00:16,631: publisherUpdate[/rosout] -> http://copter131:53415/
[rosmaster.master][INFO] 2012-12-31 16:00:16,695: +SERVICE [/autopilot/set_logger_level] /autopilot http://copter131:34450/
[rosmaster.master][INFO] 2012-12-31 16:00:16,736: +SUB [/autopilot/heartbeat_ground] /safety http://copter131:48471/
[rosmaster.master][INFO] 2012-12-31 16:00:16,751: +SERVICE [/hit_tracker/get_loggers] /hit_tracker http://copter131:42416/
[rosmaster.master][INFO] 2012-12-31 16:00:16,812: +PUB [/rosout] /radiation_sensor http://copter131:53448/
[rosmaster.master][INFO] 2012-12-31 16:00:16,818: +SERVICE [/hit_tracker/set_logger_level] /hit_tracker http://copter131:42416/
[rosmaster.master][INFO] 2012-12-31 16:00:16,834: publisherUpdate[/rosout] -> http://copter131:53415/
[rosmaster.master][INFO] 2012-12-31 16:00:16,902: +SERVICE [/hit_tracker/reset] /hit_tracker http://copter131:42416/
[rosmaster.master][INFO] 2012-12-31 16:00:16,940: +SUB [/swarm_control/subswarm_id] /network http://copter131:40883/
[rosmaster.master][INFO] 2012-12-31 16:00:16,953: +SERVICE [/radiation_sensor/get_loggers] /radiation_sensor http://copter131:53448/
[rosmaster.master][INFO] 2012-12-31 16:00:16,978: +SERVICE [/radiation_sensor/set_logger_level] /radiation_sensor http://copter131:53448/
[rosmaster.master][INFO] 2012-12-31 16:00:16,997: +PARAM [/subswarm_id] by /unnamed
[rosmaster.master][INFO] 2012-12-31 16:00:17,010: +PUB [/tactic_interface/radiation] /radiation_sensor http://copter131:53448/
[rosmaster.master][INFO] 2012-12-31 16:00:17,112: -PUB [/tactic_interface/radiation] /radiation_sensor http://copter131:53448/
[rosmaster.master][INFO] 2012-12-31 16:00:17,123: +PUB [/rosout] /recv_pose_rate http://copter131:46702/
[rosmaster.master][INFO] 2012-12-31 16:00:17,124: +PUB [/rosout] /task_runner http://copter131:56920/
[rosmaster.master][INFO] 2012-12-31 16:00:17,124: -PUB [/rosout] /radiation_sensor http://copter131:53448/
[rosmaster.master][INFO] 2012-12-31 16:00:17,125: -SERVICE [/radiation_sensor/set_logger_level] /radiation_sensor rosrpc://copter131:59757
[rosmaster.master][INFO] 2012-12-31 16:00:17,127: -SERVICE [/radiation_sensor/get_loggers] /radiation_sensor rosrpc://copter131:59757
[rosmaster.master][INFO] 2012-12-31 16:00:17,135: publisherUpdate[/rosout] -> http://copter131:53415/
