[rosmaster.main][INFO] 2012-12-31 16:00:14,375: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-31 16:00:14,375: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-31 16:00:14,377: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2012-12-31 16:00:14,378: Started XML-RPC server [http://copter131:11311/]
[rosmaster.master][INFO] 2012-12-31 16:00:14,378: Master initialized: port[11311], uri[http://copter131:11311/]
[xmlrpc][INFO] 2012-12-31 16:00:14,378: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-31 16:00:14,464: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,467: +PARAM [/roslaunch/uris/host_copter131__49900] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,586: +PARAM [/swarm_team] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,587: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,587: +PARAM [/aircraft_name] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,587: +PARAM [/fetch_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,588: +PARAM [/dis_between_land_points] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,588: +PARAM [/network_port] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,588: +PARAM [/aircraft_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,588: +PARAM [/do_deconflict_land] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,589: +PARAM [/subswarm_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,589: +PARAM [/aircraft_type] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,589: +PARAM [/sensor_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,589: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,590: +PARAM [/runway_pt2_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,590: +PARAM [/runway_pt2_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,590: +PARAM [/flight_ready] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,590: +PARAM [/runway_pt1_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,590: +PARAM [/network_device] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,591: +PARAM [/verify_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,591: +PARAM [/rosbag_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,591: +PARAM [/runway_pt1_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,689: +SERVICE [/rosout/get_loggers] /rosout http://copter131:46352/
[rosmaster.master][INFO] 2012-12-31 16:00:14,691: +SERVICE [/rosout/set_logger_level] /rosout http://copter131:46352/
[rosmaster.master][INFO] 2012-12-31 16:00:14,695: +PUB [/rosout_agg] /rosout http://copter131:46352/
[rosmaster.master][INFO] 2012-12-31 16:00:14,704: +SUB [/rosout] /rosout http://copter131:46352/
[rosmaster.master][INFO] 2012-12-31 16:00:15,640: +PUB [/rosout] /altitude_sensor http://copter131:48210/
[rosmaster.master][INFO] 2012-12-31 16:00:15,679: publisherUpdate[/rosout] -> http://copter131:46352/
[rosmaster.master][INFO] 2012-12-31 16:00:15,698: +SERVICE [/altitude_sensor/get_loggers] /altitude_sensor http://copter131:48210/
[rosmaster.master][INFO] 2012-12-31 16:00:15,707: +SERVICE [/altitude_sensor/set_logger_level] /altitude_sensor http://copter131:48210/
[rosmaster.master][INFO] 2012-12-31 16:00:15,713: +PUB [/tactic_interface/altitude] /altitude_sensor http://copter131:48210/
[rosmaster.master][INFO] 2012-12-31 16:00:15,735: +PUB [/rosout] /radiation_sensor http://copter131:57247/
[rosmaster.master][INFO] 2012-12-31 16:00:15,780: publisherUpdate[/rosout] -> http://copter131:46352/
[rosmaster.master][INFO] 2012-12-31 16:00:15,800: +SERVICE [/radiation_sensor/get_loggers] /radiation_sensor http://copter131:57247/
[rosmaster.master][INFO] 2012-12-31 16:00:15,821: +SERVICE [/radiation_sensor/set_logger_level] /radiation_sensor http://copter131:57247/
[rosmaster.master][INFO] 2012-12-31 16:00:15,846: +PUB [/tactic_interface/radiation] /radiation_sensor http://copter131:57247/
[rosmaster.master][INFO] 2012-12-31 16:00:16,070: +PUB [/rosout] /safety http://copter131:32786/
[rosmaster.master][INFO] 2012-12-31 16:00:16,082: publisherUpdate[/rosout] -> http://copter131:46352/
[rosmaster.master][INFO] 2012-12-31 16:00:16,151: +SERVICE [/safety/get_loggers] /safety http://copter131:32786/
[rosmaster.master][INFO] 2012-12-31 16:00:16,170: +SERVICE [/safety/set_logger_level] /safety http://copter131:32786/
[rosmaster.master][INFO] 2012-12-31 16:00:16,281: +PUB [/rosout] /network http://copter131:54483/
[rosmaster.master][INFO] 2012-12-31 16:00:16,287: publisherUpdate[/rosout] -> http://copter131:46352/
[rosmaster.master][INFO] 2012-12-31 16:00:16,375: +SERVICE [/network/get_loggers] /network http://copter131:54483/
[rosmaster.master][INFO] 2012-12-31 16:00:16,411: +PUB [/rosout] /hit_tracker http://copter131:46994/
[rosmaster.master][INFO] 2012-12-31 16:00:16,430: +SERVICE [/network/set_logger_level] /network http://copter131:54483/
[rosmaster.master][INFO] 2012-12-31 16:00:16,488: publisherUpdate[/rosout] -> http://copter131:46352/
[rosmaster.master][INFO] 2012-12-31 16:00:16,532: +SERVICE [/hit_tracker/get_loggers] /hit_tracker http://copter131:46994/
[rosmaster.master][INFO] 2012-12-31 16:00:16,594: +SERVICE [/hit_tracker/set_logger_level] /hit_tracker http://copter131:46994/
[rosmaster.master][INFO] 2012-12-31 16:00:16,614: +PUB [/autopilot/heartbeat_onboard] /safety http://copter131:32786/
[rosmaster.master][INFO] 2012-12-31 16:00:16,635: +SERVICE [/hit_tracker/reset] /hit_tracker http://copter131:46994/
[rosmaster.master][INFO] 2012-12-31 16:00:16,664: +PUB [/rosout] /autopilot http://copter131:49875/
[rosmaster.master][INFO] 2012-12-31 16:00:16,667: +PUB [/safety/healthy] /safety http://copter131:32786/
[rosmaster.master][INFO] 2012-12-31 16:00:16,693: publisherUpdate[/rosout] -> http://copter131:46352/
[rosmaster.master][INFO] 2012-12-31 16:00:16,791: +PUB [/autopilot/payload_waypoint] /safety http://copter131:32786/
[rosmaster.master][INFO] 2012-12-31 16:00:16,851: +SERVICE [/autopilot/get_loggers] /autopilot http://copter131:49875/
[rosmaster.master][INFO] 2012-12-31 16:00:16,856: +PUB [/autopilot/payload_rate] /safety http://copter131:32786/
[rosmaster.master][INFO] 2012-12-31 16:00:16,926: +SERVICE [/autopilot/set_logger_level] /autopilot http://copter131:49875/
