[rospy.client][INFO] 2019-03-19 08:18:27,008: init_node, name[/evader], pid[3136]
[xmlrpc][INFO] 2019-03-19 08:18:27,010: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2019-03-19 08:18:27,011: Started XML-RPC server [http://copter131:50191/]
[rospy.init][INFO] 2019-03-19 08:18:27,011: ROS Slave URI: [http://copter131:50191/]
[rospy.impl.masterslave][INFO] 2019-03-19 08:18:27,012: _ready: http://copter131:50191/
[xmlrpc][INFO] 2019-03-19 08:18:27,013: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2019-03-19 08:18:27,014: Registering with master node http://localhost:11311
[rospy.init][INFO] 2019-03-19 08:18:27,113: registered with master
[rospy.rosout][INFO] 2019-03-19 08:18:27,113: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-19 08:18:27,128: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-19 08:18:27,139: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-19 08:18:27,300: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-19 08:18:27,526: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-19 08:18:27,553: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-19 08:18:27,643: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:53559/], count 0
[rospy.internal][INFO] 2019-03-19 08:18:27,862: topic[/autopilot/acs_pose] adding connection to [http://copter131:54699/], count 0
[rospy.internal][INFO] 2019-03-19 08:18:27,903: topic[/autopilot/status] adding connection to [http://copter131:54699/], count 0
[rospy.internal][INFO] 2019-03-19 08:18:28,490: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-19 08:18:28,762: topic[/swarm_control/ap_intent] adding connection to [http://copter131:47513/], count 0
[rospy.internal][INFO] 2019-03-19 08:18:29,715: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:47513/], count 0
