[rospy.client][INFO] 2019-03-19 08:18:25,591: init_node, name[/simple_ground_attack], pid[2946]
[xmlrpc][INFO] 2019-03-19 08:18:25,611: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2019-03-19 08:18:25,613: Started XML-RPC server [http://copter131:40994/]
[rospy.init][INFO] 2019-03-19 08:18:25,613: ROS Slave URI: [http://copter131:40994/]
[rospy.impl.masterslave][INFO] 2019-03-19 08:18:25,613: _ready: http://copter131:40994/
[xmlrpc][INFO] 2019-03-19 08:18:25,617: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2019-03-19 08:18:25,625: Registering with master node http://localhost:11311
[rospy.init][INFO] 2019-03-19 08:18:25,714: registered with master
[rospy.rosout][INFO] 2019-03-19 08:18:25,715: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-19 08:18:25,839: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-19 08:18:25,954: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-19 08:18:26,083: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-19 08:18:27,199: topic[/autopilot/waypoint_goto] adding connection to [/autopilot], count 0
[rospy.internal][INFO] 2019-03-19 08:18:27,282: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-19 08:18:27,516: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-19 08:18:27,524: topic[/safety/payload_rate] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-19 08:18:27,853: topic[/autopilot/status] adding connection to [http://copter131:54699/], count 0
[rospy.internal][INFO] 2019-03-19 08:18:28,486: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-19 08:18:28,672: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:47513/], count 0
[rospy.internal][INFO] 2019-03-19 08:18:28,744: topic[/swarm_control/ap_intent] adding connection to [http://copter131:47513/], count 0
