[rospy.client][INFO] 2019-03-19 08:18:26,249: init_node, name[/tactic_interface], pid[2962]
[xmlrpc][INFO] 2019-03-19 08:18:26,262: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2019-03-19 08:18:26,263: Started XML-RPC server [http://copter131:54475/]
[rospy.init][INFO] 2019-03-19 08:18:26,263: ROS Slave URI: [http://copter131:54475/]
[rospy.impl.masterslave][INFO] 2019-03-19 08:18:26,277: _ready: http://copter131:54475/
[xmlrpc][INFO] 2019-03-19 08:18:26,292: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2019-03-19 08:18:26,292: Registering with master node http://localhost:11311
[rospy.registration][INFO] 2019-03-19 08:18:26,293: Registering publisher topic [/safety/payload_waypoint] type [autopilot_bridge/LLA] with master
[rospy.registration][INFO] 2019-03-19 08:18:26,399: registering subscriber topic [/autopilot/status] type [autopilot_bridge/Status] with master
[rospy.init][INFO] 2019-03-19 08:18:26,580: registered with master
[rospy.rosout][INFO] 2019-03-19 08:18:26,581: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-19 08:18:26,600: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-19 08:18:26,694: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-19 08:18:26,840: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-19 08:18:27,515: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-19 08:18:27,619: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-19 08:18:27,877: topic[/autopilot/status] adding connection to [http://copter131:54699/], count 0
[rospy.internal][INFO] 2019-03-19 08:18:28,242: topic[/autopilot/acs_pose] adding connection to [http://copter131:54699/], count 0
[rospy.internal][INFO] 2019-03-19 08:18:28,306: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:53559/], count 0
[rospy.internal][INFO] 2019-03-19 08:18:28,495: topic[/autopilot/waypoint_goto] adding connection to [/autopilot], count 0
[rospy.internal][INFO] 2019-03-19 08:18:28,498: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-19 08:18:28,503: topic[/network/swarm_sub_behavior] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-19 08:18:28,514: topic[/air_to_air/firing_reports] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-19 08:18:28,688: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:47513/], count 0
[rospy.internal][INFO] 2019-03-19 08:18:29,719: topic[/swarm_control/ap_intent] adding connection to [http://copter131:47513/], count 0
