[rospy.client][INFO] 2019-03-07 08:07:59,716: init_node, name[/evader], pid[3212]
[xmlrpc][INFO] 2019-03-07 08:07:59,717: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2019-03-07 08:07:59,720: Started XML-RPC server [http://copter131:50504/]
[rospy.init][INFO] 2019-03-07 08:07:59,720: ROS Slave URI: [http://copter131:50504/]
[rospy.impl.masterslave][INFO] 2019-03-07 08:07:59,720: _ready: http://copter131:50504/
[xmlrpc][INFO] 2019-03-07 08:07:59,725: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2019-03-07 08:07:59,726: Registering with master node http://localhost:11311
[rospy.init][INFO] 2019-03-07 08:07:59,821: registered with master
[rospy.rosout][INFO] 2019-03-07 08:07:59,822: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-07 08:07:59,836: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-07 08:07:59,850: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-07 08:08:00,098: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-07 08:08:00,266: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-07 08:08:00,322: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:58623/], count 0
[rospy.internal][INFO] 2019-03-07 08:08:01,584: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-07 08:08:01,625: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-07 08:08:01,798: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:51926/], count 0
[rospy.internal][INFO] 2019-03-07 08:08:02,132: topic[/autopilot/acs_pose] adding connection to [http://copter131:54668/], count 0
[rospy.internal][INFO] 2019-03-07 08:08:02,608: topic[/autopilot/status] adding connection to [http://copter131:54668/], count 0
[rospy.internal][INFO] 2019-03-07 08:08:02,765: topic[/swarm_control/ap_intent] adding connection to [http://copter131:51926/], count 0
