[rospy.client][INFO] 2019-03-07 08:07:59,438: init_node, name[/greedy_shooter], pid[3061]
[xmlrpc][INFO] 2019-03-07 08:07:59,443: XML-RPC server binding to 0.0.0.0:0
[rospy.init][INFO] 2019-03-07 08:07:59,446: ROS Slave URI: [http://copter131:53093/]
[xmlrpc][INFO] 2019-03-07 08:07:59,445: Started XML-RPC server [http://copter131:53093/]
[rospy.impl.masterslave][INFO] 2019-03-07 08:07:59,446: _ready: http://copter131:53093/
[xmlrpc][INFO] 2019-03-07 08:07:59,448: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2019-03-07 08:07:59,449: Registering with master node http://localhost:11311
[rospy.registration][INFO] 2019-03-07 08:07:59,450: Registering publisher topic [/safety/payload_waypoint] type [autopilot_bridge/LLA] with master
[rospy.registration][INFO] 2019-03-07 08:07:59,465: registering subscriber topic [/autopilot/status] type [autopilot_bridge/Status] with master
[rospy.init][INFO] 2019-03-07 08:07:59,546: registered with master
[rospy.rosout][INFO] 2019-03-07 08:07:59,547: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-07 08:07:59,585: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-07 08:07:59,608: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-07 08:07:59,885: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-07 08:08:00,019: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-07 08:08:01,053: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:58623/], count 0
[rospy.internal][INFO] 2019-03-07 08:08:01,103: topic[/autopilot/waypoint_goto] adding connection to [/autopilot], count 0
[rospy.internal][INFO] 2019-03-07 08:08:01,104: topic[/air_to_air/firing_reports] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-07 08:08:01,572: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-07 08:08:01,631: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-07 08:08:01,748: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:51926/], count 0
[rospy.internal][INFO] 2019-03-07 08:08:02,138: topic[/autopilot/acs_pose] adding connection to [http://copter131:54668/], count 0
[rospy.internal][INFO] 2019-03-07 08:08:02,546: topic[/autopilot/status] adding connection to [http://copter131:54668/], count 0
[rospy.internal][INFO] 2019-03-07 08:08:02,766: topic[/swarm_control/ap_intent] adding connection to [http://copter131:51926/], count 0
