[rospy.client][INFO] 2019-03-07 08:07:59,325: init_node, name[/tactic_interface], pid[3002]
[xmlrpc][INFO] 2019-03-07 08:07:59,329: XML-RPC server binding to 0.0.0.0:0
[rospy.init][INFO] 2019-03-07 08:07:59,331: ROS Slave URI: [http://copter131:59677/]
[xmlrpc][INFO] 2019-03-07 08:07:59,331: Started XML-RPC server [http://copter131:59677/]
[rospy.impl.masterslave][INFO] 2019-03-07 08:07:59,331: _ready: http://copter131:59677/
[xmlrpc][INFO] 2019-03-07 08:07:59,333: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2019-03-07 08:07:59,334: Registering with master node http://localhost:11311
[rospy.registration][INFO] 2019-03-07 08:07:59,335: Registering publisher topic [/safety/payload_waypoint] type [autopilot_bridge/LLA] with master
[rospy.registration][INFO] 2019-03-07 08:08:00,340: registering subscriber topic [/autopilot/status] type [autopilot_bridge/Status] with master
[rospy.init][INFO] 2019-03-07 08:08:00,433: registered with master
[rospy.rosout][INFO] 2019-03-07 08:08:00,434: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-07 08:08:00,442: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-07 08:08:00,448: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-07 08:08:00,723: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-07 08:08:00,776: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-07 08:08:00,915: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:58623/], count 0
[rospy.internal][INFO] 2019-03-07 08:08:01,090: topic[/network/swarm_sub_behavior] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-07 08:08:01,095: topic[/air_to_air/firing_reports] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-07 08:08:01,098: topic[/autopilot/waypoint_goto] adding connection to [/autopilot], count 0
[rospy.internal][INFO] 2019-03-07 08:08:01,598: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-07 08:08:01,624: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-07 08:08:01,813: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:51926/], count 0
[rospy.internal][INFO] 2019-03-07 08:08:02,132: topic[/autopilot/acs_pose] adding connection to [http://copter131:54668/], count 0
[rospy.internal][INFO] 2019-03-07 08:08:02,606: topic[/autopilot/status] adding connection to [http://copter131:54668/], count 0
[rospy.internal][INFO] 2019-03-07 08:08:02,761: topic[/swarm_control/ap_intent] adding connection to [http://copter131:51926/], count 0
