[rospy.client][INFO] 2012-12-31 16:00:19,660: init_node, name[/evader], pid[3141]
[xmlrpc][INFO] 2012-12-31 16:00:19,662: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2012-12-31 16:00:19,663: Started XML-RPC server [http://copter131:59647/]
[rospy.init][INFO] 2012-12-31 16:00:19,663: ROS Slave URI: [http://copter131:59647/]
[rospy.impl.masterslave][INFO] 2012-12-31 16:00:19,663: _ready: http://copter131:59647/
[xmlrpc][INFO] 2012-12-31 16:00:19,665: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2012-12-31 16:00:19,668: Registering with master node http://localhost:11311
[rospy.init][INFO] 2012-12-31 16:00:19,764: registered with master
[rospy.rosout][INFO] 2012-12-31 16:00:19,764: initializing /rosout core topic
[rospy.rosout][INFO] 2012-12-31 16:00:20,430: connected to core topic /rosout
[rospy.simtime][INFO] 2012-12-31 16:00:20,438: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2012-12-31 16:00:20,500: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2012-12-31 16:00:20,595: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:54398/], count 0
[rospy.internal][INFO] 2012-12-31 16:00:20,703: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2012-12-31 16:00:20,715: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-28 06:26:00,714: topic[/autopilot/acs_pose] adding connection to [http://copter131:56050/], count 0
[rospy.internal][INFO] 2019-03-28 06:26:00,832: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-28 06:26:01,212: topic[/autopilot/status] adding connection to [http://copter131:56050/], count 0
[rospy.internal][INFO] 2019-03-28 06:26:02,094: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:39929/], count 0
[rospy.internal][INFO] 2019-03-28 06:26:02,207: topic[/swarm_control/ap_intent] adding connection to [http://copter131:39929/], count 0
