[rospy.client][INFO] 2012-12-31 16:00:19,834: init_node, name[/greedy_shooter], pid[3018]
[xmlrpc][INFO] 2012-12-31 16:00:19,836: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2012-12-31 16:00:19,836: Started XML-RPC server [http://copter131:57345/]
[rospy.init][INFO] 2012-12-31 16:00:19,837: ROS Slave URI: [http://copter131:57345/]
[rospy.impl.masterslave][INFO] 2012-12-31 16:00:19,837: _ready: http://copter131:57345/
[rospy.registration][INFO] 2012-12-31 16:00:19,838: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2012-12-31 16:00:19,838: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2012-12-31 16:00:19,838: Registering publisher topic [/safety/payload_waypoint] type [autopilot_bridge/LLA] with master
[rospy.registration][INFO] 2012-12-31 16:00:19,847: registering subscriber topic [/autopilot/status] type [autopilot_bridge/Status] with master
[rospy.init][INFO] 2012-12-31 16:00:19,937: registered with master
[rospy.rosout][INFO] 2012-12-31 16:00:19,938: initializing /rosout core topic
[rospy.rosout][INFO] 2012-12-31 16:00:19,942: connected to core topic /rosout
[rospy.simtime][INFO] 2012-12-31 16:00:19,944: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2012-12-31 16:00:20,053: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2012-12-31 16:00:20,114: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2012-12-31 16:00:20,689: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-28 06:26:00,813: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-28 06:26:00,877: topic[/autopilot/acs_pose] adding connection to [http://copter131:56050/], count 0
[rospy.internal][INFO] 2019-03-28 06:26:00,948: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:54398/], count 0
[rospy.internal][INFO] 2019-03-28 06:26:01,079: topic[/autopilot/waypoint_goto] adding connection to [/autopilot], count 0
[rospy.internal][INFO] 2019-03-28 06:26:01,093: topic[/air_to_air/firing_reports] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-28 06:26:01,186: topic[/autopilot/status] adding connection to [http://copter131:56050/], count 0
[rospy.internal][INFO] 2019-03-28 06:26:02,127: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:39929/], count 0
[rospy.internal][INFO] 2019-03-28 06:26:02,177: topic[/swarm_control/ap_intent] adding connection to [http://copter131:39929/], count 0
