[rosmaster.main][INFO] 2012-12-31 16:00:14,479: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-31 16:00:14,479: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-31 16:00:14,481: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2012-12-31 16:00:14,481: Started XML-RPC server [http://copter131:11311/]
[rosmaster.master][INFO] 2012-12-31 16:00:14,482: Master initialized: port[11311], uri[http://copter131:11311/]
[xmlrpc][INFO] 2012-12-31 16:00:14,482: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-31 16:00:14,570: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,573: +PARAM [/roslaunch/uris/host_copter131__53782] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,692: +PARAM [/swarm_team] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,693: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,693: +PARAM [/aircraft_name] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,693: +PARAM [/fetch_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,693: +PARAM [/dis_between_land_points] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,694: +PARAM [/network_port] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,694: +PARAM [/aircraft_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,694: +PARAM [/do_deconflict_land] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,694: +PARAM [/subswarm_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,695: +PARAM [/aircraft_type] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,695: +PARAM [/sensor_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,695: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,695: +PARAM [/runway_pt2_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,696: +PARAM [/runway_pt2_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,696: +PARAM [/flight_ready] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,696: +PARAM [/runway_pt1_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,696: +PARAM [/network_device] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,697: +PARAM [/verify_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,697: +PARAM [/rosbag_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,697: +PARAM [/runway_pt1_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,794: +SERVICE [/rosout/get_loggers] /rosout http://copter131:49118/
[rosmaster.master][INFO] 2012-12-31 16:00:14,796: +SERVICE [/rosout/set_logger_level] /rosout http://copter131:49118/
[rosmaster.master][INFO] 2012-12-31 16:00:14,800: +PUB [/rosout_agg] /rosout http://copter131:49118/
[rosmaster.master][INFO] 2012-12-31 16:00:14,809: +SUB [/rosout] /rosout http://copter131:49118/
[rosmaster.master][INFO] 2012-12-31 16:00:15,721: +PUB [/rosout] /radiation_sensor http://copter131:47540/
[rosmaster.master][INFO] 2012-12-31 16:00:15,774: +SERVICE [/radiation_sensor/get_loggers] /radiation_sensor http://copter131:47540/
[rosmaster.master][INFO] 2012-12-31 16:00:15,783: publisherUpdate[/rosout] -> http://copter131:49118/
[rosmaster.master][INFO] 2012-12-31 16:00:15,791: +SERVICE [/radiation_sensor/set_logger_level] /radiation_sensor http://copter131:47540/
[rosmaster.master][INFO] 2012-12-31 16:00:15,816: +PUB [/tactic_interface/radiation] /radiation_sensor http://copter131:47540/
[rosmaster.master][INFO] 2012-12-31 16:00:15,921: -PUB [/tactic_interface/radiation] /radiation_sensor http://copter131:47540/
[rosmaster.master][INFO] 2012-12-31 16:00:15,922: -PUB [/rosout] /radiation_sensor http://copter131:47540/
[rosmaster.master][INFO] 2012-12-31 16:00:15,922: -SERVICE [/radiation_sensor/set_logger_level] /radiation_sensor rosrpc://copter131:56827
[rosmaster.master][INFO] 2012-12-31 16:00:15,922: -SERVICE [/radiation_sensor/get_loggers] /radiation_sensor rosrpc://copter131:56827
[rosmaster.master][INFO] 2012-12-31 16:00:15,984: publisherUpdate[/rosout] -> http://copter131:49118/
[rosmaster.master][INFO] 2012-12-31 16:00:16,030: +PUB [/rosout] /safety http://copter131:52374/
[rosmaster.master][INFO] 2012-12-31 16:00:16,069: +SERVICE [/safety/get_loggers] /safety http://copter131:52374/
[rosmaster.master][INFO] 2012-12-31 16:00:16,085: publisherUpdate[/rosout] -> http://copter131:49118/
[rosmaster.master][INFO] 2012-12-31 16:00:16,090: +SERVICE [/safety/set_logger_level] /safety http://copter131:52374/
[rosmaster.master][INFO] 2012-12-31 16:00:16,277: +PUB [/rosout] /network http://copter131:45000/
[rosmaster.master][INFO] 2012-12-31 16:00:16,288: publisherUpdate[/rosout] -> http://copter131:49118/
[rosmaster.master][INFO] 2012-12-31 16:00:16,301: +PUB [/autopilot/heartbeat_onboard] /safety http://copter131:52374/
[rosmaster.master][INFO] 2012-12-31 16:00:16,320: +PUB [/safety/healthy] /safety http://copter131:52374/
[rosmaster.master][INFO] 2012-12-31 16:00:16,324: +SERVICE [/network/get_loggers] /network http://copter131:45000/
[rosmaster.master][INFO] 2012-12-31 16:00:16,348: +PUB [/autopilot/payload_waypoint] /safety http://copter131:52374/
[rosmaster.master][INFO] 2012-12-31 16:00:16,370: +SERVICE [/network/set_logger_level] /network http://copter131:45000/
[rosmaster.master][INFO] 2012-12-31 16:00:16,412: +PUB [/autopilot/payload_rate] /safety http://copter131:52374/
[rosmaster.master][INFO] 2012-12-31 16:00:16,446: +PUB [/autopilot/payload_attitude] /safety http://copter131:52374/
[rosmaster.master][INFO] 2012-12-31 16:00:16,625: +PUB [/rosout] /autopilot http://copter131:56050/
[rosmaster.master][INFO] 2012-12-31 16:00:16,631: +PUB [/rosout] /hit_tracker http://copter131:54398/
[rosmaster.master][INFO] 2012-12-31 16:00:16,693: publisherUpdate[/rosout] -> http://copter131:49118/
[rosmaster.master][INFO] 2012-12-31 16:00:16,697: publisherUpdate[/rosout] -> http://copter131:49118/
[rosmaster.master][INFO] 2012-12-31 16:00:16,736: +SUB [/autopilot/heartbeat_ground] /safety http://copter131:52374/
[rosmaster.master][INFO] 2012-12-31 16:00:16,751: +SERVICE [/autopilot/get_loggers] /autopilot http://copter131:56050/
[rosmaster.master][INFO] 2012-12-31 16:00:16,791: +SERVICE [/hit_tracker/get_loggers] /hit_tracker http://copter131:54398/
[rosmaster.master][INFO] 2012-12-31 16:00:16,831: +SERVICE [/autopilot/set_logger_level] /autopilot http://copter131:56050/
[rosmaster.master][INFO] 2012-12-31 16:00:16,876: +SERVICE [/hit_tracker/set_logger_level] /hit_tracker http://copter131:54398/
[rosmaster.master][INFO] 2012-12-31 16:00:16,951: +SERVICE [/hit_tracker/reset] /hit_tracker http://copter131:54398/
[rosmaster.master][INFO] 2012-12-31 16:00:16,991: +PUB [/rosout] /recv_pose_rate http://copter131:48834/
[rosmaster.master][INFO] 2012-12-31 16:00:16,994: publisherUpdate[/rosout] -> http://copter131:49118/
[rosmaster.master][INFO] 2012-12-31 16:00:17,136: +PARAM [/subswarm_id] by /unnamed
[rosmaster.master][INFO] 2012-12-31 16:00:17,156: +PUB [/rosout] /task_runner http://copter131:42407/
