[rospy.client][INFO] 2012-12-31 16:00:17,988: init_node, name[/simple_ground_attack], pid[2948]
[xmlrpc][INFO] 2012-12-31 16:00:18,000: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2012-12-31 16:00:18,001: Started XML-RPC server [http://copter131:49840/]
[rospy.init][INFO] 2012-12-31 16:00:18,001: ROS Slave URI: [http://copter131:49840/]
[rospy.impl.masterslave][INFO] 2012-12-31 16:00:18,007: _ready: http://copter131:49840/
[xmlrpc][INFO] 2012-12-31 16:00:18,010: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2012-12-31 16:00:18,031: Registering with master node http://localhost:11311
[rospy.init][INFO] 2012-12-31 16:00:18,108: registered with master
[rospy.rosout][INFO] 2012-12-31 16:00:18,108: initializing /rosout core topic
[rospy.rosout][INFO] 2012-12-31 16:00:18,200: connected to core topic /rosout
[rospy.simtime][INFO] 2012-12-31 16:00:18,337: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2012-12-31 16:00:18,375: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2012-12-31 16:00:20,053: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2012-12-31 16:00:20,055: topic[/safety/payload_rate] adding connection to [/safety], count 0
[rospy.internal][INFO] 2012-12-31 16:00:20,678: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-28 06:26:00,377: topic[/autopilot/waypoint_goto] adding connection to [/autopilot], count 0
[rospy.internal][INFO] 2019-03-28 06:26:00,790: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-28 06:26:01,174: topic[/autopilot/status] adding connection to [http://copter131:56050/], count 0
[rospy.internal][INFO] 2019-03-28 06:26:02,030: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:39929/], count 0
[rospy.internal][INFO] 2019-03-28 06:26:02,167: topic[/swarm_control/ap_intent] adding connection to [http://copter131:39929/], count 0
