[rospy.client][INFO] 2019-03-07 07:11:58,823: init_node, name[/constrained_shooter], pid[3103]
[xmlrpc][INFO] 2019-03-07 07:11:58,841: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2019-03-07 07:11:58,842: Started XML-RPC server [http://copter131:52632/]
[rospy.init][INFO] 2019-03-07 07:11:58,842: ROS Slave URI: [http://copter131:52632/]
[rospy.impl.masterslave][INFO] 2019-03-07 07:11:58,843: _ready: http://copter131:52632/
[xmlrpc][INFO] 2019-03-07 07:11:58,852: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2019-03-07 07:11:58,858: Registering with master node http://localhost:11311
[rospy.init][INFO] 2019-03-07 07:11:58,943: registered with master
[rospy.rosout][INFO] 2019-03-07 07:11:58,944: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-07 07:11:59,960: connected to core topic /rosout
[rospy.internal][INFO] 2019-03-07 07:12:00,169: topic[/rosout] adding connection to [/rosout], count 0
[rospy.simtime][INFO] 2019-03-07 07:12:00,967: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-07 07:12:01,150: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-07 07:12:01,224: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-07 07:12:01,461: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-07 07:12:01,603: topic[/autopilot/acs_pose] adding connection to [http://copter131:47350/], count 0
[rospy.internal][INFO] 2019-03-07 07:12:01,613: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:55286/], count 0
[rospy.internal][INFO] 2019-03-07 07:12:01,688: topic[/air_to_air/firing_reports] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-07 07:12:01,925: topic[/swarm_control/ap_intent] adding connection to [http://copter131:38744/], count 0
[rospy.internal][INFO] 2019-03-07 07:12:02,056: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:38744/], count 0
[rospy.internal][INFO] 2019-03-07 07:12:02,174: topic[/autopilot/status] adding connection to [http://copter131:47350/], count 0
