[rospy.client][INFO] 2019-03-07 07:11:57,607: init_node, name[/simple_ground_attack], pid[2983]
[xmlrpc][INFO] 2019-03-07 07:11:57,611: XML-RPC server binding to 0.0.0.0:0
[rospy.init][INFO] 2019-03-07 07:11:57,614: ROS Slave URI: [http://copter131:34519/]
[xmlrpc][INFO] 2019-03-07 07:11:57,614: Started XML-RPC server [http://copter131:34519/]
[rospy.impl.masterslave][INFO] 2019-03-07 07:11:57,614: _ready: http://copter131:34519/
[xmlrpc][INFO] 2019-03-07 07:11:57,629: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2019-03-07 07:11:57,634: Registering with master node http://localhost:11311
[rospy.init][INFO] 2019-03-07 07:11:57,714: registered with master
[rospy.rosout][INFO] 2019-03-07 07:11:57,715: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-07 07:11:58,821: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-07 07:11:58,929: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-07 07:11:59,102: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-07 07:12:00,118: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-07 07:12:00,133: topic[/safety/payload_rate] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-07 07:12:00,696: topic[/autopilot/waypoint_goto] adding connection to [/autopilot], count 0
[rospy.internal][INFO] 2019-03-07 07:12:00,970: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-07 07:12:01,473: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-07 07:12:01,869: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:38744/], count 0
[rospy.internal][INFO] 2019-03-07 07:12:01,898: topic[/swarm_control/ap_intent] adding connection to [http://copter131:38744/], count 0
[rospy.internal][INFO] 2019-03-07 07:12:02,161: topic[/autopilot/status] adding connection to [http://copter131:47350/], count 0
