[rosmaster.main][INFO] 2012-12-31 16:00:14,496: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-31 16:00:14,496: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-31 16:00:14,498: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2012-12-31 16:00:14,499: Started XML-RPC server [http://copter131:11311/]
[rosmaster.master][INFO] 2012-12-31 16:00:14,499: Master initialized: port[11311], uri[http://copter131:11311/]
[xmlrpc][INFO] 2012-12-31 16:00:14,499: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-31 16:00:14,587: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,590: +PARAM [/roslaunch/uris/host_copter131__55523] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,707: +PARAM [/swarm_team] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,707: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,707: +PARAM [/aircraft_name] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,708: +PARAM [/fetch_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,708: +PARAM [/dis_between_land_points] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,708: +PARAM [/network_port] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,708: +PARAM [/aircraft_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,709: +PARAM [/do_deconflict_land] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,709: +PARAM [/subswarm_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,709: +PARAM [/aircraft_type] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,709: +PARAM [/sensor_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,710: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,710: +PARAM [/runway_pt2_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,710: +PARAM [/runway_pt2_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,710: +PARAM [/flight_ready] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,711: +PARAM [/runway_pt1_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,711: +PARAM [/network_device] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,711: +PARAM [/verify_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,711: +PARAM [/rosbag_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,712: +PARAM [/runway_pt1_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,810: +SERVICE [/rosout/get_loggers] /rosout http://copter131:58302/
[rosmaster.master][INFO] 2012-12-31 16:00:14,812: +SERVICE [/rosout/set_logger_level] /rosout http://copter131:58302/
[rosmaster.master][INFO] 2012-12-31 16:00:14,817: +PUB [/rosout_agg] /rosout http://copter131:58302/
[rosmaster.master][INFO] 2012-12-31 16:00:14,826: +SUB [/rosout] /rosout http://copter131:58302/
[rosmaster.master][INFO] 2012-12-31 16:00:15,645: +PUB [/rosout] /altitude_sensor http://copter131:58541/
[rosmaster.master][INFO] 2012-12-31 16:00:15,700: publisherUpdate[/rosout] -> http://copter131:58302/
[rosmaster.master][INFO] 2012-12-31 16:00:15,705: +SERVICE [/altitude_sensor/get_loggers] /altitude_sensor http://copter131:58541/
[rosmaster.master][INFO] 2012-12-31 16:00:15,749: +SERVICE [/altitude_sensor/set_logger_level] /altitude_sensor http://copter131:58541/
[rosmaster.master][INFO] 2012-12-31 16:00:15,795: +PUB [/tactic_interface/altitude] /altitude_sensor http://copter131:58541/
[rosmaster.master][INFO] 2012-12-31 16:00:15,870: +PUB [/rosout] /radiation_sensor http://copter131:44741/
[rosmaster.master][INFO] 2012-12-31 16:00:15,902: publisherUpdate[/rosout] -> http://copter131:58302/
[rosmaster.master][INFO] 2012-12-31 16:00:15,970: +SERVICE [/radiation_sensor/get_loggers] /radiation_sensor http://copter131:44741/
[rosmaster.master][INFO] 2012-12-31 16:00:15,971: +SUB [/autopilot/imu] /altitude_sensor http://copter131:58541/
[rosmaster.master][INFO] 2012-12-31 16:00:15,990: +SERVICE [/radiation_sensor/set_logger_level] /radiation_sensor http://copter131:44741/
