[rospy.client][INFO] 2019-03-21 06:58:34,969: init_node, name[/simple_ground_attack], pid[3057]
[xmlrpc][INFO] 2019-03-21 06:58:34,984: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2019-03-21 06:58:34,990: Started XML-RPC server [http://copter131:56527/]
[rospy.impl.masterslave][INFO] 2019-03-21 06:58:34,991: _ready: http://copter131:56527/
[rospy.init][INFO] 2019-03-21 06:58:34,991: ROS Slave URI: [http://copter131:56527/]
[xmlrpc][INFO] 2019-03-21 06:58:35,014: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2019-03-21 06:58:35,016: Registering with master node http://localhost:11311
[rospy.init][INFO] 2019-03-21 06:58:35,093: registered with master
[rospy.rosout][INFO] 2019-03-21 06:58:35,094: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-21 06:58:35,640: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-21 06:58:35,741: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-21 06:58:35,970: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-21 06:58:36,488: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-21 06:58:36,510: topic[/safety/payload_rate] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-21 06:58:37,540: topic[/autopilot/waypoint_goto] adding connection to [/autopilot], count 0
[rospy.internal][INFO] 2019-03-21 06:58:37,964: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-21 06:58:38,700: topic[/autopilot/status] adding connection to [http://copter131:41662/], count 0
[rospy.internal][INFO] 2019-03-21 06:58:39,283: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-21 06:58:39,472: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:57879/], count 0
[rospy.internal][INFO] 2019-03-21 06:58:39,522: topic[/swarm_control/ap_intent] adding connection to [http://copter131:57879/], count 0
