[rospy.client][INFO] 2019-03-19 07:06:06,113: init_node, name[/tactic_interface], pid[2979]
[xmlrpc][INFO] 2019-03-19 07:06:06,114: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2019-03-19 07:06:06,115: Started XML-RPC server [http://copter131:59101/]
[rospy.init][INFO] 2019-03-19 07:06:06,115: ROS Slave URI: [http://copter131:59101/]
[rospy.impl.masterslave][INFO] 2019-03-19 07:06:06,116: _ready: http://copter131:59101/
[rospy.registration][INFO] 2019-03-19 07:06:06,117: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2019-03-19 07:06:06,117: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2019-03-19 07:06:06,118: Registering publisher topic [/safety/payload_waypoint] type [autopilot_bridge/LLA] with master
[rospy.registration][INFO] 2019-03-19 07:06:06,126: registering subscriber topic [/autopilot/status] type [autopilot_bridge/Status] with master
[rospy.internal][INFO] 2019-03-19 07:06:06,207: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.init][INFO] 2019-03-19 07:06:06,217: registered with master
[rospy.rosout][INFO] 2019-03-19 07:06:06,217: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-19 07:06:06,229: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-19 07:06:06,236: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-19 07:06:06,485: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-19 07:06:06,537: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-19 07:06:06,817: topic[/autopilot/acs_pose] adding connection to [http://copter131:51223/], count 0
[rospy.internal][INFO] 2019-03-19 07:06:06,926: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:50399/], count 0
[rospy.internal][INFO] 2019-03-19 07:06:07,002: topic[/autopilot/status] adding connection to [http://copter131:51223/], count 0
[rospy.internal][INFO] 2019-03-19 07:06:07,023: topic[/air_to_air/firing_reports] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-19 07:06:07,026: topic[/network/swarm_sub_behavior] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-19 07:06:07,045: topic[/autopilot/waypoint_goto] adding connection to [/autopilot], count 0
[rospy.internal][INFO] 2019-03-19 07:06:07,103: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-19 07:06:07,359: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:36181/], count 0
[rospy.internal][INFO] 2019-03-19 07:06:07,417: topic[/swarm_control/ap_intent] adding connection to [http://copter131:36181/], count 0
[rosout][INFO] 2019-03-19 07:20:26,472: tactic_interface activate request False returned False
[rospy.internal][INFO] 2019-03-19 07:20:52,825: topic[/red_tracker/red_uav_states] adding connection to [http://copter131:52645/], count 0
[rospy.internal][INFO] 2019-03-19 07:20:53,363: topic[/swarm_tracker/swarm_uav_states] adding connection to [http://copter131:45081/], count 0
[rosout][INFO] 2019-03-19 07:20:54,067: tactic_interface ready state set to 'True'
[rosout][INFO] 2019-03-19 07:20:54,068: tactic_interface set request returned True
[rosout][INFO] 2019-03-19 07:20:54,175: tactic_interface activate request False returned False
[rosout][INFO] 2019-03-19 07:20:55,211: activating behavior tactic_interface
[rosout][INFO] 2019-03-19 07:20:55,212: tactic_interface activate request True returned True
[rosout][WARNING] 2019-03-19 07:20:55,255: tactic_interface, Timed Loop Error: [Errno 111] Connection refused
[rosout][WARNING] 2019-03-19 07:20:55,339: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:20:55,439: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:20:55,539: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:20:55,638: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:20:55,738: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:20:55,838: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:20:55,939: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:20:56,038: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:20:56,138: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:20:56,238: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:20:56,338: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:20:56,438: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:20:56,538: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:20:56,638: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:20:56,738: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:20:56,838: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:20:56,938: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:20:57,038: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:20:57,138: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:20:57,238: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:20:57,339: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:20:57,438: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:20:57,538: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:20:57,638: tactic_interface, Timed Loop Error: 131 is not in list
