[rosmaster.main][INFO] 2012-12-31 16:00:14,455: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-31 16:00:14,456: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-31 16:00:14,457: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2012-12-31 16:00:14,458: Started XML-RPC server [http://copter131:11311/]
[rosmaster.master][INFO] 2012-12-31 16:00:14,458: Master initialized: port[11311], uri[http://copter131:11311/]
[xmlrpc][INFO] 2012-12-31 16:00:14,458: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-31 16:00:14,547: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,550: +PARAM [/roslaunch/uris/host_copter131__36732] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,670: +PARAM [/swarm_team] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,671: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,671: +PARAM [/aircraft_name] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,671: +PARAM [/fetch_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,671: +PARAM [/dis_between_land_points] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,672: +PARAM [/network_port] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,672: +PARAM [/aircraft_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,672: +PARAM [/do_deconflict_land] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,672: +PARAM [/subswarm_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,673: +PARAM [/aircraft_type] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,673: +PARAM [/sensor_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,673: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,673: +PARAM [/runway_pt2_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,673: +PARAM [/runway_pt2_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,674: +PARAM [/flight_ready] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,674: +PARAM [/runway_pt1_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,674: +PARAM [/network_device] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,674: +PARAM [/verify_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,675: +PARAM [/rosbag_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,675: +PARAM [/runway_pt1_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,773: +SERVICE [/rosout/get_loggers] /rosout http://copter131:38690/
[rosmaster.master][INFO] 2012-12-31 16:00:14,775: +SERVICE [/rosout/set_logger_level] /rosout http://copter131:38690/
[rosmaster.master][INFO] 2012-12-31 16:00:14,781: +PUB [/rosout_agg] /rosout http://copter131:38690/
[rosmaster.master][INFO] 2012-12-31 16:00:14,790: +SUB [/rosout] /rosout http://copter131:38690/
[rosmaster.master][INFO] 2012-12-31 16:00:15,656: +PUB [/rosout] /altitude_sensor http://copter131:54266/
[rosmaster.master][INFO] 2012-12-31 16:00:15,659: publisherUpdate[/rosout] -> http://copter131:38690/
[rosmaster.master][INFO] 2012-12-31 16:00:15,725: +SERVICE [/altitude_sensor/get_loggers] /altitude_sensor http://copter131:54266/
[rosmaster.master][INFO] 2012-12-31 16:00:15,734: +SERVICE [/altitude_sensor/set_logger_level] /altitude_sensor http://copter131:54266/
[rosmaster.master][INFO] 2012-12-31 16:00:15,766: +PUB [/tactic_interface/altitude] /altitude_sensor http://copter131:54266/
[rosmaster.master][INFO] 2012-12-31 16:00:16,113: +PUB [/rosout] /safety http://copter131:47871/
[rosmaster.master][INFO] 2012-12-31 16:00:16,151: +PUB [/rosout] /network http://copter131:39800/
[rosmaster.master][INFO] 2012-12-31 16:00:16,161: publisherUpdate[/rosout] -> http://copter131:38690/
[rosmaster.master][INFO] 2012-12-31 16:00:16,165: publisherUpdate[/rosout] -> http://copter131:38690/
