[rospy.client][INFO] 2012-12-31 16:00:17,988: init_node, name[/simple_ground_attack], pid[2956]
[xmlrpc][INFO] 2012-12-31 16:00:17,990: XML-RPC server binding to 0.0.0.0:0
[rospy.init][INFO] 2012-12-31 16:00:17,993: ROS Slave URI: [http://copter131:39146/]
[xmlrpc][INFO] 2012-12-31 16:00:17,992: Started XML-RPC server [http://copter131:39146/]
[rospy.impl.masterslave][INFO] 2012-12-31 16:00:17,993: _ready: http://copter131:39146/
[xmlrpc][INFO] 2012-12-31 16:00:17,994: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2012-12-31 16:00:17,999: Registering with master node http://localhost:11311
[rospy.init][INFO] 2012-12-31 16:00:18,093: registered with master
[rospy.rosout][INFO] 2012-12-31 16:00:18,094: initializing /rosout core topic
[rospy.rosout][INFO] 2012-12-31 16:00:21,106: connected to core topic /rosout
[rospy.simtime][INFO] 2012-12-31 16:00:21,116: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2012-12-31 16:00:21,235: topic[/safety/payload_rate] adding connection to [/safety], count 0
[rospy.internal][INFO] 2012-12-31 16:00:21,333: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2012-12-31 16:00:21,418: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2012-12-31 16:00:21,566: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-21 05:49:18,601: topic[/autopilot/waypoint_goto] adding connection to [/autopilot], count 0
[rospy.internal][INFO] 2019-03-21 05:49:19,373: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-21 05:49:19,604: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:50014/], count 0
[rospy.internal][INFO] 2019-03-21 05:49:19,857: topic[/autopilot/status] adding connection to [http://copter131:43062/], count 0
[rospy.internal][INFO] 2019-03-21 05:49:20,635: topic[/swarm_control/ap_intent] adding connection to [http://copter131:50014/], count 0
