[rospy.client][INFO] 2012-12-31 16:00:21,068: init_node, name[/tactic_interface], pid[2994]
[xmlrpc][INFO] 2012-12-31 16:00:21,070: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2012-12-31 16:00:21,071: Started XML-RPC server [http://copter131:46367/]
[rospy.impl.masterslave][INFO] 2012-12-31 16:00:21,071: _ready: http://copter131:46367/
[rospy.init][INFO] 2012-12-31 16:00:21,071: ROS Slave URI: [http://copter131:46367/]
[rospy.registration][INFO] 2012-12-31 16:00:21,078: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2012-12-31 16:00:21,078: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2012-12-31 16:00:21,079: Registering publisher topic [/safety/payload_waypoint] type [autopilot_bridge/LLA] with master
[rospy.registration][INFO] 2012-12-31 16:00:21,087: registering subscriber topic [/autopilot/status] type [autopilot_bridge/Status] with master
[rospy.init][INFO] 2012-12-31 16:00:21,172: registered with master
[rospy.rosout][INFO] 2012-12-31 16:00:21,173: initializing /rosout core topic
[rospy.rosout][INFO] 2012-12-31 16:00:21,199: connected to core topic /rosout
[rospy.simtime][INFO] 2012-12-31 16:00:21,216: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2012-12-31 16:00:21,247: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2012-12-31 16:00:21,422: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2012-12-31 16:00:21,553: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-21 05:49:19,313: topic[/autopilot/acs_pose] adding connection to [http://copter131:43062/], count 0
[rospy.internal][INFO] 2019-03-21 05:49:19,315: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:40508/], count 0
[rospy.internal][INFO] 2019-03-21 05:49:19,370: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-21 05:49:19,460: topic[/autopilot/waypoint_goto] adding connection to [/autopilot], count 0
[rospy.internal][INFO] 2019-03-21 05:49:19,529: topic[/network/swarm_sub_behavior] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-21 05:49:19,541: topic[/air_to_air/firing_reports] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-21 05:49:19,594: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:50014/], count 0
[rospy.internal][INFO] 2019-03-21 05:49:19,696: topic[/swarm_control/ap_intent] adding connection to [http://copter131:50014/], count 0
[rospy.internal][INFO] 2019-03-21 05:49:20,248: topic[/autopilot/status] adding connection to [http://copter131:43062/], count 0
