[rospy.client][INFO] 2019-03-07 08:14:58,424: init_node, name[/evader], pid[3226]
[xmlrpc][INFO] 2019-03-07 08:14:58,425: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2019-03-07 08:14:58,426: Started XML-RPC server [http://copter131:38419/]
[rospy.init][INFO] 2019-03-07 08:14:58,427: ROS Slave URI: [http://copter131:38419/]
[rospy.impl.masterslave][INFO] 2019-03-07 08:14:58,427: _ready: http://copter131:38419/
[xmlrpc][INFO] 2019-03-07 08:14:58,430: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2019-03-07 08:14:58,431: Registering with master node http://localhost:11311
[rospy.init][INFO] 2019-03-07 08:14:58,528: registered with master
[rospy.rosout][INFO] 2019-03-07 08:14:58,528: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-07 08:14:58,546: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-07 08:14:58,557: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-07 08:14:58,727: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-07 08:14:58,756: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-07 08:14:58,948: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-07 08:14:58,966: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:47557/], count 0
[rospy.internal][INFO] 2019-03-07 08:14:59,834: topic[/autopilot/acs_pose] adding connection to [http://copter131:43590/], count 0
[rospy.internal][INFO] 2019-03-07 08:14:59,892: topic[/autopilot/status] adding connection to [http://copter131:43590/], count 0
[rospy.internal][INFO] 2019-03-07 08:15:00,092: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-07 08:15:01,200: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:40252/], count 0
[rospy.internal][INFO] 2019-03-07 08:15:02,256: topic[/swarm_control/ap_intent] adding connection to [http://copter131:40252/], count 0
