[rosmaster.main][INFO] 2012-12-31 16:00:14,538: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-31 16:00:14,538: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-31 16:00:14,540: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2012-12-31 16:00:14,541: Started XML-RPC server [http://copter131:11311/]
[rosmaster.master][INFO] 2012-12-31 16:00:14,541: Master initialized: port[11311], uri[http://copter131:11311/]
[xmlrpc][INFO] 2012-12-31 16:00:14,542: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-31 16:00:14,627: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,630: +PARAM [/roslaunch/uris/host_copter131__44729] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,749: +PARAM [/swarm_team] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,749: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,749: +PARAM [/aircraft_name] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,750: +PARAM [/fetch_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,750: +PARAM [/dis_between_land_points] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,750: +PARAM [/network_port] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,750: +PARAM [/aircraft_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,751: +PARAM [/do_deconflict_land] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,751: +PARAM [/subswarm_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,751: +PARAM [/aircraft_type] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,751: +PARAM [/sensor_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,752: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,752: +PARAM [/runway_pt2_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,752: +PARAM [/runway_pt2_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,752: +PARAM [/flight_ready] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,752: +PARAM [/runway_pt1_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,753: +PARAM [/network_device] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,753: +PARAM [/verify_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,753: +PARAM [/rosbag_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,753: +PARAM [/runway_pt1_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,852: +SERVICE [/rosout/get_loggers] /rosout http://copter131:50027/
[rosmaster.master][INFO] 2012-12-31 16:00:14,854: +SERVICE [/rosout/set_logger_level] /rosout http://copter131:50027/
[rosmaster.master][INFO] 2012-12-31 16:00:14,858: +PUB [/rosout_agg] /rosout http://copter131:50027/
[rosmaster.master][INFO] 2012-12-31 16:00:14,867: +SUB [/rosout] /rosout http://copter131:50027/
[rosmaster.master][INFO] 2012-12-31 16:00:15,800: +PUB [/rosout] /radiation_sensor http://copter131:36346/
[rosmaster.master][INFO] 2012-12-31 16:00:15,842: publisherUpdate[/rosout] -> http://copter131:50027/
[rosmaster.master][INFO] 2012-12-31 16:00:15,863: +SERVICE [/radiation_sensor/get_loggers] /radiation_sensor http://copter131:36346/
[rosmaster.master][INFO] 2012-12-31 16:00:15,906: +SERVICE [/radiation_sensor/set_logger_level] /radiation_sensor http://copter131:36346/
[rosmaster.master][INFO] 2012-12-31 16:00:15,928: +PUB [/tactic_interface/radiation] /radiation_sensor http://copter131:36346/
[rosmaster.master][INFO] 2012-12-31 16:00:16,250: +PUB [/rosout] /safety http://copter131:54698/
[rosmaster.master][INFO] 2012-12-31 16:00:16,253: publisherUpdate[/rosout] -> http://copter131:50027/
[rosmaster.master][INFO] 2012-12-31 16:00:16,310: +SERVICE [/safety/get_loggers] /safety http://copter131:54698/
[rosmaster.master][INFO] 2012-12-31 16:00:16,331: +SERVICE [/safety/set_logger_level] /safety http://copter131:54698/
[rosmaster.master][INFO] 2012-12-31 16:00:16,490: +PUB [/rosout] /network http://copter131:46312/
[rosmaster.master][INFO] 2012-12-31 16:00:16,549: publisherUpdate[/rosout] -> http://copter131:50027/
[rosmaster.master][INFO] 2012-12-31 16:00:16,551: +PUB [/autopilot/heartbeat_onboard] /safety http://copter131:54698/
[rosmaster.master][INFO] 2012-12-31 16:00:16,579: +SERVICE [/network/get_loggers] /network http://copter131:46312/
[rosmaster.master][INFO] 2012-12-31 16:00:16,585: +PUB [/safety/healthy] /safety http://copter131:54698/
[rosmaster.master][INFO] 2012-12-31 16:00:16,621: +PUB [/autopilot/payload_waypoint] /safety http://copter131:54698/
[rosmaster.master][INFO] 2012-12-31 16:00:16,648: +SERVICE [/network/set_logger_level] /network http://copter131:46312/
[rosmaster.master][INFO] 2012-12-31 16:00:16,666: +PUB [/autopilot/payload_rate] /safety http://copter131:54698/
[rosmaster.master][INFO] 2012-12-31 16:00:16,706: +PUB [/autopilot/payload_attitude] /safety http://copter131:54698/
[rosmaster.master][INFO] 2012-12-31 16:00:16,760: +PUB [/rosout] /autopilot http://copter131:43590/
[rosmaster.master][INFO] 2012-12-31 16:00:16,766: publisherUpdate[/rosout] -> http://copter131:50027/
[rosmaster.master][INFO] 2012-12-31 16:00:16,861: +SERVICE [/autopilot/get_loggers] /autopilot http://copter131:43590/
