[rospy.client][INFO] 2012-12-31 16:00:16,354: init_node, name[/network], pid[2812]
[xmlrpc][INFO] 2012-12-31 16:00:16,359: XML-RPC server binding to 0.0.0.0:0
[rospy.init][INFO] 2012-12-31 16:00:16,362: ROS Slave URI: [http://copter131:46312/]
[xmlrpc][INFO] 2012-12-31 16:00:16,362: Started XML-RPC server [http://copter131:46312/]
[rospy.impl.masterslave][INFO] 2012-12-31 16:00:16,362: _ready: http://copter131:46312/
[xmlrpc][INFO] 2012-12-31 16:00:16,363: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2012-12-31 16:00:16,364: Registering with master node http://localhost:11311
[rospy.init][INFO] 2012-12-31 16:00:16,462: registered with master
[rospy.rosout][INFO] 2012-12-31 16:00:16,463: initializing /rosout core topic
[rospy.rosout][INFO] 2012-12-31 16:00:16,494: connected to core topic /rosout
[rospy.simtime][INFO] 2012-12-31 16:00:16,508: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2012-12-31 16:00:16,760: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-07 08:14:58,766: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:55951/], count 0
[rospy.internal][INFO] 2019-03-07 08:14:58,768: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:33178/], count 1
[rospy.internal][INFO] 2019-03-07 08:14:58,785: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:49603/], count 2
[rospy.internal][INFO] 2019-03-07 08:14:58,946: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:38419/], count 3
[rospy.internal][INFO] 2019-03-07 08:14:58,955: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:41331/], count 4
[rospy.internal][INFO] 2019-03-07 08:14:58,959: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:52723/], count 5
[rospy.internal][INFO] 2019-03-07 08:14:58,959: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:41331/], count 5
[rospy.internal][INFO] 2019-03-07 08:14:58,961: topic[/network/send_swarm_behavior_data] removing connection to http://copter131:41331/
[rospy.internal][INFO] 2019-03-07 08:14:59,275: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:32820/], count 6
[rospy.internal][INFO] 2019-03-07 08:14:59,493: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:59171/], count 7
[rospy.internal][INFO] 2019-03-07 08:14:59,566: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:35913/], count 8
[rospy.internal][INFO] 2019-03-07 08:14:59,567: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:49178/], count 8
[rospy.internal][INFO] 2019-03-07 08:14:59,685: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:42662/], count 10
[rospy.internal][INFO] 2019-03-07 08:14:59,800: topic[/autopilot/acs_pose] adding connection to [http://copter131:43590/], count 0
[rospy.internal][INFO] 2019-03-07 08:14:59,887: topic[/autopilot/status] adding connection to [http://copter131:43590/], count 0
[rospy.internal][INFO] 2019-03-07 08:15:00,131: topic[/air_to_air/firing_reports] adding connection to [http://copter131:35913/], count 0
[rospy.internal][INFO] 2019-03-07 08:15:00,136: topic[/air_to_air/firing_reports] adding connection to [http://copter131:49178/], count 1
[rospy.internal][INFO] 2019-03-07 08:15:00,207: topic[/network/swarm_sub_behavior] adding connection to [http://copter131:41331/], count 0
[rospy.internal][INFO] 2019-03-07 08:15:00,217: topic[/air_to_air/firing_reports] adding connection to [http://copter131:33178/], count 2
[rospy.internal][INFO] 2019-03-07 08:15:00,228: topic[/air_to_air/firing_reports] adding connection to [http://copter131:42662/], count 3
[rospy.internal][INFO] 2019-03-07 08:15:00,232: topic[/air_to_air/firing_reports] adding connection to [http://copter131:41331/], count 4
[rospy.internal][INFO] 2019-03-07 08:15:00,393: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:49571/], count 11
[rospy.internal][INFO] 2019-03-07 08:15:00,658: topic[/air_to_air/firing_reports] adding connection to [http://copter131:40507/], count 5
[rospy.internal][INFO] 2019-03-07 08:15:00,668: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:40507/], count 12
[rospy.internal][INFO] 2019-03-07 08:15:01,177: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:40252/], count 0
[rospy.internal][INFO] 2019-03-07 08:15:01,223: topic[/swarm_control/swarm_state] adding connection to [http://copter131:40252/], count 0
[rospy.internal][INFO] 2019-03-07 08:15:01,263: topic[/swarm_control/swarm_behavior] adding connection to [http://copter131:40252/], count 0
[rospy.internal][INFO] 2019-03-07 08:15:01,310: topic[/swarm_control/behavior_summary] adding connection to [http://copter131:40252/], count 0
