[rospy.client][INFO] 2019-03-07 08:14:56,426: init_node, name[/simple_ground_attack], pid[2983]
[xmlrpc][INFO] 2019-03-07 08:14:56,433: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2019-03-07 08:14:56,435: Started XML-RPC server [http://copter131:52723/]
[rospy.impl.masterslave][INFO] 2019-03-07 08:14:56,436: _ready: http://copter131:52723/
[rospy.init][INFO] 2019-03-07 08:14:56,437: ROS Slave URI: [http://copter131:52723/]
[xmlrpc][INFO] 2019-03-07 08:14:56,447: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2019-03-07 08:14:56,454: Registering with master node http://localhost:11311
[rospy.init][INFO] 2019-03-07 08:14:56,538: registered with master
[rospy.rosout][INFO] 2019-03-07 08:14:56,539: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-07 08:14:56,670: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-07 08:14:56,770: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-07 08:14:56,898: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-07 08:14:57,485: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-07 08:14:57,496: topic[/safety/payload_rate] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-07 08:14:57,986: topic[/autopilot/waypoint_goto] adding connection to [/autopilot], count 0
[rospy.internal][INFO] 2019-03-07 08:14:58,962: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-07 08:14:59,871: topic[/autopilot/status] adding connection to [http://copter131:43590/], count 0
[rospy.internal][INFO] 2019-03-07 08:15:00,093: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-07 08:15:01,173: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:40252/], count 0
[rospy.internal][INFO] 2019-03-07 08:15:01,290: topic[/swarm_control/ap_intent] adding connection to [http://copter131:40252/], count 0
