[rosmaster.main][INFO] 2012-12-31 16:00:14,532: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-31 16:00:14,533: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-31 16:00:14,534: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2012-12-31 16:00:14,535: Started XML-RPC server [http://copter131:11311/]
[rosmaster.master][INFO] 2012-12-31 16:00:14,535: Master initialized: port[11311], uri[http://copter131:11311/]
[xmlrpc][INFO] 2012-12-31 16:00:14,535: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-31 16:00:14,621: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,624: +PARAM [/roslaunch/uris/host_copter131__56028] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,743: +PARAM [/swarm_team] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,743: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,743: +PARAM [/aircraft_name] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,744: +PARAM [/fetch_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,744: +PARAM [/dis_between_land_points] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,744: +PARAM [/network_port] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,744: +PARAM [/aircraft_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,745: +PARAM [/do_deconflict_land] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,745: +PARAM [/subswarm_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,745: +PARAM [/aircraft_type] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,745: +PARAM [/sensor_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,746: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,746: +PARAM [/runway_pt2_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,746: +PARAM [/runway_pt2_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,746: +PARAM [/flight_ready] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,747: +PARAM [/runway_pt1_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,747: +PARAM [/network_device] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,747: +PARAM [/verify_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,747: +PARAM [/rosbag_enable] by /roslaunch
