[rosmaster.main][INFO] 2012-12-31 16:00:14,537: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-31 16:00:14,537: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-31 16:00:14,539: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2012-12-31 16:00:14,540: Started XML-RPC server [http://copter131:11311/]
[rosmaster.master][INFO] 2012-12-31 16:00:14,540: Master initialized: port[11311], uri[http://copter131:11311/]
[xmlrpc][INFO] 2012-12-31 16:00:14,540: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-31 16:00:14,627: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,630: +PARAM [/roslaunch/uris/host_copter131__33565] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,749: +PARAM [/swarm_team] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,749: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,750: +PARAM [/aircraft_name] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,750: +PARAM [/fetch_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,750: +PARAM [/dis_between_land_points] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,750: +PARAM [/network_port] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,751: +PARAM [/aircraft_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,751: +PARAM [/do_deconflict_land] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,751: +PARAM [/subswarm_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,751: +PARAM [/aircraft_type] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,752: +PARAM [/sensor_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,752: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,752: +PARAM [/runway_pt2_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,752: +PARAM [/runway_pt2_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,753: +PARAM [/flight_ready] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,753: +PARAM [/runway_pt1_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,753: +PARAM [/network_device] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,753: +PARAM [/verify_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,753: +PARAM [/rosbag_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,754: +PARAM [/runway_pt1_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,852: +SERVICE [/rosout/get_loggers] /rosout http://copter131:54578/
[rosmaster.master][INFO] 2012-12-31 16:00:14,854: +SERVICE [/rosout/set_logger_level] /rosout http://copter131:54578/
[rosmaster.master][INFO] 2012-12-31 16:00:14,858: +PUB [/rosout_agg] /rosout http://copter131:54578/
[rosmaster.master][INFO] 2012-12-31 16:00:14,867: +SUB [/rosout] /rosout http://copter131:54578/
[rosmaster.master][INFO] 2012-12-31 16:00:15,686: +PUB [/rosout] /altitude_sensor http://copter131:60224/
[rosmaster.master][INFO] 2012-12-31 16:00:15,730: +SERVICE [/altitude_sensor/get_loggers] /altitude_sensor http://copter131:60224/
[rosmaster.master][INFO] 2012-12-31 16:00:15,738: +SERVICE [/altitude_sensor/set_logger_level] /altitude_sensor http://copter131:60224/
[rosmaster.master][INFO] 2012-12-31 16:00:15,741: publisherUpdate[/rosout] -> http://copter131:54578/
[rosmaster.master][INFO] 2012-12-31 16:00:15,757: +PUB [/tactic_interface/altitude] /altitude_sensor http://copter131:60224/
[rosmaster.master][INFO] 2012-12-31 16:00:16,315: +PUB [/rosout] /network http://copter131:38774/
[rosmaster.master][INFO] 2012-12-31 16:00:16,327: +PUB [/rosout] /safety http://copter131:50576/
[rosmaster.master][INFO] 2012-12-31 16:00:16,345: publisherUpdate[/rosout] -> http://copter131:54578/
[rosmaster.master][INFO] 2012-12-31 16:00:16,352: publisherUpdate[/rosout] -> http://copter131:54578/
[rosmaster.master][INFO] 2012-12-31 16:00:16,369: +PUB [/rosout] /hit_tracker http://copter131:59045/
[rosmaster.master][INFO] 2012-12-31 16:00:16,390: +SERVICE [/network/get_loggers] /network http://copter131:38774/
[rosmaster.master][INFO] 2012-12-31 16:00:16,399: +SERVICE [/safety/get_loggers] /safety http://copter131:50576/
[rosmaster.master][INFO] 2012-12-31 16:00:16,440: +SERVICE [/network/set_logger_level] /network http://copter131:38774/
[rosmaster.master][INFO] 2012-12-31 16:00:16,446: publisherUpdate[/rosout] -> http://copter131:54578/
[rosmaster.master][INFO] 2012-12-31 16:00:16,464: +SERVICE [/safety/set_logger_level] /safety http://copter131:50576/
[rosmaster.master][INFO] 2012-12-31 16:00:16,480: +SERVICE [/hit_tracker/get_loggers] /hit_tracker http://copter131:59045/
[rosmaster.master][INFO] 2012-12-31 16:00:16,522: +SERVICE [/hit_tracker/set_logger_level] /hit_tracker http://copter131:59045/
[rosmaster.master][INFO] 2012-12-31 16:00:16,585: +SERVICE [/hit_tracker/reset] /hit_tracker http://copter131:59045/
[rosmaster.master][INFO] 2012-12-31 16:00:17,030: +PUB [/rosout] /autopilot http://copter131:51261/
[rosmaster.master][INFO] 2012-12-31 16:00:17,050: +SUB [/network/recv_swarm_data] /hit_tracker http://copter131:59045/
[rosmaster.master][INFO] 2012-12-31 16:00:17,052: publisherUpdate[/rosout] -> http://copter131:54578/
[rosmaster.master][INFO] 2012-12-31 16:00:17,070: +PUB [/rosout] /red_tracker http://copter131:49640/
[rosmaster.master][INFO] 2012-12-31 16:00:17,091: +PUB [/rosout] /task_runner http://copter131:36001/
[rosmaster.master][INFO] 2012-12-31 16:00:17,104: +PARAM [/subswarm_id] by /unnamed
[rosmaster.master][INFO] 2012-12-31 16:00:17,165: publisherUpdate[/rosout] -> http://copter131:54578/
[rosmaster.master][INFO] 2012-12-31 16:00:17,170: publisherUpdate[/rosout] -> http://copter131:54578/
[rosmaster.master][INFO] 2012-12-31 16:00:17,240: +PUB [/rosout] /recv_pose_rate http://copter131:47037/
[rosmaster.master][INFO] 2012-12-31 16:00:17,255: +SERVICE [/autopilot/get_loggers] /autopilot http://copter131:51261/
[rosmaster.master][INFO] 2012-12-31 16:00:17,267: publisherUpdate[/rosout] -> http://copter131:54578/
[rosmaster.master][INFO] 2012-12-31 16:00:17,280: +SERVICE [/red_tracker/get_loggers] /red_tracker http://copter131:49640/
[rosmaster.master][INFO] 2012-12-31 16:00:17,340: +SERVICE [/task_runner/get_loggers] /task_runner http://copter131:36001/
[rosmaster.master][INFO] 2012-12-31 16:00:17,405: +SERVICE [/autopilot/set_logger_level] /autopilot http://copter131:51261/
[rosmaster.master][INFO] 2012-12-31 16:00:17,455: +SERVICE [/red_tracker/set_logger_level] /red_tracker http://copter131:49640/
[rosmaster.master][INFO] 2012-12-31 16:00:17,474: +SERVICE [/task_runner/set_logger_level] /task_runner http://copter131:36001/
[rosmaster.master][INFO] 2012-12-31 16:00:17,490: +PUB [/rosout] /independent_transit http://copter131:33831/
[rosmaster.master][INFO] 2012-12-31 16:00:17,520: +SERVICE [/recv_pose_rate/get_loggers] /recv_pose_rate http://copter131:47037/
[rosmaster.master][INFO] 2012-12-31 16:00:17,565: +PUB [/autopilot/heartbeat_onboard] /safety http://copter131:50576/
[rosmaster.master][INFO] 2012-12-31 16:00:17,569: publisherUpdate[/rosout] -> http://copter131:54578/
[rosmaster.master][INFO] 2012-12-31 16:00:17,612: +SERVICE [/recv_pose_rate/set_logger_level] /recv_pose_rate http://copter131:47037/
[rosmaster.master][INFO] 2012-12-31 16:00:17,640: +SUB [/swarm_control/subswarm_id] /network http://copter131:38774/
[rosmaster.master][INFO] 2012-12-31 16:00:17,685: +PUB [/safety/healthy] /safety http://copter131:50576/
[rosmaster.master][INFO] 2012-12-31 16:00:17,715: +SERVICE [/independent_transit/get_loggers] /independent_transit http://copter131:33831/
[rosmaster.master][INFO] 2012-12-31 16:00:17,761: +SUB [/network/net_reset] /hit_tracker http://copter131:59045/
[rosmaster.master][INFO] 2012-12-31 16:00:17,769: +PUB [/autopilot/payload_waypoint] /safety http://copter131:50576/
[rosmaster.master][INFO] 2012-12-31 16:00:17,829: +SERVICE [/independent_transit/set_logger_level] /independent_transit http://copter131:33831/
[rosmaster.master][INFO] 2012-12-31 16:00:17,845: +PUB [/rosout] /swarm_control http://copter131:37532/
[rosmaster.master][INFO] 2012-12-31 16:00:17,870: +PUB [/rosout] /simple_ground_attack http://copter131:56411/
[rosmaster.master][INFO] 2012-12-31 16:00:17,873: publisherUpdate[/rosout] -> http://copter131:54578/
[rosmaster.master][INFO] 2012-12-31 16:00:17,879: publisherUpdate[/rosout] -> http://copter131:54578/
[rosmaster.master][INFO] 2012-12-31 16:00:17,895: +PUB [/autopilot/payload_rate] /safety http://copter131:50576/
[rosmaster.master][INFO] 2012-12-31 16:00:17,944: +PUB [/rosout] /swarm_tracker http://copter131:44368/
[rosmaster.master][INFO] 2012-12-31 16:00:17,977: publisherUpdate[/rosout] -> http://copter131:54578/
[rosmaster.master][INFO] 2012-12-31 16:00:18,040: +PUB [/autopilot/payload_attitude] /safety http://copter131:50576/
[rosmaster.master][INFO] 2012-12-31 16:00:18,094: +SERVICE [/swarm_control/get_loggers] /swarm_control http://copter131:37532/
[rosmaster.master][INFO] 2012-12-31 16:00:18,096: +SERVICE [/simple_ground_attack/get_loggers] /simple_ground_attack http://copter131:56411/
[rosmaster.master][INFO] 2012-12-31 16:00:18,109: +SUB [/autopilot/acs_pose] /red_tracker http://copter131:49640/
[rosmaster.master][INFO] 2012-12-31 16:00:18,112: +PUB [/rosout] /linear_formation http://copter131:43902/
[rosmaster.master][INFO] 2012-12-31 16:00:18,117: +SERVICE [/swarm_control/set_logger_level] /swarm_control http://copter131:37532/
[rosmaster.master][INFO] 2012-12-31 16:00:18,140: +SERVICE [/simple_ground_attack/set_logger_level] /simple_ground_attack http://copter131:56411/
[rosmaster.master][INFO] 2012-12-31 16:00:18,180: publisherUpdate[/rosout] -> http://copter131:54578/
[rosmaster.master][INFO] 2012-12-31 16:00:18,201: +SERVICE [/swarm_control/register_behavior] /swarm_control http://copter131:37532/
[rosmaster.master][INFO] 2012-12-31 16:00:18,300: +SERVICE [/linear_formation/get_loggers] /linear_formation http://copter131:43902/
[rosmaster.master][INFO] 2012-12-31 16:00:18,321: +SERVICE [/swarm_control/run_behavior] /swarm_control http://copter131:37532/
[rosmaster.master][INFO] 2012-12-31 16:00:18,345: +PUB [/autopilot/waypoint_goto] /simple_ground_attack http://copter131:56411/
[rosmaster.master][INFO] 2019-02-27 12:15:51,324: +SERVICE [/linear_formation/set_logger_level] /linear_formation http://copter131:43902/
[rosmaster.master][INFO] 2019-02-27 12:15:51,349: +SERVICE [/swarm_control/pause_behavior] /swarm_control http://copter131:37532/
[rosmaster.master][INFO] 2019-02-27 12:15:51,363: +SUB [/autopilot/status] /task_runner http://copter131:36001/
[rosmaster.master][INFO] 2019-02-27 12:15:51,383: +PUB [/safety/payload_rate] /simple_ground_attack http://copter131:56411/
[rosmaster.master][INFO] 2019-02-27 12:15:51,434: +SUB [/autopilot/status] /independent_transit http://copter131:33831/
[rosmaster.master][INFO] 2019-02-27 12:15:51,468: +SERVICE [/swarm_control/set_subswarm] /swarm_control http://copter131:37532/
[rosmaster.master][INFO] 2019-02-27 12:15:51,504: +SUB [/autopilot/heartbeat_ground] /safety http://copter131:50576/
[rosmaster.master][INFO] 2019-02-27 12:15:51,512: +PUB [/safety/payload_waypoint] /independent_transit http://copter131:33831/
[rosmaster.master][INFO] 2019-02-27 12:15:51,529: +SERVICE [/swarm_control/set_swarm_state] /swarm_control http://copter131:37532/
[rosmaster.master][INFO] 2019-02-27 12:15:51,617: +SUB [/network/recv_red_pose] /red_tracker http://copter131:49640/
[rosmaster.master][INFO] 2019-02-27 12:15:51,671: +PUB [/red_tracker/red_uav_states] /red_tracker http://copter131:49640/
[rosmaster.master][INFO] 2019-02-27 12:15:51,712: +PUB [/rosout] /swarm_landing_sequencer http://copter131:50742/
[rosmaster.master][INFO] 2019-02-27 12:15:51,779: +PUB [/rosout] /constrained_shooter http://copter131:42396/
[rosmaster.master][INFO] 2019-02-27 12:15:51,801: publisherUpdate[/rosout] -> http://copter131:54578/
[rosmaster.master][INFO] 2019-02-27 12:15:51,808: publisherUpdate[/rosout] -> http://copter131:54578/
[rosmaster.master][INFO] 2019-02-27 12:15:51,905: +SERVICE [/swarm_landing_sequencer/get_loggers] /swarm_landing_sequencer http://copter131:50742/
[rosmaster.master][INFO] 2019-02-27 12:15:51,909: +SUB [/autopilot/arm] /autopilot http://copter131:51261/
[rosmaster.master][INFO] 2019-02-27 12:15:51,924: +SERVICE [/constrained_shooter/get_loggers] /constrained_shooter http://copter131:42396/
[rosmaster.master][INFO] 2019-02-27 12:15:51,929: +SERVICE [/swarm_landing_sequencer/set_logger_level] /swarm_landing_sequencer http://copter131:50742/
[rosmaster.master][INFO] 2019-02-27 12:15:51,935: +SUB [/autopilot/acs_pose] /safety http://copter131:50576/
[rosmaster.master][INFO] 2019-02-27 12:15:51,937: +SUB [/swarm_control/subswarm_id] /independent_transit http://copter131:33831/
[rosmaster.master][INFO] 2019-02-27 12:15:51,944: +SERVICE [/constrained_shooter/set_logger_level] /constrained_shooter http://copter131:42396/
[rosmaster.master][INFO] 2019-02-27 12:15:51,952: +SUB [/autopilot/status] /linear_formation http://copter131:43902/
[rosmaster.master][INFO] 2019-02-27 12:15:51,967: +PUB [/safety/payload_waypoint] /linear_formation http://copter131:43902/
[rosmaster.master][INFO] 2019-02-27 12:15:52,011: +SUB [/autopilot/mode] /autopilot http://copter131:51261/
[rosmaster.master][INFO] 2019-02-27 12:15:52,017: +PUB [/rosout] /wingman http://copter131:46086/
[rosmaster.master][INFO] 2019-02-27 12:15:52,018: publisherUpdate[/rosout] -> http://copter131:54578/
[rosmaster.master][INFO] 2019-02-27 12:15:52,046: +SUB [/safety/payload_waypoint] /safety http://copter131:50576/
[rosmaster.master][INFO] 2019-02-27 12:15:52,049: +SUB [/swarm_control/ap_intent] /independent_transit http://copter131:33831/
[rosmaster.master][INFO] 2019-02-27 12:15:52,052: +PUB [/hit_tracker/hit_uavs] /hit_tracker http://copter131:59045/
