[rosmaster.main][INFO] 2012-12-31 16:00:14,598: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-31 16:00:14,598: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-31 16:00:14,600: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2012-12-31 16:00:14,601: Started XML-RPC server [http://copter131:11311/]
[rosmaster.master][INFO] 2012-12-31 16:00:14,601: Master initialized: port[11311], uri[http://copter131:11311/]
[xmlrpc][INFO] 2012-12-31 16:00:14,601: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-31 16:00:14,688: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,691: +PARAM [/roslaunch/uris/host_copter131__47130] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,809: +PARAM [/swarm_team] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,809: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,809: +PARAM [/aircraft_name] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,810: +PARAM [/fetch_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,810: +PARAM [/dis_between_land_points] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,810: +PARAM [/network_port] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,810: +PARAM [/aircraft_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,811: +PARAM [/do_deconflict_land] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,811: +PARAM [/subswarm_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,811: +PARAM [/aircraft_type] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,811: +PARAM [/sensor_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,811: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,812: +PARAM [/runway_pt2_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,812: +PARAM [/runway_pt2_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,812: +PARAM [/flight_ready] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,812: +PARAM [/runway_pt1_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,813: +PARAM [/network_device] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,813: +PARAM [/verify_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,813: +PARAM [/rosbag_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,813: +PARAM [/runway_pt1_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,911: +SERVICE [/rosout/get_loggers] /rosout http://copter131:42407/
[rosmaster.master][INFO] 2012-12-31 16:00:14,913: +SERVICE [/rosout/set_logger_level] /rosout http://copter131:42407/
[rosmaster.master][INFO] 2012-12-31 16:00:14,917: +PUB [/rosout_agg] /rosout http://copter131:42407/
[rosmaster.master][INFO] 2012-12-31 16:00:14,926: +SUB [/rosout] /rosout http://copter131:42407/
[rosmaster.master][INFO] 2012-12-31 16:00:15,806: +PUB [/rosout] /altitude_sensor http://copter131:35630/
[rosmaster.master][INFO] 2012-12-31 16:00:15,861: +SERVICE [/altitude_sensor/get_loggers] /altitude_sensor http://copter131:35630/
[rosmaster.master][INFO] 2012-12-31 16:00:15,872: +SERVICE [/altitude_sensor/set_logger_level] /altitude_sensor http://copter131:35630/
[rosmaster.master][INFO] 2012-12-31 16:00:15,901: +PUB [/tactic_interface/altitude] /altitude_sensor http://copter131:35630/
[rosmaster.master][INFO] 2012-12-31 16:00:15,903: publisherUpdate[/rosout] -> http://copter131:42407/
[rosmaster.master][INFO] 2012-12-31 16:00:16,334: +PUB [/rosout] /safety http://copter131:48816/
[rosmaster.master][INFO] 2012-12-31 16:00:16,367: +SERVICE [/safety/get_loggers] /safety http://copter131:48816/
[rosmaster.master][INFO] 2012-12-31 16:00:16,375: +SERVICE [/safety/set_logger_level] /safety http://copter131:48816/
[rosmaster.master][INFO] 2012-12-31 16:00:16,405: publisherUpdate[/rosout] -> http://copter131:42407/
[rosmaster.master][INFO] 2012-12-31 16:00:16,457: +PUB [/rosout] /network http://copter131:43059/
[rosmaster.master][INFO] 2012-12-31 16:00:16,506: publisherUpdate[/rosout] -> http://copter131:42407/
[rosmaster.master][INFO] 2012-12-31 16:00:16,521: +SERVICE [/network/get_loggers] /network http://copter131:43059/
[rosmaster.master][INFO] 2012-12-31 16:00:16,561: +PUB [/rosout] /hit_tracker http://copter131:41263/
[rosmaster.master][INFO] 2012-12-31 16:00:16,577: +SERVICE [/network/set_logger_level] /network http://copter131:43059/
[rosmaster.master][INFO] 2012-12-31 16:00:16,610: publisherUpdate[/rosout] -> http://copter131:42407/
[rosmaster.master][INFO] 2012-12-31 16:00:16,660: +SERVICE [/hit_tracker/get_loggers] /hit_tracker http://copter131:41263/
[rosmaster.master][INFO] 2012-12-31 16:00:16,720: +SERVICE [/hit_tracker/set_logger_level] /hit_tracker http://copter131:41263/
[rosmaster.master][INFO] 2012-12-31 16:00:16,760: +PUB [/autopilot/heartbeat_onboard] /safety http://copter131:48816/
[rosmaster.master][INFO] 2012-12-31 16:00:16,776: +PUB [/rosout] /autopilot http://copter131:48134/
[rosmaster.master][INFO] 2012-12-31 16:00:16,792: +SERVICE [/hit_tracker/reset] /hit_tracker http://copter131:41263/
[rosmaster.master][INFO] 2012-12-31 16:00:16,811: publisherUpdate[/rosout] -> http://copter131:42407/
[rosmaster.master][INFO] 2012-12-31 16:00:16,826: +PUB [/safety/healthy] /safety http://copter131:48816/
[rosmaster.master][INFO] 2012-12-31 16:00:16,904: +PUB [/autopilot/payload_waypoint] /safety http://copter131:48816/
[rosmaster.master][INFO] 2012-12-31 16:00:16,956: +SERVICE [/autopilot/get_loggers] /autopilot http://copter131:48134/
[rosmaster.master][INFO] 2012-12-31 16:00:16,982: +PUB [/autopilot/payload_rate] /safety http://copter131:48816/
[rosmaster.master][INFO] 2012-12-31 16:00:17,026: +PUB [/rosout] /task_runner http://copter131:60378/
[rosmaster.master][INFO] 2012-12-31 16:00:17,038: +SERVICE [/autopilot/set_logger_level] /autopilot http://copter131:48134/
[rosmaster.master][INFO] 2012-12-31 16:00:17,071: +PUB [/autopilot/payload_attitude] /safety http://copter131:48816/
[rosmaster.master][INFO] 2012-12-31 16:00:17,116: publisherUpdate[/rosout] -> http://copter131:42407/
[rosmaster.master][INFO] 2012-12-31 16:00:17,160: +PARAM [/subswarm_id] by /unnamed
[rosmaster.master][INFO] 2012-12-31 16:00:17,186: +PUB [/rosout] /recv_pose_rate http://copter131:34340/
[rosmaster.master][INFO] 2012-12-31 16:00:17,216: publisherUpdate[/rosout] -> http://copter131:42407/
[rosmaster.master][INFO] 2012-12-31 16:00:17,246: +SERVICE [/task_runner/get_loggers] /task_runner http://copter131:60378/
[rosmaster.master][INFO] 2012-12-31 16:00:17,321: +SUB [/network/recv_swarm_data] /hit_tracker http://copter131:41263/
[rosmaster.master][INFO] 2012-12-31 16:00:17,336: +PUB [/rosout] /red_tracker http://copter131:43514/
[rosmaster.master][INFO] 2012-12-31 16:00:17,354: +SERVICE [/task_runner/set_logger_level] /task_runner http://copter131:60378/
[rosmaster.master][INFO] 2012-12-31 16:00:17,391: +SERVICE [/recv_pose_rate/get_loggers] /recv_pose_rate http://copter131:34340/
[rosmaster.master][INFO] 2012-12-31 16:00:17,422: publisherUpdate[/rosout] -> http://copter131:42407/
[rosmaster.master][INFO] 2012-12-31 16:00:17,510: +SERVICE [/recv_pose_rate/set_logger_level] /recv_pose_rate http://copter131:34340/
[rosmaster.master][INFO] 2012-12-31 16:00:17,586: +SERVICE [/red_tracker/get_loggers] /red_tracker http://copter131:43514/
[rosmaster.master][INFO] 2019-02-27 12:41:36,674: +SUB [/autopilot/heartbeat_ground] /safety http://copter131:48816/
[rosmaster.master][INFO] 2019-02-27 12:41:36,682: +SERVICE [/red_tracker/set_logger_level] /red_tracker http://copter131:43514/
[rosmaster.master][INFO] 2019-02-27 12:41:36,687: +PUB [/rosout] /swarm_control http://copter131:52337/
[rosmaster.master][INFO] 2019-02-27 12:41:36,710: +PUB [/rosout] /swarm_tracker http://copter131:44778/
[rosmaster.master][INFO] 2019-02-27 12:41:36,738: publisherUpdate[/rosout] -> http://copter131:42407/
[rosmaster.master][INFO] 2019-02-27 12:41:36,743: publisherUpdate[/rosout] -> http://copter131:42407/
[rosmaster.master][INFO] 2019-02-27 12:41:36,792: +SUB [/swarm_control/subswarm_id] /network http://copter131:43059/
[rosmaster.master][INFO] 2019-02-27 12:41:36,898: +PUB [/rosout] /patrol_box http://copter131:35577/
[rosmaster.master][INFO] 2019-02-27 12:41:36,944: publisherUpdate[/rosout] -> http://copter131:42407/
[rosmaster.master][INFO] 2019-02-27 12:41:36,969: +SERVICE [/swarm_control/get_loggers] /swarm_control http://copter131:52337/
[rosmaster.master][INFO] 2019-02-27 12:41:36,984: +SERVICE [/swarm_tracker/get_loggers] /swarm_tracker http://copter131:44778/
[rosmaster.master][INFO] 2019-02-27 12:41:37,015: +SUB [/autopilot/status] /task_runner http://copter131:60378/
[rosmaster.master][INFO] 2019-02-27 12:41:37,105: +SERVICE [/swarm_control/set_logger_level] /swarm_control http://copter131:52337/
[rosmaster.master][INFO] 2019-02-27 12:41:37,126: +SERVICE [/swarm_tracker/set_logger_level] /swarm_tracker http://copter131:44778/
[rosmaster.master][INFO] 2019-02-27 12:41:37,156: +SERVICE [/patrol_box/get_loggers] /patrol_box http://copter131:35577/
[rosmaster.master][INFO] 2019-02-27 12:41:37,206: +SERVICE [/swarm_control/register_behavior] /swarm_control http://copter131:52337/
[rosmaster.master][INFO] 2019-02-27 12:41:37,316: +SERVICE [/swarm_control/run_behavior] /swarm_control http://copter131:52337/
[rosmaster.master][INFO] 2019-02-27 12:41:37,371: +SUB [/autopilot/acs_pose] /red_tracker http://copter131:43514/
[rosmaster.master][INFO] 2019-02-27 12:41:37,435: +SERVICE [/swarm_control/pause_behavior] /swarm_control http://copter131:52337/
[rosmaster.master][INFO] 2019-02-27 12:41:37,550: +SUB [/swarm_control/swarm_behavior] /network http://copter131:43059/
[rosmaster.master][INFO] 2019-02-27 12:41:37,575: +SERVICE [/swarm_control/set_subswarm] /swarm_control http://copter131:52337/
[rosmaster.master][INFO] 2019-02-27 12:41:37,645: +SERVICE [/patrol_box/set_logger_level] /patrol_box http://copter131:35577/
[rosmaster.master][INFO] 2019-02-27 12:41:37,681: +PUB [/rosout] /swarm_landing_sequencer http://copter131:34179/
[rosmaster.master][INFO] 2019-02-27 12:41:37,735: +SERVICE [/swarm_control/set_swarm_state] /swarm_control http://copter131:52337/
[rosmaster.master][INFO] 2019-02-27 12:41:37,750: publisherUpdate[/rosout] -> http://copter131:42407/
[rosmaster.master][INFO] 2019-02-27 12:41:37,805: +PUB [/rosout] /independent_transit http://copter131:51105/
[rosmaster.master][INFO] 2019-02-27 12:41:37,828: +SUB [/autopilot/arm] /autopilot http://copter131:48134/
[rosmaster.master][INFO] 2019-02-27 12:41:37,851: publisherUpdate[/rosout] -> http://copter131:42407/
[rosmaster.master][INFO] 2019-02-27 12:41:37,897: +SERVICE [/swarm_landing_sequencer/get_loggers] /swarm_landing_sequencer http://copter131:34179/
[rosmaster.master][INFO] 2019-02-27 12:41:37,968: +PUB [/rosout] /smart_shooter http://copter131:60272/
[rosmaster.master][INFO] 2019-02-27 12:41:37,985: +SERVICE [/independent_transit/get_loggers] /independent_transit http://copter131:51105/
[rosmaster.master][INFO] 2019-02-27 12:41:38,001: +SUB [/network/net_reset] /hit_tracker http://copter131:41263/
[rosmaster.master][INFO] 2019-02-27 12:41:38,020: +SUB [/network/recv_red_pose] /red_tracker http://copter131:43514/
[rosmaster.master][INFO] 2019-02-27 12:41:38,031: +PUB [/rosout] /constrained_shooter http://copter131:49132/
[rosmaster.master][INFO] 2019-02-27 12:41:38,055: publisherUpdate[/rosout] -> http://copter131:42407/
