[rospy.client][INFO] 2012-12-31 16:00:19,611: init_node, name[/evader], pid[3114]
[xmlrpc][INFO] 2012-12-31 16:00:19,612: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2012-12-31 16:00:19,615: Started XML-RPC server [http://copter131:46410/]
[rospy.init][INFO] 2012-12-31 16:00:19,615: ROS Slave URI: [http://copter131:46410/]
[rospy.impl.masterslave][INFO] 2012-12-31 16:00:19,615: _ready: http://copter131:46410/
[xmlrpc][INFO] 2012-12-31 16:00:19,617: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2012-12-31 16:00:19,618: Registering with master node http://localhost:11311
[rospy.init][INFO] 2012-12-31 16:00:19,716: registered with master
[rospy.rosout][INFO] 2012-12-31 16:00:19,716: initializing /rosout core topic
[rospy.rosout][INFO] 2012-12-31 16:00:19,735: connected to core topic /rosout
[rospy.simtime][INFO] 2012-12-31 16:00:19,746: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2012-12-31 16:00:19,872: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2012-12-31 16:00:20,050: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:43531/], count 0
[rospy.internal][INFO] 2012-12-31 16:00:20,094: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-04 17:16:53,384: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-04 17:16:53,620: topic[/autopilot/acs_pose] adding connection to [http://copter131:46470/], count 0
[rospy.internal][INFO] 2019-03-04 17:16:53,636: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-04 17:16:53,887: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:59348/], count 0
[rospy.internal][INFO] 2019-03-04 17:16:53,948: topic[/autopilot/status] adding connection to [http://copter131:46470/], count 0
[rospy.internal][INFO] 2019-03-04 17:16:54,025: topic[/swarm_control/ap_intent] adding connection to [http://copter131:59348/], count 0
