[rospy.client][INFO] 2012-12-31 16:00:19,571: init_node, name[/greedy_shooter], pid[3019]
[xmlrpc][INFO] 2012-12-31 16:00:19,572: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2012-12-31 16:00:19,573: Started XML-RPC server [http://copter131:41713/]
[rospy.init][INFO] 2012-12-31 16:00:19,573: ROS Slave URI: [http://copter131:41713/]
[rospy.impl.masterslave][INFO] 2012-12-31 16:00:19,574: _ready: http://copter131:41713/
[rospy.registration][INFO] 2012-12-31 16:00:19,575: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2012-12-31 16:00:19,575: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2012-12-31 16:00:19,575: Registering publisher topic [/safety/payload_waypoint] type [autopilot_bridge/LLA] with master
[rospy.registration][INFO] 2012-12-31 16:00:19,596: registering subscriber topic [/autopilot/status] type [autopilot_bridge/Status] with master
[rospy.init][INFO] 2012-12-31 16:00:19,674: registered with master
[rospy.rosout][INFO] 2012-12-31 16:00:19,675: initializing /rosout core topic
[rospy.rosout][INFO] 2012-12-31 16:00:19,687: connected to core topic /rosout
[rospy.simtime][INFO] 2012-12-31 16:00:19,698: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2012-12-31 16:00:19,869: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2012-12-31 16:00:19,973: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-04 17:16:53,378: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-04 17:16:53,630: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-04 17:16:53,853: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:59348/], count 0
[rospy.internal][INFO] 2019-03-04 17:16:53,941: topic[/autopilot/status] adding connection to [http://copter131:46470/], count 0
[rospy.internal][INFO] 2019-03-04 17:16:54,018: topic[/swarm_control/ap_intent] adding connection to [http://copter131:59348/], count 0
[rospy.internal][INFO] 2019-03-04 17:16:54,066: topic[/autopilot/acs_pose] adding connection to [http://copter131:46470/], count 0
[rospy.internal][INFO] 2019-03-04 17:16:54,122: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:43531/], count 0
[rospy.internal][INFO] 2019-03-04 17:16:54,257: topic[/autopilot/waypoint_goto] adding connection to [/autopilot], count 0
[rospy.internal][INFO] 2019-03-04 17:16:54,289: topic[/air_to_air/firing_reports] adding connection to [/network], count 0
