[rosmaster.main][INFO] 2012-12-31 16:00:14,728: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-31 16:00:14,728: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-31 16:00:14,730: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2012-12-31 16:00:14,731: Started XML-RPC server [http://copter131:11311/]
[rosmaster.master][INFO] 2012-12-31 16:00:14,731: Master initialized: port[11311], uri[http://copter131:11311/]
[xmlrpc][INFO] 2012-12-31 16:00:14,731: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-31 16:00:14,818: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,821: +PARAM [/roslaunch/uris/host_copter131__38680] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,939: +PARAM [/swarm_team] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,939: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,940: +PARAM [/aircraft_name] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,940: +PARAM [/fetch_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,940: +PARAM [/dis_between_land_points] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,940: +PARAM [/network_port] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,941: +PARAM [/aircraft_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,941: +PARAM [/do_deconflict_land] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,941: +PARAM [/subswarm_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,941: +PARAM [/aircraft_type] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,942: +PARAM [/sensor_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,942: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,942: +PARAM [/runway_pt2_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,942: +PARAM [/runway_pt2_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,942: +PARAM [/flight_ready] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,943: +PARAM [/runway_pt1_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,943: +PARAM [/network_device] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,943: +PARAM [/verify_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,943: +PARAM [/rosbag_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,944: +PARAM [/runway_pt1_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,042: +SERVICE [/rosout/get_loggers] /rosout http://copter131:37889/
[rosmaster.master][INFO] 2012-12-31 16:00:15,044: +SERVICE [/rosout/set_logger_level] /rosout http://copter131:37889/
[rosmaster.master][INFO] 2012-12-31 16:00:15,048: +PUB [/rosout_agg] /rosout http://copter131:37889/
[rosmaster.master][INFO] 2012-12-31 16:00:15,057: +SUB [/rosout] /rosout http://copter131:37889/
[rosmaster.master][INFO] 2012-12-31 16:00:15,900: +PUB [/rosout] /altitude_sensor http://copter131:41891/
[rosmaster.master][INFO] 2012-12-31 16:00:15,924: +SERVICE [/altitude_sensor/get_loggers] /altitude_sensor http://copter131:41891/
[rosmaster.master][INFO] 2012-12-31 16:00:15,931: +SERVICE [/altitude_sensor/set_logger_level] /altitude_sensor http://copter131:41891/
[rosmaster.master][INFO] 2012-12-31 16:00:15,932: publisherUpdate[/rosout] -> http://copter131:37889/
[rosmaster.master][INFO] 2012-12-31 16:00:15,951: +PUB [/tactic_interface/altitude] /altitude_sensor http://copter131:41891/
[rosmaster.master][INFO] 2012-12-31 16:00:16,415: +PUB [/rosout] /safety http://copter131:38195/
[rosmaster.master][INFO] 2012-12-31 16:00:16,433: publisherUpdate[/rosout] -> http://copter131:37889/
[rosmaster.master][INFO] 2012-12-31 16:00:16,479: +SERVICE [/safety/get_loggers] /safety http://copter131:38195/
[rosmaster.master][INFO] 2012-12-31 16:00:16,501: +SERVICE [/safety/set_logger_level] /safety http://copter131:38195/
