[rospy.client][INFO] 2012-12-31 16:00:18,076: init_node, name[/simple_ground_attack], pid[2945]
[xmlrpc][INFO] 2012-12-31 16:00:18,077: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2012-12-31 16:00:18,079: Started XML-RPC server [http://copter131:52004/]
[rospy.init][INFO] 2012-12-31 16:00:18,080: ROS Slave URI: [http://copter131:52004/]
[rospy.impl.masterslave][INFO] 2012-12-31 16:00:18,086: _ready: http://copter131:52004/
[xmlrpc][INFO] 2012-12-31 16:00:18,101: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2012-12-31 16:00:18,102: Registering with master node http://localhost:11311
[rospy.init][INFO] 2012-12-31 16:00:18,186: registered with master
[rospy.rosout][INFO] 2012-12-31 16:00:18,187: initializing /rosout core topic
[rospy.rosout][INFO] 2012-12-31 16:00:18,313: connected to core topic /rosout
[rospy.simtime][INFO] 2012-12-31 16:00:18,467: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2012-12-31 16:00:18,605: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-04 17:16:53,021: topic[/autopilot/waypoint_goto] adding connection to [/autopilot], count 0
[rospy.internal][INFO] 2019-03-04 17:16:53,188: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-04 17:16:53,393: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-04 17:16:53,432: topic[/safety/payload_rate] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-04 17:16:53,665: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-04 17:16:53,872: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:59348/], count 0
[rospy.internal][INFO] 2019-03-04 17:16:53,965: topic[/autopilot/status] adding connection to [http://copter131:46470/], count 0
[rospy.internal][INFO] 2019-03-04 17:16:54,087: topic[/swarm_control/ap_intent] adding connection to [http://copter131:59348/], count 0
