[rospy.client][INFO] 2012-12-31 16:00:19,406: init_node, name[/tactic_interface], pid[2965]
[xmlrpc][INFO] 2012-12-31 16:00:19,410: XML-RPC server binding to 0.0.0.0:0
[rospy.init][INFO] 2012-12-31 16:00:19,412: ROS Slave URI: [http://copter131:40662/]
[xmlrpc][INFO] 2012-12-31 16:00:19,412: Started XML-RPC server [http://copter131:40662/]
[rospy.impl.masterslave][INFO] 2012-12-31 16:00:19,412: _ready: http://copter131:40662/
[xmlrpc][INFO] 2012-12-31 16:00:19,414: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2012-12-31 16:00:19,415: Registering with master node http://localhost:11311
[rospy.registration][INFO] 2012-12-31 16:00:19,415: Registering publisher topic [/safety/payload_waypoint] type [autopilot_bridge/LLA] with master
[rospy.registration][INFO] 2012-12-31 16:00:19,449: registering subscriber topic [/autopilot/status] type [autopilot_bridge/Status] with master
[rospy.init][INFO] 2012-12-31 16:00:19,512: registered with master
[rospy.rosout][INFO] 2012-12-31 16:00:19,513: initializing /rosout core topic
[rospy.rosout][INFO] 2012-12-31 16:00:19,532: connected to core topic /rosout
[rospy.simtime][INFO] 2012-12-31 16:00:19,555: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2012-12-31 16:00:19,656: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2012-12-31 16:00:19,887: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-04 17:16:53,379: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-04 17:16:53,620: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-04 17:16:53,779: topic[/autopilot/acs_pose] adding connection to [http://copter131:46470/], count 0
[rospy.internal][INFO] 2019-03-04 17:16:53,858: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:59348/], count 0
[rospy.internal][INFO] 2019-03-04 17:16:53,936: topic[/autopilot/status] adding connection to [http://copter131:46470/], count 0
[rospy.internal][INFO] 2019-03-04 17:16:53,945: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:43531/], count 0
[rospy.internal][INFO] 2019-03-04 17:16:53,965: topic[/swarm_control/ap_intent] adding connection to [http://copter131:59348/], count 0
[rospy.internal][INFO] 2019-03-04 17:16:54,162: topic[/network/swarm_sub_behavior] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-04 17:16:54,174: topic[/air_to_air/firing_reports] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-04 17:16:54,181: topic[/autopilot/waypoint_goto] adding connection to [/autopilot], count 0
