[rospy.client][INFO] 2019-03-19 08:13:34,446: init_node, name[/evader], pid[3144]
[xmlrpc][INFO] 2019-03-19 08:13:34,447: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2019-03-19 08:13:34,449: Started XML-RPC server [http://copter131:42612/]
[rospy.impl.masterslave][INFO] 2019-03-19 08:13:34,449: _ready: http://copter131:42612/
[rospy.init][INFO] 2019-03-19 08:13:34,450: ROS Slave URI: [http://copter131:42612/]
[rospy.registration][INFO] 2019-03-19 08:13:34,452: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2019-03-19 08:13:34,452: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2019-03-19 08:13:34,550: registered with master
[rospy.rosout][INFO] 2019-03-19 08:13:34,551: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-19 08:13:34,574: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-19 08:13:34,587: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-19 08:13:34,770: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-19 08:13:34,786: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-19 08:13:35,321: topic[/autopilot/acs_pose] adding connection to [http://copter131:36775/], count 0
[rospy.internal][INFO] 2019-03-19 08:13:35,324: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:39396/], count 0
[rospy.internal][INFO] 2019-03-19 08:13:35,373: topic[/autopilot/status] adding connection to [http://copter131:36775/], count 0
[rospy.internal][INFO] 2019-03-19 08:13:35,548: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-19 08:13:35,795: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-19 08:13:35,878: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:53282/], count 0
[rospy.internal][INFO] 2019-03-19 08:13:36,971: topic[/swarm_control/ap_intent] adding connection to [http://copter131:53282/], count 0
