[rosmaster.main][INFO] 2012-12-31 16:00:14,762: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-31 16:00:14,763: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-31 16:00:14,765: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2012-12-31 16:00:14,765: Started XML-RPC server [http://copter131:11311/]
[rosmaster.master][INFO] 2012-12-31 16:00:14,766: Master initialized: port[11311], uri[http://copter131:11311/]
[xmlrpc][INFO] 2012-12-31 16:00:14,766: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-31 16:00:14,853: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,856: +PARAM [/roslaunch/uris/host_copter131__43310] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,974: +PARAM [/swarm_team] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,975: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,975: +PARAM [/aircraft_name] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,975: +PARAM [/fetch_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,975: +PARAM [/dis_between_land_points] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,976: +PARAM [/network_port] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,976: +PARAM [/aircraft_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,976: +PARAM [/do_deconflict_land] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,976: +PARAM [/subswarm_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,977: +PARAM [/aircraft_type] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,977: +PARAM [/sensor_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,977: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,977: +PARAM [/runway_pt2_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,977: +PARAM [/runway_pt2_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,978: +PARAM [/flight_ready] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,978: +PARAM [/runway_pt1_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,978: +PARAM [/network_device] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,978: +PARAM [/verify_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,979: +PARAM [/rosbag_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,979: +PARAM [/runway_pt1_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,078: +SERVICE [/rosout/get_loggers] /rosout http://copter131:57972/
[rosmaster.master][INFO] 2012-12-31 16:00:15,080: +SERVICE [/rosout/set_logger_level] /rosout http://copter131:57972/
[rosmaster.master][INFO] 2012-12-31 16:00:15,084: +PUB [/rosout_agg] /rosout http://copter131:57972/
[rosmaster.master][INFO] 2012-12-31 16:00:15,092: +SUB [/rosout] /rosout http://copter131:57972/
[rosmaster.master][INFO] 2012-12-31 16:00:15,927: +PUB [/rosout] /altitude_sensor http://copter131:51449/
[rosmaster.master][INFO] 2012-12-31 16:00:15,967: publisherUpdate[/rosout] -> http://copter131:57972/
[rosmaster.master][INFO] 2012-12-31 16:00:15,980: +SERVICE [/altitude_sensor/get_loggers] /altitude_sensor http://copter131:51449/
[rosmaster.master][INFO] 2012-12-31 16:00:15,986: +SERVICE [/altitude_sensor/set_logger_level] /altitude_sensor http://copter131:51449/
[rosmaster.master][INFO] 2012-12-31 16:00:15,998: +PUB [/tactic_interface/altitude] /altitude_sensor http://copter131:51449/
[rosmaster.master][INFO] 2012-12-31 16:00:16,011: +PUB [/rosout] /radiation_sensor http://copter131:60396/
