[rospy.client][INFO] 2019-03-07 07:48:19,500: init_node, name[/evader], pid[3207]
[xmlrpc][INFO] 2019-03-07 07:48:19,501: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2019-03-07 07:48:19,502: Started XML-RPC server [http://copter131:43744/]
[rospy.impl.masterslave][INFO] 2019-03-07 07:48:19,503: _ready: http://copter131:43744/
[rospy.init][INFO] 2019-03-07 07:48:19,504: ROS Slave URI: [http://copter131:43744/]
[xmlrpc][INFO] 2019-03-07 07:48:19,505: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2019-03-07 07:48:19,506: Registering with master node http://localhost:11311
[rospy.init][INFO] 2019-03-07 07:48:19,606: registered with master
[rospy.rosout][INFO] 2019-03-07 07:48:19,606: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-07 07:48:19,625: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-07 07:48:19,636: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-07 07:48:19,797: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-07 07:48:19,844: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-07 07:48:20,010: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:60333/], count 0
[rospy.internal][INFO] 2019-03-07 07:48:20,217: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-07 07:48:20,519: topic[/autopilot/acs_pose] adding connection to [http://copter131:44225/], count 0
[rospy.internal][INFO] 2019-03-07 07:48:20,671: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-07 07:48:20,700: topic[/autopilot/status] adding connection to [http://copter131:44225/], count 0
[rospy.internal][INFO] 2019-03-07 07:48:21,827: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:46603/], count 0
[rospy.internal][INFO] 2019-03-07 07:48:21,885: topic[/swarm_control/ap_intent] adding connection to [http://copter131:46603/], count 0
