[rosmaster.main][INFO] 2012-12-31 16:00:14,778: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-31 16:00:14,779: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-31 16:00:14,781: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2012-12-31 16:00:14,781: Started XML-RPC server [http://copter131:11311/]
[rosmaster.master][INFO] 2012-12-31 16:00:14,782: Master initialized: port[11311], uri[http://copter131:11311/]
[xmlrpc][INFO] 2012-12-31 16:00:14,782: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-31 16:00:14,869: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,872: +PARAM [/roslaunch/uris/host_copter131__37771] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,991: +PARAM [/swarm_team] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,991: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,992: +PARAM [/aircraft_name] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,992: +PARAM [/fetch_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,992: +PARAM [/dis_between_land_points] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,992: +PARAM [/network_port] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,993: +PARAM [/aircraft_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,993: +PARAM [/do_deconflict_land] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,993: +PARAM [/subswarm_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,993: +PARAM [/aircraft_type] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,994: +PARAM [/sensor_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,994: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,994: +PARAM [/runway_pt2_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,994: +PARAM [/runway_pt2_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,995: +PARAM [/flight_ready] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,995: +PARAM [/runway_pt1_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,995: +PARAM [/network_device] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,995: +PARAM [/verify_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,995: +PARAM [/rosbag_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,996: +PARAM [/runway_pt1_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,094: +SERVICE [/rosout/get_loggers] /rosout http://copter131:57570/
[rosmaster.master][INFO] 2012-12-31 16:00:15,096: +SERVICE [/rosout/set_logger_level] /rosout http://copter131:57570/
[rosmaster.master][INFO] 2012-12-31 16:00:15,100: +PUB [/rosout_agg] /rosout http://copter131:57570/
[rosmaster.master][INFO] 2012-12-31 16:00:15,109: +SUB [/rosout] /rosout http://copter131:57570/
[rosmaster.master][INFO] 2012-12-31 16:00:16,170: +PUB [/rosout] /radiation_sensor http://copter131:34567/
[rosmaster.master][INFO] 2012-12-31 16:00:16,183: publisherUpdate[/rosout] -> http://copter131:57570/
[rosmaster.master][INFO] 2012-12-31 16:00:16,250: +SERVICE [/radiation_sensor/get_loggers] /radiation_sensor http://copter131:34567/
[rosmaster.master][INFO] 2012-12-31 16:00:16,276: +SERVICE [/radiation_sensor/set_logger_level] /radiation_sensor http://copter131:34567/
[rosmaster.master][INFO] 2012-12-31 16:00:16,286: +PUB [/tactic_interface/radiation] /radiation_sensor http://copter131:34567/
[rosmaster.master][INFO] 2012-12-31 16:00:16,488: +PUB [/rosout] /safety http://copter131:57539/
[rosmaster.master][INFO] 2012-12-31 16:00:16,495: publisherUpdate[/rosout] -> http://copter131:57570/
[rosmaster.master][INFO] 2012-12-31 16:00:16,541: +SERVICE [/safety/get_loggers] /safety http://copter131:57539/
[rosmaster.master][INFO] 2012-12-31 16:00:16,575: +PUB [/rosout] /network http://copter131:39921/
[rosmaster.master][INFO] 2012-12-31 16:00:16,581: +SERVICE [/safety/set_logger_level] /safety http://copter131:57539/
[rosmaster.master][INFO] 2012-12-31 16:00:16,586: publisherUpdate[/rosout] -> http://copter131:57570/
[rosmaster.master][INFO] 2012-12-31 16:00:16,651: +SERVICE [/network/get_loggers] /network http://copter131:39921/
[rosmaster.master][INFO] 2012-12-31 16:00:16,686: +SERVICE [/network/set_logger_level] /network http://copter131:39921/
[rosmaster.master][INFO] 2012-12-31 16:00:16,849: +PUB [/autopilot/heartbeat_onboard] /safety http://copter131:57539/
[rosmaster.master][INFO] 2012-12-31 16:00:16,909: +PUB [/safety/healthy] /safety http://copter131:57539/
[rosmaster.master][INFO] 2012-12-31 16:00:16,965: +PUB [/autopilot/payload_waypoint] /safety http://copter131:57539/
[rosmaster.master][INFO] 2012-12-31 16:00:17,021: +PUB [/autopilot/payload_rate] /safety http://copter131:57539/
[rosmaster.master][INFO] 2012-12-31 16:00:17,045: +PUB [/rosout] /autopilot http://copter131:44225/
[rosmaster.master][INFO] 2012-12-31 16:00:17,061: +PARAM [/subswarm_id] by /unnamed
[rosmaster.master][INFO] 2012-12-31 16:00:17,082: +PUB [/autopilot/payload_attitude] /safety http://copter131:57539/
[rosmaster.master][INFO] 2012-12-31 16:00:17,088: publisherUpdate[/rosout] -> http://copter131:57570/
[rosmaster.master][INFO] 2012-12-31 16:00:17,171: +PUB [/rosout] /hit_tracker http://copter131:60333/
[rosmaster.master][INFO] 2012-12-31 16:00:17,193: publisherUpdate[/rosout] -> http://copter131:57570/
[rosmaster.master][INFO] 2012-12-31 16:00:17,216: +SERVICE [/autopilot/get_loggers] /autopilot http://copter131:44225/
[rosmaster.master][INFO] 2012-12-31 16:00:17,264: +SUB [/swarm_control/subswarm_id] /network http://copter131:39921/
[rosmaster.master][INFO] 2012-12-31 16:00:17,286: +SERVICE [/autopilot/set_logger_level] /autopilot http://copter131:44225/
[rosmaster.master][INFO] 2012-12-31 16:00:17,324: +PUB [/rosout] /swarm_tracker http://copter131:35710/
[rosmaster.master][INFO] 2012-12-31 16:00:17,355: +SERVICE [/hit_tracker/get_loggers] /hit_tracker http://copter131:60333/
[rosmaster.master][INFO] 2012-12-31 16:00:17,397: publisherUpdate[/rosout] -> http://copter131:57570/
[rosmaster.master][INFO] 2012-12-31 16:00:17,412: +SERVICE [/hit_tracker/set_logger_level] /hit_tracker http://copter131:60333/
[rosmaster.master][INFO] 2012-12-31 16:00:17,451: +SERVICE [/swarm_tracker/get_loggers] /swarm_tracker http://copter131:35710/
[rosmaster.master][INFO] 2012-12-31 16:00:17,471: +SERVICE [/hit_tracker/reset] /hit_tracker http://copter131:60333/
[rosmaster.master][INFO] 2012-12-31 16:00:17,511: +SUB [/autopilot/heartbeat_ground] /safety http://copter131:57539/
[rosmaster.master][INFO] 2012-12-31 16:00:17,531: +SERVICE [/swarm_tracker/set_logger_level] /swarm_tracker http://copter131:35710/
[rosmaster.master][INFO] 2012-12-31 16:00:17,577: +PUB [/rosout] /task_runner http://copter131:50040/
[rosmaster.master][INFO] 2012-12-31 16:00:17,606: publisherUpdate[/rosout] -> http://copter131:57570/
[rosmaster.master][INFO] 2019-03-07 07:48:16,744: +PUB [/rosout] /red_tracker http://copter131:45228/
[rosmaster.master][INFO] 2019-03-07 07:48:16,745: +SUB [/swarm_control/swarm_behavior] /network http://copter131:39921/
[rosmaster.master][INFO] 2019-03-07 07:48:16,758: +SERVICE [/task_runner/get_loggers] /task_runner http://copter131:50040/
[rosmaster.master][INFO] 2019-03-07 07:48:16,832: publisherUpdate[/rosout] -> http://copter131:57570/
[rosmaster.master][INFO] 2019-03-07 07:48:16,839: +PUB [/rosout] /recv_pose_rate http://copter131:49609/
[rosmaster.master][INFO] 2019-03-07 07:48:16,896: +SERVICE [/task_runner/set_logger_level] /task_runner http://copter131:50040/
[rosmaster.master][INFO] 2019-03-07 07:48:16,933: publisherUpdate[/rosout] -> http://copter131:57570/
[rosmaster.master][INFO] 2019-03-07 07:48:16,979: +SERVICE [/red_tracker/get_loggers] /red_tracker http://copter131:45228/
[rosmaster.master][INFO] 2019-03-07 07:48:17,026: +SUB [/network/recv_swarm_data] /hit_tracker http://copter131:60333/
[rosmaster.master][INFO] 2019-03-07 07:48:17,032: +SERVICE [/recv_pose_rate/get_loggers] /recv_pose_rate http://copter131:49609/
[rosmaster.master][INFO] 2019-03-07 07:48:17,065: +SERVICE [/red_tracker/set_logger_level] /red_tracker http://copter131:45228/
[rosmaster.master][INFO] 2019-03-07 07:48:17,121: +SERVICE [/recv_pose_rate/set_logger_level] /recv_pose_rate http://copter131:49609/
