[rospy.client][INFO] 2019-03-07 07:48:17,614: init_node, name[/simple_ground_attack], pid[2965]
[xmlrpc][INFO] 2019-03-07 07:48:17,624: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2019-03-07 07:48:17,625: Started XML-RPC server [http://copter131:35896/]
[rospy.impl.masterslave][INFO] 2019-03-07 07:48:17,625: _ready: http://copter131:35896/
[rospy.init][INFO] 2019-03-07 07:48:17,629: ROS Slave URI: [http://copter131:35896/]
[rospy.registration][INFO] 2019-03-07 07:48:17,649: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2019-03-07 07:48:17,649: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2019-03-07 07:48:17,729: registered with master
[rospy.rosout][INFO] 2019-03-07 07:48:17,730: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-07 07:48:17,818: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-07 07:48:17,927: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-07 07:48:18,094: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-07 07:48:19,382: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-07 07:48:19,399: topic[/safety/payload_rate] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-07 07:48:20,215: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-07 07:48:20,348: topic[/autopilot/waypoint_goto] adding connection to [/autopilot], count 0
[rospy.internal][INFO] 2019-03-07 07:48:20,678: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-07 07:48:20,704: topic[/autopilot/status] adding connection to [http://copter131:44225/], count 0
[rospy.internal][INFO] 2019-03-07 07:48:21,834: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:46603/], count 0
[rospy.internal][INFO] 2019-03-07 07:48:21,870: topic[/swarm_control/ap_intent] adding connection to [http://copter131:46603/], count 0
