[rosmaster.main][INFO] 2012-12-31 16:00:14,865: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-31 16:00:14,866: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-31 16:00:14,867: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2012-12-31 16:00:14,868: Started XML-RPC server [http://copter131:11311/]
[rosmaster.master][INFO] 2012-12-31 16:00:14,868: Master initialized: port[11311], uri[http://copter131:11311/]
[xmlrpc][INFO] 2012-12-31 16:00:14,868: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-31 16:00:14,955: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:14,957: +PARAM [/roslaunch/uris/host_copter131__44609] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,076: +PARAM [/swarm_team] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,077: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,077: +PARAM [/aircraft_name] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,077: +PARAM [/fetch_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,077: +PARAM [/dis_between_land_points] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,078: +PARAM [/network_port] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,078: +PARAM [/aircraft_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,078: +PARAM [/do_deconflict_land] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,078: +PARAM [/subswarm_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,079: +PARAM [/aircraft_type] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,079: +PARAM [/sensor_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,079: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,079: +PARAM [/runway_pt2_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,080: +PARAM [/runway_pt2_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,080: +PARAM [/flight_ready] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,080: +PARAM [/runway_pt1_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,080: +PARAM [/network_device] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,081: +PARAM [/verify_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,081: +PARAM [/rosbag_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,081: +PARAM [/runway_pt1_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,178: +SERVICE [/rosout/get_loggers] /rosout http://copter131:54069/
[rosmaster.master][INFO] 2012-12-31 16:00:15,180: +SERVICE [/rosout/set_logger_level] /rosout http://copter131:54069/
[rosmaster.master][INFO] 2012-12-31 16:00:15,184: +PUB [/rosout_agg] /rosout http://copter131:54069/
[rosmaster.master][INFO] 2012-12-31 16:00:15,193: +SUB [/rosout] /rosout http://copter131:54069/
[rosmaster.master][INFO] 2012-12-31 16:00:16,059: +PUB [/rosout] /altitude_sensor http://copter131:38686/
[rosmaster.master][INFO] 2012-12-31 16:00:16,069: publisherUpdate[/rosout] -> http://copter131:54069/
[rosmaster.master][INFO] 2012-12-31 16:00:16,096: +SERVICE [/altitude_sensor/get_loggers] /altitude_sensor http://copter131:38686/
[rosmaster.master][INFO] 2012-12-31 16:00:16,113: +SERVICE [/altitude_sensor/set_logger_level] /altitude_sensor http://copter131:38686/
[rosmaster.master][INFO] 2012-12-31 16:00:16,160: +PUB [/tactic_interface/altitude] /altitude_sensor http://copter131:38686/
[rosmaster.master][INFO] 2012-12-31 16:00:16,611: +PUB [/rosout] /safety http://copter131:56775/
[rosmaster.master][INFO] 2012-12-31 16:00:16,670: +SERVICE [/safety/get_loggers] /safety http://copter131:56775/
[rosmaster.master][INFO] 2012-12-31 16:00:16,671: publisherUpdate[/rosout] -> http://copter131:54069/
[rosmaster.master][INFO] 2012-12-31 16:00:16,700: +SERVICE [/safety/set_logger_level] /safety http://copter131:56775/
[rosmaster.master][INFO] 2012-12-31 16:00:16,879: +PUB [/rosout] /network http://copter131:41483/
[rosmaster.master][INFO] 2012-12-31 16:00:16,882: publisherUpdate[/rosout] -> http://copter131:54069/
[rosmaster.master][INFO] 2012-12-31 16:00:16,927: +PUB [/rosout] /hit_tracker http://copter131:58673/
[rosmaster.master][INFO] 2012-12-31 16:00:16,975: publisherUpdate[/rosout] -> http://copter131:54069/
[rosmaster.master][INFO] 2012-12-31 16:00:17,008: +SERVICE [/network/get_loggers] /network http://copter131:41483/
[rosmaster.master][INFO] 2012-12-31 16:00:17,019: +PUB [/rosout] /autopilot http://copter131:36919/
[rosmaster.master][INFO] 2012-12-31 16:00:17,024: +PUB [/autopilot/heartbeat_onboard] /safety http://copter131:56775/
[rosmaster.master][INFO] 2012-12-31 16:00:17,028: +PARAM [/subswarm_id] by /unnamed
[rosmaster.master][INFO] 2012-12-31 16:00:17,045: +SERVICE [/hit_tracker/get_loggers] /hit_tracker http://copter131:58673/
[rosmaster.master][INFO] 2012-12-31 16:00:17,079: publisherUpdate[/rosout] -> http://copter131:54069/
[rosmaster.master][INFO] 2012-12-31 16:00:17,095: +SERVICE [/network/set_logger_level] /network http://copter131:41483/
[rosmaster.master][INFO] 2012-12-31 16:00:17,105: +PUB [/safety/healthy] /safety http://copter131:56775/
[rosmaster.master][INFO] 2012-12-31 16:00:17,108: +SERVICE [/hit_tracker/set_logger_level] /hit_tracker http://copter131:58673/
[rosmaster.master][INFO] 2012-12-31 16:00:17,148: +PUB [/autopilot/payload_waypoint] /safety http://copter131:56775/
[rosmaster.master][INFO] 2012-12-31 16:00:17,158: +SERVICE [/hit_tracker/reset] /hit_tracker http://copter131:58673/
[rosmaster.master][INFO] 2012-12-31 16:00:17,166: +SERVICE [/autopilot/get_loggers] /autopilot http://copter131:36919/
[rosmaster.master][INFO] 2012-12-31 16:00:17,191: +PUB [/rosout] /task_runner http://copter131:41462/
[rosmaster.master][INFO] 2012-12-31 16:00:17,225: +PUB [/autopilot/payload_rate] /safety http://copter131:56775/
[rosmaster.master][INFO] 2012-12-31 16:00:17,260: +SERVICE [/autopilot/set_logger_level] /autopilot http://copter131:36919/
[rosmaster.master][INFO] 2012-12-31 16:00:17,282: publisherUpdate[/rosout] -> http://copter131:54069/
[rosmaster.master][INFO] 2012-12-31 16:00:17,308: +PUB [/autopilot/payload_attitude] /safety http://copter131:56775/
[rosmaster.master][INFO] 2012-12-31 16:00:17,331: +PUB [/rosout] /swarm_tracker http://copter131:60929/
[rosmaster.master][INFO] 2012-12-31 16:00:17,350: +PUB [/rosout] /recv_pose_rate http://copter131:49148/
[rosmaster.master][INFO] 2012-12-31 16:00:17,381: +SERVICE [/task_runner/get_loggers] /task_runner http://copter131:41462/
[rosmaster.master][INFO] 2012-12-31 16:00:17,384: publisherUpdate[/rosout] -> http://copter131:54069/
[rosmaster.master][INFO] 2012-12-31 16:00:17,388: publisherUpdate[/rosout] -> http://copter131:54069/
[rosmaster.master][INFO] 2012-12-31 16:00:17,435: +PUB [/rosout] /red_tracker http://copter131:40653/
[rosmaster.master][INFO] 2012-12-31 16:00:17,475: +SERVICE [/task_runner/set_logger_level] /task_runner http://copter131:41462/
[rosmaster.master][INFO] 2012-12-31 16:00:17,487: publisherUpdate[/rosout] -> http://copter131:54069/
[rosmaster.master][INFO] 2012-12-31 16:00:17,555: +SERVICE [/swarm_tracker/get_loggers] /swarm_tracker http://copter131:60929/
[rosmaster.master][INFO] 2012-12-31 16:00:17,613: +SERVICE [/red_tracker/get_loggers] /red_tracker http://copter131:40653/
[rosmaster.master][INFO] 2012-12-31 16:00:17,616: +SERVICE [/recv_pose_rate/get_loggers] /recv_pose_rate http://copter131:49148/
[rosmaster.master][INFO] 2012-12-31 16:00:17,633: +SERVICE [/swarm_tracker/set_logger_level] /swarm_tracker http://copter131:60929/
