[rospy.client][INFO] 2012-12-31 16:00:19,990: init_node, name[/evader], pid[3122]
[xmlrpc][INFO] 2012-12-31 16:00:19,991: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2012-12-31 16:00:19,992: Started XML-RPC server [http://copter131:33294/]
[rospy.impl.masterslave][INFO] 2012-12-31 16:00:19,993: _ready: http://copter131:33294/
[rospy.init][INFO] 2012-12-31 16:00:19,993: ROS Slave URI: [http://copter131:33294/]
[xmlrpc][INFO] 2012-12-31 16:00:19,995: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2012-12-31 16:00:19,996: Registering with master node http://localhost:11311
[rospy.init][INFO] 2012-12-31 16:00:20,094: registered with master
[rospy.rosout][INFO] 2012-12-31 16:00:20,094: initializing /rosout core topic
[rospy.rosout][INFO] 2012-12-31 16:00:20,114: connected to core topic /rosout
[rospy.simtime][INFO] 2012-12-31 16:00:20,130: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2012-12-31 16:00:20,303: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2012-12-31 16:00:20,340: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:58504/], count 0
[rospy.internal][INFO] 2012-12-31 16:00:20,398: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2012-12-31 16:00:20,442: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-04 16:57:48,822: topic[/autopilot/acs_pose] adding connection to [http://copter131:57597/], count 0
[rospy.internal][INFO] 2019-03-04 16:57:49,293: topic[/autopilot/status] adding connection to [http://copter131:57597/], count 0
[rospy.internal][INFO] 2019-03-04 16:57:50,059: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-04 16:57:50,256: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:48074/], count 0
[rospy.internal][INFO] 2019-03-04 16:57:50,344: topic[/swarm_control/ap_intent] adding connection to [http://copter131:48074/], count 0
