[rosmaster.main][INFO] 2012-12-31 16:00:14,913: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-31 16:00:14,913: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-31 16:00:14,915: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2012-12-31 16:00:14,916: Started XML-RPC server [http://copter131:11311/]
[rosmaster.master][INFO] 2012-12-31 16:00:14,916: Master initialized: port[11311], uri[http://copter131:11311/]
[xmlrpc][INFO] 2012-12-31 16:00:14,916: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-31 16:00:15,003: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,006: +PARAM [/roslaunch/uris/host_copter131__43727] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,124: +PARAM [/swarm_team] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,124: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,124: +PARAM [/aircraft_name] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,124: +PARAM [/fetch_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,125: +PARAM [/dis_between_land_points] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,125: +PARAM [/network_port] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,125: +PARAM [/aircraft_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,125: +PARAM [/do_deconflict_land] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,126: +PARAM [/subswarm_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,126: +PARAM [/aircraft_type] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,126: +PARAM [/sensor_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,126: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,127: +PARAM [/runway_pt2_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,127: +PARAM [/runway_pt2_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,127: +PARAM [/flight_ready] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,127: +PARAM [/runway_pt1_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,128: +PARAM [/network_device] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,128: +PARAM [/verify_enable] by /roslaunch
