[rosmaster.main][INFO] 2012-12-31 16:00:15,075: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-31 16:00:15,076: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-31 16:00:15,077: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2012-12-31 16:00:15,078: Started XML-RPC server [http://copter131:11311/]
[rosmaster.master][INFO] 2012-12-31 16:00:15,078: Master initialized: port[11311], uri[http://copter131:11311/]
[xmlrpc][INFO] 2012-12-31 16:00:15,079: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-31 16:00:15,164: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,167: +PARAM [/roslaunch/uris/host_copter131__37972] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,286: +PARAM [/swarm_team] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,286: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,286: +PARAM [/aircraft_name] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,287: +PARAM [/fetch_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,287: +PARAM [/dis_between_land_points] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,287: +PARAM [/network_port] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,287: +PARAM [/aircraft_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,288: +PARAM [/do_deconflict_land] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,288: +PARAM [/subswarm_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,288: +PARAM [/aircraft_type] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,288: +PARAM [/sensor_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,289: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,289: +PARAM [/runway_pt2_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,289: +PARAM [/runway_pt2_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,289: +PARAM [/flight_ready] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,290: +PARAM [/runway_pt1_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,290: +PARAM [/network_device] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,290: +PARAM [/verify_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,290: +PARAM [/rosbag_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,290: +PARAM [/runway_pt1_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,390: +SERVICE [/rosout/get_loggers] /rosout http://copter131:59677/
[rosmaster.master][INFO] 2012-12-31 16:00:15,392: +SERVICE [/rosout/set_logger_level] /rosout http://copter131:59677/
[rosmaster.master][INFO] 2012-12-31 16:00:15,396: +PUB [/rosout_agg] /rosout http://copter131:59677/
[rosmaster.master][INFO] 2012-12-31 16:00:15,405: +SUB [/rosout] /rosout http://copter131:59677/
[rosmaster.master][INFO] 2012-12-31 16:00:16,345: +PUB [/rosout] /radiation_sensor http://copter131:46296/
[rosmaster.master][INFO] 2012-12-31 16:00:16,380: publisherUpdate[/rosout] -> http://copter131:59677/
[rosmaster.master][INFO] 2012-12-31 16:00:16,396: +SERVICE [/radiation_sensor/get_loggers] /radiation_sensor http://copter131:46296/
[rosmaster.master][INFO] 2012-12-31 16:00:16,416: +SERVICE [/radiation_sensor/set_logger_level] /radiation_sensor http://copter131:46296/
[rosmaster.master][INFO] 2012-12-31 16:00:16,429: +PUB [/tactic_interface/radiation] /radiation_sensor http://copter131:46296/
[rosmaster.master][INFO] 2012-12-31 16:00:16,516: -PUB [/tactic_interface/radiation] /radiation_sensor http://copter131:46296/
[rosmaster.master][INFO] 2012-12-31 16:00:16,517: -PUB [/rosout] /radiation_sensor http://copter131:46296/
[rosmaster.master][INFO] 2012-12-31 16:00:16,517: -SERVICE [/radiation_sensor/set_logger_level] /radiation_sensor rosrpc://copter131:58622
[rosmaster.master][INFO] 2012-12-31 16:00:16,517: -SERVICE [/radiation_sensor/get_loggers] /radiation_sensor rosrpc://copter131:58622
[rosmaster.master][INFO] 2012-12-31 16:00:16,581: publisherUpdate[/rosout] -> http://copter131:59677/
[rosmaster.master][INFO] 2012-12-31 16:00:16,646: +PUB [/rosout] /safety http://copter131:60763/
[rosmaster.master][INFO] 2012-12-31 16:00:16,682: publisherUpdate[/rosout] -> http://copter131:59677/
[rosmaster.master][INFO] 2012-12-31 16:00:16,715: +SERVICE [/safety/get_loggers] /safety http://copter131:60763/
[rosmaster.master][INFO] 2012-12-31 16:00:16,741: +SERVICE [/safety/set_logger_level] /safety http://copter131:60763/
[rosmaster.master][INFO] 2012-12-31 16:00:16,941: +PUB [/autopilot/heartbeat_onboard] /safety http://copter131:60763/
[rosmaster.master][INFO] 2012-12-31 16:00:16,961: +PUB [/rosout] /network http://copter131:34705/
[rosmaster.master][INFO] 2012-12-31 16:00:16,975: +PUB [/safety/healthy] /safety http://copter131:60763/
[rosmaster.master][INFO] 2012-12-31 16:00:16,985: publisherUpdate[/rosout] -> http://copter131:59677/
[rosmaster.master][INFO] 2012-12-31 16:00:16,988: +PUB [/autopilot/payload_waypoint] /safety http://copter131:60763/
[rosmaster.master][INFO] 2012-12-31 16:00:17,020: +SERVICE [/network/get_loggers] /network http://copter131:34705/
[rosmaster.master][INFO] 2012-12-31 16:00:17,027: +PUB [/autopilot/payload_rate] /safety http://copter131:60763/
[rosmaster.master][INFO] 2012-12-31 16:00:17,040: +SERVICE [/network/set_logger_level] /network http://copter131:34705/
[rosmaster.master][INFO] 2012-12-31 16:00:17,065: +PUB [/autopilot/payload_attitude] /safety http://copter131:60763/
[rosmaster.master][INFO] 2012-12-31 16:00:17,125: +PUB [/rosout] /hit_tracker http://copter131:42824/
[rosmaster.master][INFO] 2012-12-31 16:00:17,191: publisherUpdate[/rosout] -> http://copter131:59677/
[rosmaster.master][INFO] 2012-12-31 16:00:17,221: +PUB [/rosout] /autopilot http://copter131:42654/
[rosmaster.master][INFO] 2012-12-31 16:00:17,240: +SERVICE [/hit_tracker/get_loggers] /hit_tracker http://copter131:42824/
[rosmaster.master][INFO] 2012-12-31 16:00:17,290: +SERVICE [/hit_tracker/set_logger_level] /hit_tracker http://copter131:42824/
[rosmaster.master][INFO] 2012-12-31 16:00:17,292: publisherUpdate[/rosout] -> http://copter131:59677/
[rosmaster.master][INFO] 2012-12-31 16:00:17,365: +SERVICE [/hit_tracker/reset] /hit_tracker http://copter131:42824/
[rosmaster.master][INFO] 2012-12-31 16:00:17,375: +SUB [/autopilot/heartbeat_ground] /safety http://copter131:60763/
[rosmaster.master][INFO] 2012-12-31 16:00:17,397: +SERVICE [/autopilot/get_loggers] /autopilot http://copter131:42654/
[rosmaster.master][INFO] 2012-12-31 16:00:17,504: +SERVICE [/autopilot/set_logger_level] /autopilot http://copter131:42654/
[rosmaster.master][INFO] 2012-12-31 16:00:17,531: +PUB [/rosout] /task_runner http://copter131:38450/
[rosmaster.master][INFO] 2012-12-31 16:00:17,553: +PARAM [/subswarm_id] by /unnamed
[rosmaster.master][INFO] 2012-12-31 16:00:17,594: publisherUpdate[/rosout] -> http://copter131:59677/
[rosmaster.master][INFO] 2012-12-31 16:00:17,660: +PUB [/rosout] /recv_pose_rate http://copter131:41652/
[rosmaster.master][INFO] 2012-12-31 16:00:17,682: +SERVICE [/task_runner/get_loggers] /task_runner http://copter131:38450/
[rosmaster.master][INFO] 2012-12-31 16:00:17,700: publisherUpdate[/rosout] -> http://copter131:59677/
[rosmaster.master][INFO] 2012-12-31 16:00:17,775: +SERVICE [/task_runner/set_logger_level] /task_runner http://copter131:38450/
[rosmaster.master][INFO] 2012-12-31 16:00:17,806: +SUB [/network/recv_swarm_data] /hit_tracker http://copter131:42824/
[rosmaster.master][INFO] 2012-12-31 16:00:17,822: +SERVICE [/recv_pose_rate/get_loggers] /recv_pose_rate http://copter131:41652/
[rosmaster.master][INFO] 2012-12-31 16:00:17,836: +SUB [/autopilot/acs_pose] /safety http://copter131:60763/
[rosmaster.master][INFO] 2012-12-31 16:00:17,880: +PUB [/rosout] /swarm_tracker http://copter131:48659/
[rosmaster.master][INFO] 2012-12-31 16:00:17,909: publisherUpdate[/rosout] -> http://copter131:59677/
[rosmaster.master][INFO] 2012-12-31 16:00:17,931: +SERVICE [/recv_pose_rate/set_logger_level] /recv_pose_rate http://copter131:41652/
[rosmaster.master][INFO] 2012-12-31 16:00:17,936: +PUB [/rosout] /red_tracker http://copter131:40461/
[rosmaster.master][INFO] 2012-12-31 16:00:18,009: publisherUpdate[/rosout] -> http://copter131:59677/
[rosmaster.master][INFO] 2012-12-31 16:00:18,086: +SERVICE [/swarm_tracker/get_loggers] /swarm_tracker http://copter131:48659/
[rosmaster.master][INFO] 2012-12-31 16:00:18,100: +SUB [/swarm_control/subswarm_id] /network http://copter131:34705/
[rosmaster.master][INFO] 2012-12-31 16:00:18,170: +SERVICE [/red_tracker/get_loggers] /red_tracker http://copter131:40461/
[rosmaster.master][INFO] 2012-12-31 16:00:18,208: +SERVICE [/swarm_tracker/set_logger_level] /swarm_tracker http://copter131:48659/
[rosmaster.master][INFO] 2012-12-31 16:00:18,256: +SERVICE [/red_tracker/set_logger_level] /red_tracker http://copter131:40461/
[rosmaster.master][INFO] 2012-12-31 16:00:18,333: +SUB [/autopilot/status] /task_runner http://copter131:38450/
[rosmaster.master][INFO] 2012-12-31 16:00:18,365: +PUB [/rosout] /independent_transit http://copter131:56897/
[rosmaster.master][INFO] 2012-12-31 16:00:18,387: +SUB [/network/net_reset] /hit_tracker http://copter131:42824/
[rosmaster.master][INFO] 2012-12-31 16:00:18,412: publisherUpdate[/rosout] -> http://copter131:59677/
[rosmaster.master][INFO] 2012-12-31 16:00:18,485: +PUB [/hit_tracker/hit_uavs] /hit_tracker http://copter131:42824/
[rosmaster.master][INFO] 2012-12-31 16:00:18,503: +SUB [/network/recv_pose] /recv_pose_rate http://copter131:41652/
[rosmaster.master][INFO] 2012-12-31 16:00:18,555: +PUB [/rosout] /patrol_box http://copter131:41672/
[rosmaster.master][INFO] 2012-12-31 16:00:18,583: +SERVICE [/independent_transit/get_loggers] /independent_transit http://copter131:56897/
[rosmaster.master][INFO] 2012-12-31 16:00:18,601: +PUB [/logging/recv_pose_rate] /recv_pose_rate http://copter131:41652/
[rosmaster.master][INFO] 2012-12-31 16:00:18,618: publisherUpdate[/rosout] -> http://copter131:59677/
[rosmaster.master][INFO] 2012-12-31 16:00:18,705: +SERVICE [/independent_transit/set_logger_level] /independent_transit http://copter131:56897/
[rosmaster.master][INFO] 2012-12-31 16:00:18,713: +PUB [/rosout] /simple_ground_attack http://copter131:39589/
[rosmaster.master][INFO] 2012-12-31 16:00:18,720: publisherUpdate[/rosout] -> http://copter131:59677/
[rosmaster.master][INFO] 2012-12-31 16:00:18,760: +SUB [/swarm_control/swarm_behavior] /network http://copter131:34705/
[rosmaster.master][INFO] 2012-12-31 16:00:18,815: +PUB [/rosout] /swarm_control http://copter131:56722/
[rosmaster.master][INFO] 2012-12-31 16:00:18,821: publisherUpdate[/rosout] -> http://copter131:59677/
[rosmaster.master][INFO] 2012-12-31 16:00:18,825: +SUB [/autopilot/acs_pose] /swarm_tracker http://copter131:48659/
[rosmaster.master][INFO] 2012-12-31 16:00:18,830: +SERVICE [/patrol_box/get_loggers] /patrol_box http://copter131:41672/
[rosmaster.master][INFO] 2012-12-31 16:00:18,874: +SUB [/autopilot/acs_pose] /red_tracker http://copter131:40461/
[rosmaster.master][INFO] 2012-12-31 16:00:18,955: +SERVICE [/patrol_box/set_logger_level] /patrol_box http://copter131:41672/
[rosmaster.master][INFO] 2012-12-31 16:00:18,976: +SERVICE [/simple_ground_attack/get_loggers] /simple_ground_attack http://copter131:39589/
[rosmaster.master][INFO] 2012-12-31 16:00:18,982: +PUB [/rosout] /radiation_sensor http://copter131:39493/
[rosmaster.master][INFO] 2012-12-31 16:00:18,998: +SERVICE [/swarm_control/get_loggers] /swarm_control http://copter131:56722/
[rosmaster.master][INFO] 2012-12-31 16:00:19,027: publisherUpdate[/rosout] -> http://copter131:59677/
[rosmaster.master][INFO] 2012-12-31 16:00:19,067: +SERVICE [/simple_ground_attack/set_logger_level] /simple_ground_attack http://copter131:39589/
[rosmaster.master][INFO] 2012-12-31 16:00:19,144: +SERVICE [/swarm_control/set_logger_level] /swarm_control http://copter131:56722/
[rosmaster.master][INFO] 2012-12-31 16:00:19,160: +PUB [/rosout] /linear_formation http://copter131:44225/
[rosmaster.master][INFO] 2012-12-31 16:00:19,229: publisherUpdate[/rosout] -> http://copter131:59677/
[rosmaster.master][INFO] 2012-12-31 16:00:19,243: +SERVICE [/swarm_control/register_behavior] /swarm_control http://copter131:56722/
[rosmaster.master][INFO] 2012-12-31 16:00:19,271: +PUB [/autopilot/waypoint_goto] /simple_ground_attack http://copter131:39589/
[rosmaster.master][INFO] 2012-12-31 16:00:19,323: +SERVICE [/swarm_control/run_behavior] /swarm_control http://copter131:56722/
[rosmaster.master][INFO] 2012-12-31 16:00:19,341: +SERVICE [/linear_formation/get_loggers] /linear_formation http://copter131:44225/
