[rosmaster.main][INFO] 2012-12-31 16:00:15,145: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-31 16:00:15,146: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-31 16:00:15,147: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2012-12-31 16:00:15,148: Started XML-RPC server [http://copter131:11311/]
[rosmaster.master][INFO] 2012-12-31 16:00:15,148: Master initialized: port[11311], uri[http://copter131:11311/]
[xmlrpc][INFO] 2012-12-31 16:00:15,149: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-31 16:00:15,235: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,238: +PARAM [/roslaunch/uris/host_copter131__36616] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,357: +PARAM [/swarm_team] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,358: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,358: +PARAM [/aircraft_name] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,358: +PARAM [/fetch_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,359: +PARAM [/dis_between_land_points] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,359: +PARAM [/network_port] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,359: +PARAM [/aircraft_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,359: +PARAM [/do_deconflict_land] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,360: +PARAM [/subswarm_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,360: +PARAM [/aircraft_type] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,360: +PARAM [/sensor_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,360: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,361: +PARAM [/runway_pt2_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,361: +PARAM [/runway_pt2_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,361: +PARAM [/flight_ready] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,361: +PARAM [/runway_pt1_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,361: +PARAM [/network_device] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,362: +PARAM [/verify_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,362: +PARAM [/rosbag_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,362: +PARAM [/runway_pt1_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,459: +SERVICE [/rosout/get_loggers] /rosout http://copter131:59148/
[rosmaster.master][INFO] 2012-12-31 16:00:15,461: +SERVICE [/rosout/set_logger_level] /rosout http://copter131:59148/
[rosmaster.master][INFO] 2012-12-31 16:00:15,468: +PUB [/rosout_agg] /rosout http://copter131:59148/
[rosmaster.master][INFO] 2012-12-31 16:00:15,477: +SUB [/rosout] /rosout http://copter131:59148/
[rosmaster.master][INFO] 2012-12-31 16:00:16,536: +PUB [/rosout] /radiation_sensor http://copter131:60317/
[rosmaster.master][INFO] 2012-12-31 16:00:16,550: publisherUpdate[/rosout] -> http://copter131:59148/
[rosmaster.master][INFO] 2012-12-31 16:00:16,586: +SERVICE [/radiation_sensor/get_loggers] /radiation_sensor http://copter131:60317/
