[rospy.client][INFO] 2019-04-03 05:21:10,010: init_node, name[/evader], pid[3197]
[xmlrpc][INFO] 2019-04-03 05:21:10,017: XML-RPC server binding to 0.0.0.0:0
[rospy.init][INFO] 2019-04-03 05:21:10,021: ROS Slave URI: [http://copter131:48425/]
[xmlrpc][INFO] 2019-04-03 05:21:10,021: Started XML-RPC server [http://copter131:48425/]
[rospy.impl.masterslave][INFO] 2019-04-03 05:21:10,022: _ready: http://copter131:48425/
[xmlrpc][INFO] 2019-04-03 05:21:10,022: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2019-04-03 05:21:10,024: Registering with master node http://localhost:11311
[rospy.init][INFO] 2019-04-03 05:21:10,122: registered with master
[rospy.rosout][INFO] 2019-04-03 05:21:10,122: initializing /rosout core topic
[rospy.rosout][INFO] 2019-04-03 05:21:10,144: connected to core topic /rosout
[rospy.simtime][INFO] 2019-04-03 05:21:10,157: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-04-03 05:21:10,340: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-04-03 05:21:10,419: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-04-03 05:21:10,743: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:58982/], count 0
[rospy.internal][INFO] 2019-04-03 05:21:11,015: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-04-03 05:21:11,507: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-04-03 05:21:11,595: topic[/autopilot/status] adding connection to [http://copter131:39455/], count 0
[rospy.internal][INFO] 2019-04-03 05:21:12,004: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:54335/], count 0
[rospy.internal][INFO] 2019-04-03 05:21:12,033: topic[/autopilot/acs_pose] adding connection to [http://copter131:39455/], count 0
[rospy.internal][INFO] 2019-04-03 05:21:12,172: topic[/swarm_control/ap_intent] adding connection to [http://copter131:54335/], count 0
