[rosmaster.main][INFO] 2012-12-31 16:00:15,316: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-31 16:00:15,317: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-31 16:00:15,318: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2012-12-31 16:00:15,319: Started XML-RPC server [http://copter131:11311/]
[rosmaster.master][INFO] 2012-12-31 16:00:15,319: Master initialized: port[11311], uri[http://copter131:11311/]
[xmlrpc][INFO] 2012-12-31 16:00:15,320: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-31 16:00:15,401: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,404: +PARAM [/roslaunch/uris/host_copter131__52309] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,524: +PARAM [/swarm_team] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,524: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,525: +PARAM [/aircraft_name] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,525: +PARAM [/fetch_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,525: +PARAM [/dis_between_land_points] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,525: +PARAM [/network_port] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,526: +PARAM [/aircraft_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,526: +PARAM [/do_deconflict_land] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,526: +PARAM [/subswarm_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,526: +PARAM [/aircraft_type] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,526: +PARAM [/sensor_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,527: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,527: +PARAM [/runway_pt2_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,527: +PARAM [/runway_pt2_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,527: +PARAM [/flight_ready] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,528: +PARAM [/runway_pt1_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,528: +PARAM [/network_device] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,528: +PARAM [/verify_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,528: +PARAM [/rosbag_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,529: +PARAM [/runway_pt1_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,632: +SERVICE [/rosout/get_loggers] /rosout http://copter131:42356/
[rosmaster.master][INFO] 2012-12-31 16:00:15,634: +SERVICE [/rosout/set_logger_level] /rosout http://copter131:42356/
[rosmaster.master][INFO] 2012-12-31 16:00:15,638: +PUB [/rosout_agg] /rosout http://copter131:42356/
[rosmaster.master][INFO] 2012-12-31 16:00:15,648: +SUB [/rosout] /rosout http://copter131:42356/
[rosmaster.master][INFO] 2012-12-31 16:00:16,644: +PUB [/rosout] /radiation_sensor http://copter131:47417/
[rosmaster.master][INFO] 2012-12-31 16:00:16,721: +SERVICE [/radiation_sensor/get_loggers] /radiation_sensor http://copter131:47417/
[rosmaster.master][INFO] 2012-12-31 16:00:16,727: publisherUpdate[/rosout] -> http://copter131:42356/
[rosmaster.master][INFO] 2012-12-31 16:00:16,751: +SERVICE [/radiation_sensor/set_logger_level] /radiation_sensor http://copter131:47417/
[rosmaster.master][INFO] 2012-12-31 16:00:16,758: +PUB [/tactic_interface/radiation] /radiation_sensor http://copter131:47417/
[rosmaster.master][INFO] 2012-12-31 16:00:16,847: -PUB [/tactic_interface/radiation] /radiation_sensor http://copter131:47417/
