[rospy.client][INFO] 2019-04-03 05:21:10,883: init_node, name[/tactic_interface], pid[2986]
[xmlrpc][INFO] 2019-04-03 05:21:10,885: XML-RPC server binding to 0.0.0.0:0
[rospy.init][INFO] 2019-04-03 05:21:10,887: ROS Slave URI: [http://copter131:46469/]
[xmlrpc][INFO] 2019-04-03 05:21:10,887: Started XML-RPC server [http://copter131:46469/]
[rospy.impl.masterslave][INFO] 2019-04-03 05:21:10,887: _ready: http://copter131:46469/
[xmlrpc][INFO] 2019-04-03 05:21:10,888: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2019-04-03 05:21:10,889: Registering with master node http://localhost:11311
[rospy.registration][INFO] 2019-04-03 05:21:10,891: Registering publisher topic [/safety/payload_waypoint] type [autopilot_bridge/LLA] with master
[rospy.registration][INFO] 2019-04-03 05:21:10,909: registering subscriber topic [/autopilot/status] type [autopilot_bridge/Status] with master
[rospy.init][INFO] 2019-04-03 05:21:10,987: registered with master
[rospy.rosout][INFO] 2019-04-03 05:21:10,988: initializing /rosout core topic
[rospy.rosout][INFO] 2019-04-03 05:21:11,025: connected to core topic /rosout
[rospy.internal][INFO] 2019-04-03 05:21:11,027: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.simtime][INFO] 2019-04-03 05:21:11,041: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-04-03 05:21:11,278: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-04-03 05:21:11,414: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-04-03 05:21:11,575: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-04-03 05:21:11,610: topic[/autopilot/status] adding connection to [http://copter131:39455/], count 0
[rospy.internal][INFO] 2019-04-03 05:21:11,960: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:58982/], count 0
[rospy.internal][INFO] 2019-04-03 05:21:12,048: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:54335/], count 0
[rospy.internal][INFO] 2019-04-03 05:21:12,071: topic[/autopilot/acs_pose] adding connection to [http://copter131:39455/], count 0
[rospy.internal][INFO] 2019-04-03 05:21:12,201: topic[/swarm_control/ap_intent] adding connection to [http://copter131:54335/], count 0
[rospy.internal][INFO] 2019-04-03 05:21:12,284: topic[/air_to_air/firing_reports] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-04-03 05:21:12,311: topic[/network/swarm_sub_behavior] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-04-03 05:21:12,317: topic[/autopilot/waypoint_goto] adding connection to [/autopilot], count 0
