[rosmaster.main][INFO] 2012-12-31 16:00:15,469: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-31 16:00:15,470: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-31 16:00:15,471: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2012-12-31 16:00:15,472: Started XML-RPC server [http://copter131:11311/]
[rosmaster.master][INFO] 2012-12-31 16:00:15,472: Master initialized: port[11311], uri[http://copter131:11311/]
[xmlrpc][INFO] 2012-12-31 16:00:15,473: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-31 16:00:15,561: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,563: +PARAM [/roslaunch/uris/host_copter131__42019] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,683: +PARAM [/swarm_team] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,683: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,683: +PARAM [/aircraft_name] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,684: +PARAM [/fetch_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,684: +PARAM [/dis_between_land_points] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,684: +PARAM [/network_port] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,684: +PARAM [/aircraft_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,685: +PARAM [/do_deconflict_land] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,685: +PARAM [/subswarm_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,685: +PARAM [/aircraft_type] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,685: +PARAM [/sensor_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,686: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,686: +PARAM [/runway_pt2_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,686: +PARAM [/runway_pt2_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,686: +PARAM [/flight_ready] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,687: +PARAM [/runway_pt1_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,687: +PARAM [/network_device] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,687: +PARAM [/verify_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,687: +PARAM [/rosbag_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,688: +PARAM [/runway_pt1_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:15,789: +SERVICE [/rosout/get_loggers] /rosout http://copter131:43190/
[rosmaster.master][INFO] 2012-12-31 16:00:15,791: +SERVICE [/rosout/set_logger_level] /rosout http://copter131:43190/
[rosmaster.master][INFO] 2012-12-31 16:00:15,795: +PUB [/rosout_agg] /rosout http://copter131:43190/
[rosmaster.master][INFO] 2012-12-31 16:00:15,805: +SUB [/rosout] /rosout http://copter131:43190/
[rosmaster.master][INFO] 2012-12-31 16:00:16,699: +PUB [/rosout] /radiation_sensor http://copter131:35365/
[rosmaster.master][INFO] 2012-12-31 16:00:16,765: +SERVICE [/radiation_sensor/get_loggers] /radiation_sensor http://copter131:35365/
[rosmaster.master][INFO] 2012-12-31 16:00:16,773: publisherUpdate[/rosout] -> http://copter131:43190/
[rosmaster.master][INFO] 2012-12-31 16:00:16,782: +SERVICE [/radiation_sensor/set_logger_level] /radiation_sensor http://copter131:35365/
[rosmaster.master][INFO] 2012-12-31 16:00:16,800: +PUB [/tactic_interface/radiation] /radiation_sensor http://copter131:35365/
[rosmaster.master][INFO] 2012-12-31 16:00:17,070: +PUB [/rosout] /safety http://copter131:36493/
[rosmaster.master][INFO] 2012-12-31 16:00:17,075: publisherUpdate[/rosout] -> http://copter131:43190/
[rosmaster.master][INFO] 2012-12-31 16:00:17,122: +SERVICE [/safety/get_loggers] /safety http://copter131:36493/
[rosmaster.master][INFO] 2012-12-31 16:00:17,182: +SERVICE [/safety/set_logger_level] /safety http://copter131:36493/
[rosmaster.master][INFO] 2012-12-31 16:00:17,186: +PUB [/rosout] /network http://copter131:33195/
[rosmaster.master][INFO] 2012-12-31 16:00:17,187: publisherUpdate[/rosout] -> http://copter131:43190/
[rosmaster.master][INFO] 2012-12-31 16:00:17,245: +SERVICE [/network/get_loggers] /network http://copter131:33195/
[rosmaster.master][INFO] 2012-12-31 16:00:17,271: +SERVICE [/network/set_logger_level] /network http://copter131:33195/
[rosmaster.master][INFO] 2012-12-31 16:00:17,445: +PUB [/autopilot/heartbeat_onboard] /safety http://copter131:36493/
[rosmaster.master][INFO] 2012-12-31 16:00:17,475: +PUB [/safety/healthy] /safety http://copter131:36493/
[rosmaster.master][INFO] 2012-12-31 16:00:17,525: +PUB [/autopilot/payload_waypoint] /safety http://copter131:36493/
[rosmaster.master][INFO] 2012-12-31 16:00:17,537: +PARAM [/subswarm_id] by /unnamed
[rosmaster.master][INFO] 2012-12-31 16:00:17,565: +PUB [/autopilot/payload_rate] /safety http://copter131:36493/
[rosmaster.master][INFO] 2012-12-31 16:00:17,596: +PUB [/autopilot/payload_attitude] /safety http://copter131:36493/
[rosmaster.master][INFO] 2012-12-31 16:00:17,610: +PUB [/rosout] /autopilot http://copter131:60153/
[rosmaster.master][INFO] 2012-12-31 16:00:17,646: +PUB [/rosout] /hit_tracker http://copter131:49934/
[rosmaster.master][INFO] 2012-12-31 16:00:17,677: publisherUpdate[/rosout] -> http://copter131:43190/
[rosmaster.master][INFO] 2012-12-31 16:00:17,681: publisherUpdate[/rosout] -> http://copter131:43190/
[rosmaster.master][INFO] 2012-12-31 16:00:17,711: +SERVICE [/autopilot/get_loggers] /autopilot http://copter131:60153/
[rosmaster.master][INFO] 2012-12-31 16:00:17,775: +SERVICE [/autopilot/set_logger_level] /autopilot http://copter131:60153/
[rosmaster.master][INFO] 2012-12-31 16:00:17,777: +SERVICE [/hit_tracker/get_loggers] /hit_tracker http://copter131:49934/
[rosmaster.master][INFO] 2012-12-31 16:00:17,820: +SERVICE [/hit_tracker/set_logger_level] /hit_tracker http://copter131:49934/
[rosmaster.master][INFO] 2012-12-31 16:00:17,851: +SUB [/swarm_control/subswarm_id] /network http://copter131:33195/
[rosmaster.master][INFO] 2012-12-31 16:00:17,929: +PUB [/rosout] /swarm_tracker http://copter131:34600/
[rosmaster.master][INFO] 2012-12-31 16:00:17,941: +SERVICE [/hit_tracker/reset] /hit_tracker http://copter131:49934/
[rosmaster.master][INFO] 2012-12-31 16:00:17,966: +SUB [/autopilot/heartbeat_ground] /safety http://copter131:36493/
[rosmaster.master][INFO] 2012-12-31 16:00:17,987: publisherUpdate[/rosout] -> http://copter131:43190/
[rosmaster.master][INFO] 2012-12-31 16:00:18,090: +SERVICE [/swarm_tracker/get_loggers] /swarm_tracker http://copter131:34600/
