[rospy.client][INFO] 2019-03-28 07:19:24,550: init_node, name[/evader], pid[3177]
[xmlrpc][INFO] 2019-03-28 07:19:24,551: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2019-03-28 07:19:24,552: Started XML-RPC server [http://copter131:40328/]
[rospy.impl.masterslave][INFO] 2019-03-28 07:19:24,553: _ready: http://copter131:40328/
[rospy.init][INFO] 2019-03-28 07:19:24,554: ROS Slave URI: [http://copter131:40328/]
[xmlrpc][INFO] 2019-03-28 07:19:24,555: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2019-03-28 07:19:24,555: Registering with master node http://localhost:11311
[rospy.init][INFO] 2019-03-28 07:19:24,656: registered with master
[rospy.rosout][INFO] 2019-03-28 07:19:24,656: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-28 07:19:24,672: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-28 07:19:24,679: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-28 07:19:24,849: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-28 07:19:24,887: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-28 07:19:25,003: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-28 07:19:26,033: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:41924/], count 0
[rospy.internal][INFO] 2019-03-28 07:19:26,246: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-28 07:19:26,265: topic[/autopilot/acs_pose] adding connection to [http://copter131:47807/], count 0
[rospy.internal][INFO] 2019-03-28 07:19:26,641: topic[/swarm_control/ap_intent] adding connection to [http://copter131:46378/], count 0
[rospy.internal][INFO] 2019-03-28 07:19:26,741: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:46378/], count 0
[rospy.internal][INFO] 2019-03-28 07:19:26,758: topic[/autopilot/status] adding connection to [http://copter131:47807/], count 0
