[rosmaster.main][INFO] 2012-12-31 16:00:16,144: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-31 16:00:16,144: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-31 16:00:16,146: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2012-12-31 16:00:16,147: Started XML-RPC server [http://copter131:11311/]
[rosmaster.master][INFO] 2012-12-31 16:00:16,147: Master initialized: port[11311], uri[http://copter131:11311/]
[xmlrpc][INFO] 2012-12-31 16:00:16,147: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-31 16:00:16,232: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,234: +PARAM [/roslaunch/uris/host_copter131__35678] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,354: +PARAM [/swarm_team] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,355: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,355: +PARAM [/aircraft_name] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,355: +PARAM [/fetch_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,355: +PARAM [/dis_between_land_points] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,355: +PARAM [/network_port] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,356: +PARAM [/aircraft_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,356: +PARAM [/do_deconflict_land] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,356: +PARAM [/subswarm_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,356: +PARAM [/aircraft_type] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,357: +PARAM [/sensor_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,357: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,357: +PARAM [/runway_pt2_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,357: +PARAM [/runway_pt2_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,358: +PARAM [/flight_ready] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,358: +PARAM [/runway_pt1_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,358: +PARAM [/network_device] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,358: +PARAM [/verify_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,358: +PARAM [/rosbag_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,359: +PARAM [/runway_pt1_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,456: +SERVICE [/rosout/get_loggers] /rosout http://copter131:34339/
[rosmaster.master][INFO] 2012-12-31 16:00:16,458: +SERVICE [/rosout/set_logger_level] /rosout http://copter131:34339/
[rosmaster.master][INFO] 2012-12-31 16:00:16,462: +PUB [/rosout_agg] /rosout http://copter131:34339/
[rosmaster.master][INFO] 2012-12-31 16:00:16,471: +SUB [/rosout] /rosout http://copter131:34339/
[rosmaster.master][INFO] 2012-12-31 16:00:17,446: +PUB [/rosout] /radiation_sensor http://copter131:34246/
[rosmaster.master][INFO] 2012-12-31 16:00:17,449: publisherUpdate[/rosout] -> http://copter131:34339/
[rosmaster.master][INFO] 2012-12-31 16:00:17,507: +SERVICE [/radiation_sensor/get_loggers] /radiation_sensor http://copter131:34246/
[rosmaster.master][INFO] 2012-12-31 16:00:17,517: +SERVICE [/radiation_sensor/set_logger_level] /radiation_sensor http://copter131:34246/
[rosmaster.master][INFO] 2012-12-31 16:00:17,529: +PUB [/rosout] /altitude_sensor http://copter131:59017/
[rosmaster.master][INFO] 2012-12-31 16:00:17,541: +PUB [/tactic_interface/radiation] /radiation_sensor http://copter131:34246/
[rosmaster.master][INFO] 2012-12-31 16:00:17,549: publisherUpdate[/rosout] -> http://copter131:34339/
[rosmaster.master][INFO] 2012-12-31 16:00:17,600: +SERVICE [/altitude_sensor/get_loggers] /altitude_sensor http://copter131:59017/
[rosmaster.master][INFO] 2012-12-31 16:00:17,631: +SERVICE [/altitude_sensor/set_logger_level] /altitude_sensor http://copter131:59017/
[rosmaster.master][INFO] 2012-12-31 16:00:17,661: +PUB [/tactic_interface/altitude] /altitude_sensor http://copter131:59017/
[rosmaster.master][INFO] 2012-12-31 16:00:17,768: +SUB [/autopilot/imu] /altitude_sensor http://copter131:59017/
[rosmaster.master][INFO] 2012-12-31 16:00:17,849: +PUB [/rosout] /safety http://copter131:45242/
[rosmaster.master][INFO] 2012-12-31 16:00:17,851: publisherUpdate[/rosout] -> http://copter131:34339/
