[rospy.client][INFO] 2019-03-28 07:19:24,315: init_node, name[/tactic_interface], pid[2988]
[xmlrpc][INFO] 2019-03-28 07:19:24,319: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2019-03-28 07:19:24,322: Started XML-RPC server [http://copter131:41357/]
[rospy.init][INFO] 2019-03-28 07:19:24,322: ROS Slave URI: [http://copter131:41357/]
[rospy.impl.masterslave][INFO] 2019-03-28 07:19:24,323: _ready: http://copter131:41357/
[rospy.registration][INFO] 2019-03-28 07:19:24,324: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2019-03-28 07:19:24,324: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2019-03-28 07:19:24,325: Registering publisher topic [/safety/payload_waypoint] type [autopilot_bridge/LLA] with master
[rospy.registration][INFO] 2019-03-28 07:19:24,354: registering subscriber topic [/autopilot/status] type [autopilot_bridge/Status] with master
[rospy.init][INFO] 2019-03-28 07:19:24,423: registered with master
[rospy.rosout][INFO] 2019-03-28 07:19:24,424: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-28 07:19:24,449: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-28 07:19:24,471: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-28 07:19:24,485: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-28 07:19:24,743: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-28 07:19:24,897: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-28 07:19:26,246: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-28 07:19:26,396: topic[/autopilot/acs_pose] adding connection to [http://copter131:47807/], count 0
[rospy.internal][INFO] 2019-03-28 07:19:26,463: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:41924/], count 0
[rospy.internal][INFO] 2019-03-28 07:19:26,482: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:46378/], count 0
[rospy.internal][INFO] 2019-03-28 07:19:26,657: topic[/swarm_control/ap_intent] adding connection to [http://copter131:46378/], count 0
[rospy.internal][INFO] 2019-03-28 07:19:26,670: topic[/air_to_air/firing_reports] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-28 07:19:26,719: topic[/autopilot/status] adding connection to [http://copter131:47807/], count 0
[rospy.internal][INFO] 2019-03-28 07:19:26,723: topic[/autopilot/waypoint_goto] adding connection to [/autopilot], count 0
[rospy.internal][INFO] 2019-03-28 07:19:26,740: topic[/network/swarm_sub_behavior] adding connection to [/network], count 0
