[rosmaster.main][INFO] 2012-12-31 16:00:16,337: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-31 16:00:16,338: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-31 16:00:16,340: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2012-12-31 16:00:16,340: Started XML-RPC server [http://copter131:11311/]
[rosmaster.master][INFO] 2012-12-31 16:00:16,341: Master initialized: port[11311], uri[http://copter131:11311/]
[xmlrpc][INFO] 2012-12-31 16:00:16,341: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-31 16:00:16,428: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,431: +PARAM [/roslaunch/uris/host_copter131__41390] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,548: +PARAM [/swarm_team] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,549: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,549: +PARAM [/aircraft_name] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,549: +PARAM [/fetch_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,550: +PARAM [/dis_between_land_points] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,550: +PARAM [/network_port] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,550: +PARAM [/aircraft_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,550: +PARAM [/do_deconflict_land] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,551: +PARAM [/subswarm_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,551: +PARAM [/aircraft_type] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,551: +PARAM [/sensor_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,551: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,551: +PARAM [/runway_pt2_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,552: +PARAM [/runway_pt2_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,552: +PARAM [/flight_ready] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,552: +PARAM [/runway_pt1_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,552: +PARAM [/network_device] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,553: +PARAM [/verify_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,553: +PARAM [/rosbag_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,553: +PARAM [/runway_pt1_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,652: +SERVICE [/rosout/get_loggers] /rosout http://copter131:43607/
[rosmaster.master][INFO] 2012-12-31 16:00:16,654: +SERVICE [/rosout/set_logger_level] /rosout http://copter131:43607/
[rosmaster.master][INFO] 2012-12-31 16:00:16,658: +PUB [/rosout_agg] /rosout http://copter131:43607/
[rosmaster.master][INFO] 2012-12-31 16:00:16,667: +SUB [/rosout] /rosout http://copter131:43607/
[rosmaster.master][INFO] 2012-12-31 16:00:17,646: +PUB [/rosout] /radiation_sensor http://copter131:39095/
[rosmaster.master][INFO] 2012-12-31 16:00:17,704: +SERVICE [/radiation_sensor/get_loggers] /radiation_sensor http://copter131:39095/
[rosmaster.master][INFO] 2012-12-31 16:00:17,723: +PUB [/rosout] /altitude_sensor http://copter131:45584/
