[rospy.client][INFO] 2019-03-28 07:34:54,611: init_node, name[/evader], pid[3167]
[xmlrpc][INFO] 2019-03-28 07:34:54,612: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2019-03-28 07:34:54,613: Started XML-RPC server [http://copter131:50167/]
[rospy.init][INFO] 2019-03-28 07:34:54,614: ROS Slave URI: [http://copter131:50167/]
[rospy.impl.masterslave][INFO] 2019-03-28 07:34:54,615: _ready: http://copter131:50167/
[xmlrpc][INFO] 2019-03-28 07:34:54,617: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2019-03-28 07:34:54,618: Registering with master node http://localhost:11311
[rospy.init][INFO] 2019-03-28 07:34:54,715: registered with master
[rospy.rosout][INFO] 2019-03-28 07:34:54,716: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-28 07:34:54,731: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-28 07:34:54,743: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-28 07:34:54,949: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-28 07:34:55,012: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-28 07:34:55,229: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:50171/], count 0
[rospy.internal][INFO] 2019-03-28 07:34:55,413: topic[/autopilot/acs_pose] adding connection to [http://copter131:53836/], count 0
[rospy.internal][INFO] 2019-03-28 07:34:55,563: topic[/autopilot/status] adding connection to [http://copter131:53836/], count 0
[rospy.internal][INFO] 2019-03-28 07:34:55,633: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-28 07:34:55,810: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-28 07:34:55,894: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:40805/], count 0
[rospy.internal][INFO] 2019-03-28 07:34:55,955: topic[/swarm_control/ap_intent] adding connection to [http://copter131:40805/], count 0
