[rospy.client][INFO] 2019-03-28 07:34:54,228: init_node, name[/greedy_shooter], pid[3061]
[xmlrpc][INFO] 2019-03-28 07:34:54,232: XML-RPC server binding to 0.0.0.0:0
[rospy.init][INFO] 2019-03-28 07:34:54,234: ROS Slave URI: [http://copter131:42479/]
[xmlrpc][INFO] 2019-03-28 07:34:54,234: Started XML-RPC server [http://copter131:42479/]
[rospy.impl.masterslave][INFO] 2019-03-28 07:34:54,235: _ready: http://copter131:42479/
[xmlrpc][INFO] 2019-03-28 07:34:54,235: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2019-03-28 07:34:54,236: Registering with master node http://localhost:11311
[rospy.registration][INFO] 2019-03-28 07:34:54,236: Registering publisher topic [/safety/payload_waypoint] type [autopilot_bridge/LLA] with master
[rospy.registration][INFO] 2019-03-28 07:34:55,241: registering subscriber topic [/autopilot/status] type [autopilot_bridge/Status] with master
[rospy.init][INFO] 2019-03-28 07:34:55,337: registered with master
[rospy.rosout][INFO] 2019-03-28 07:34:55,337: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-28 07:34:55,350: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-28 07:34:55,363: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-28 07:34:55,398: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-28 07:34:55,540: topic[/autopilot/status] adding connection to [http://copter131:53836/], count 0
[rospy.internal][INFO] 2019-03-28 07:34:55,576: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-28 07:34:55,909: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:40805/], count 0
[rospy.internal][INFO] 2019-03-28 07:34:55,973: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-28 07:34:55,977: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-28 07:34:55,989: topic[/swarm_control/ap_intent] adding connection to [http://copter131:40805/], count 0
[rospy.internal][INFO] 2019-03-28 07:34:56,091: topic[/autopilot/acs_pose] adding connection to [http://copter131:53836/], count 0
[rospy.internal][INFO] 2019-03-28 07:34:56,127: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:50171/], count 0
[rospy.internal][INFO] 2019-03-28 07:34:56,242: topic[/air_to_air/firing_reports] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-28 07:34:56,248: topic[/autopilot/waypoint_goto] adding connection to [/autopilot], count 0
