[rosmaster.main][INFO] 2012-12-31 16:00:16,431: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-31 16:00:16,431: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-31 16:00:16,433: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2012-12-31 16:00:16,434: Started XML-RPC server [http://copter131:11311/]
[rosmaster.master][INFO] 2012-12-31 16:00:16,434: Master initialized: port[11311], uri[http://copter131:11311/]
[xmlrpc][INFO] 2012-12-31 16:00:16,434: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-31 16:00:16,520: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,523: +PARAM [/roslaunch/uris/host_copter131__50929] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,642: +PARAM [/swarm_team] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,642: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,643: +PARAM [/aircraft_name] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,643: +PARAM [/fetch_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,643: +PARAM [/dis_between_land_points] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,643: +PARAM [/network_port] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,644: +PARAM [/aircraft_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,644: +PARAM [/do_deconflict_land] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,644: +PARAM [/subswarm_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,644: +PARAM [/aircraft_type] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,645: +PARAM [/sensor_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,645: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,645: +PARAM [/runway_pt2_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,645: +PARAM [/runway_pt2_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,645: +PARAM [/flight_ready] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,646: +PARAM [/runway_pt1_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,646: +PARAM [/network_device] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,646: +PARAM [/verify_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,646: +PARAM [/rosbag_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,647: +PARAM [/runway_pt1_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:16,745: +SERVICE [/rosout/get_loggers] /rosout http://copter131:44366/
[rosmaster.master][INFO] 2012-12-31 16:00:16,747: +SERVICE [/rosout/set_logger_level] /rosout http://copter131:44366/
[rosmaster.master][INFO] 2012-12-31 16:00:16,751: +PUB [/rosout_agg] /rosout http://copter131:44366/
[rosmaster.master][INFO] 2012-12-31 16:00:16,760: +SUB [/rosout] /rosout http://copter131:44366/
[rosmaster.master][INFO] 2012-12-31 16:00:17,625: +PUB [/rosout] /altitude_sensor http://copter131:45614/
[rosmaster.master][INFO] 2012-12-31 16:00:17,635: publisherUpdate[/rosout] -> http://copter131:44366/
[rosmaster.master][INFO] 2012-12-31 16:00:17,685: +SERVICE [/altitude_sensor/get_loggers] /altitude_sensor http://copter131:45614/
[rosmaster.master][INFO] 2012-12-31 16:00:17,728: +SERVICE [/altitude_sensor/set_logger_level] /altitude_sensor http://copter131:45614/
[rosmaster.master][INFO] 2012-12-31 16:00:17,733: +PUB [/rosout] /radiation_sensor http://copter131:39095/
[rosmaster.master][INFO] 2012-12-31 16:00:17,742: +PUB [/tactic_interface/altitude] /altitude_sensor http://copter131:45614/
[rosmaster.master][INFO] 2012-12-31 16:00:17,743: publisherUpdate[/rosout] -> http://copter131:44366/
[rosmaster.master][INFO] 2012-12-31 16:00:17,778: +SERVICE [/radiation_sensor/get_loggers] /radiation_sensor http://copter131:39095/
[rosmaster.master][INFO] 2012-12-31 16:00:17,797: +SERVICE [/radiation_sensor/set_logger_level] /radiation_sensor http://copter131:39095/
[rosmaster.master][INFO] 2012-12-31 16:00:17,825: +PUB [/tactic_interface/radiation] /radiation_sensor http://copter131:39095/
[rosmaster.master][INFO] 2012-12-31 16:00:18,066: +PUB [/rosout] /safety http://copter131:56981/
[rosmaster.master][INFO] 2012-12-31 16:00:18,110: +SERVICE [/safety/get_loggers] /safety http://copter131:56981/
[rosmaster.master][INFO] 2012-12-31 16:00:18,117: +SERVICE [/safety/set_logger_level] /safety http://copter131:56981/
[rosmaster.master][INFO] 2012-12-31 16:00:18,144: publisherUpdate[/rosout] -> http://copter131:44366/
[rosmaster.master][INFO] 2012-12-31 16:00:18,321: +PUB [/autopilot/heartbeat_onboard] /safety http://copter131:56981/
[rosmaster.master][INFO] 2012-12-31 16:00:18,349: +PUB [/safety/healthy] /safety http://copter131:56981/
[rosmaster.master][INFO] 2012-12-31 16:00:18,370: +PUB [/autopilot/payload_waypoint] /safety http://copter131:56981/
[rosmaster.master][INFO] 2012-12-31 16:00:18,396: +PUB [/autopilot/payload_rate] /safety http://copter131:56981/
[rosmaster.master][INFO] 2012-12-31 16:00:18,416: +PUB [/rosout] /network http://copter131:38521/
[rosmaster.master][INFO] 2012-12-31 16:00:18,432: +PUB [/autopilot/payload_attitude] /safety http://copter131:56981/
[rosmaster.master][INFO] 2012-12-31 16:00:18,447: publisherUpdate[/rosout] -> http://copter131:44366/
[rosmaster.master][INFO] 2012-12-31 16:00:18,474: +PUB [/rosout] /hit_tracker http://copter131:58640/
[rosmaster.master][INFO] 2012-12-31 16:00:18,491: +SERVICE [/network/get_loggers] /network http://copter131:38521/
[rosmaster.master][INFO] 2012-12-31 16:00:18,541: +SERVICE [/network/set_logger_level] /network http://copter131:38521/
[rosmaster.master][INFO] 2012-12-31 16:00:18,551: publisherUpdate[/rosout] -> http://copter131:44366/
[rosmaster.master][INFO] 2012-12-31 16:00:18,575: +SERVICE [/hit_tracker/get_loggers] /hit_tracker http://copter131:58640/
[rosmaster.master][INFO] 2012-12-31 16:00:18,650: +SERVICE [/hit_tracker/set_logger_level] /hit_tracker http://copter131:58640/
[rosmaster.master][INFO] 2012-12-31 16:00:18,721: +SERVICE [/hit_tracker/reset] /hit_tracker http://copter131:58640/
[rosmaster.master][INFO] 2012-12-31 16:00:18,730: +SUB [/autopilot/heartbeat_ground] /safety http://copter131:56981/
[rosmaster.master][INFO] 2012-12-31 16:00:18,761: +PUB [/rosout] /autopilot http://copter131:53923/
[rosmaster.master][INFO] 2012-12-31 16:00:18,761: publisherUpdate[/rosout] -> http://copter131:44366/
[rosmaster.master][INFO] 2012-12-31 16:00:18,931: +PUB [/rosout] /recv_pose_rate http://copter131:54969/
[rosmaster.master][INFO] 2012-12-31 16:00:18,933: +SERVICE [/autopilot/get_loggers] /autopilot http://copter131:53923/
[rosmaster.master][INFO] 2012-12-31 16:00:18,956: publisherUpdate[/rosout] -> http://copter131:44366/
[rosmaster.master][INFO] 2012-12-31 16:00:19,026: +SERVICE [/autopilot/set_logger_level] /autopilot http://copter131:53923/
[rosmaster.master][INFO] 2012-12-31 16:00:19,108: +PUB [/rosout] /task_runner http://copter131:40691/
[rosmaster.master][INFO] 2012-12-31 16:00:19,135: +SERVICE [/recv_pose_rate/get_loggers] /recv_pose_rate http://copter131:54969/
[rosmaster.master][INFO] 2012-12-31 16:00:19,158: publisherUpdate[/rosout] -> http://copter131:44366/
[rosmaster.master][INFO] 2012-12-31 16:00:19,225: +PARAM [/subswarm_id] by /unnamed
[rosmaster.master][INFO] 2012-12-31 16:00:19,246: +PUB [/rosout] /red_tracker http://copter131:55856/
[rosmaster.master][INFO] 2012-12-31 16:00:19,249: +SERVICE [/recv_pose_rate/set_logger_level] /recv_pose_rate http://copter131:54969/
[rosmaster.master][INFO] 2012-12-31 16:00:19,264: publisherUpdate[/rosout] -> http://copter131:44366/
[rosmaster.master][INFO] 2012-12-31 16:00:19,276: +SUB [/network/recv_swarm_data] /hit_tracker http://copter131:58640/
[rosmaster.master][INFO] 2012-12-31 16:00:19,301: +SUB [/autopilot/acs_pose] /safety http://copter131:56981/
