[rospy.client][INFO] 2019-03-05 08:17:37,643: init_node, name[/evader], pid[3188]
[xmlrpc][INFO] 2019-03-05 08:17:37,645: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2019-03-05 08:17:37,646: Started XML-RPC server [http://copter131:56390/]
[rospy.init][INFO] 2019-03-05 08:17:37,646: ROS Slave URI: [http://copter131:56390/]
[rospy.impl.masterslave][INFO] 2019-03-05 08:17:37,646: _ready: http://copter131:56390/
[xmlrpc][INFO] 2019-03-05 08:17:37,648: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2019-03-05 08:17:37,649: Registering with master node http://localhost:11311
[rospy.init][INFO] 2019-03-05 08:17:37,747: registered with master
[rospy.rosout][INFO] 2019-03-05 08:17:37,748: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-05 08:17:37,763: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-05 08:17:37,773: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-05 08:17:37,947: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-05 08:17:38,080: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-05 08:17:38,205: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-05 08:17:38,266: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:44833/], count 0
[rospy.internal][INFO] 2019-03-05 08:17:38,429: topic[/autopilot/acs_pose] adding connection to [http://copter131:60703/], count 0
[rospy.internal][INFO] 2019-03-05 08:17:39,441: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-05 08:17:39,643: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:50251/], count 0
[rospy.internal][INFO] 2019-03-05 08:17:40,094: topic[/autopilot/status] adding connection to [http://copter131:60703/], count 0
[rospy.internal][INFO] 2019-03-05 08:17:40,615: topic[/swarm_control/ap_intent] adding connection to [http://copter131:50251/], count 0
