[rospy.client][INFO] 2019-03-05 08:17:37,414: init_node, name[/greedy_shooter], pid[3046]
[xmlrpc][INFO] 2019-03-05 08:17:37,415: XML-RPC server binding to 0.0.0.0:0
[rospy.init][INFO] 2019-03-05 08:17:37,417: ROS Slave URI: [http://copter131:46403/]
[xmlrpc][INFO] 2019-03-05 08:17:37,417: Started XML-RPC server [http://copter131:46403/]
[rospy.impl.masterslave][INFO] 2019-03-05 08:17:37,418: _ready: http://copter131:46403/
[xmlrpc][INFO] 2019-03-05 08:17:37,419: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2019-03-05 08:17:37,419: Registering with master node http://localhost:11311
[rospy.registration][INFO] 2019-03-05 08:17:37,419: Registering publisher topic [/safety/payload_waypoint] type [autopilot_bridge/LLA] with master
[rospy.registration][INFO] 2019-03-05 08:17:37,437: registering subscriber topic [/autopilot/status] type [autopilot_bridge/Status] with master
[rospy.init][INFO] 2019-03-05 08:17:37,519: registered with master
[rospy.rosout][INFO] 2019-03-05 08:17:37,519: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-05 08:17:37,539: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-05 08:17:37,553: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-05 08:17:37,734: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-05 08:17:38,079: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-05 08:17:38,728: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-05 08:17:38,737: topic[/autopilot/acs_pose] adding connection to [http://copter131:60703/], count 0
[rospy.internal][INFO] 2019-03-05 08:17:38,754: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:44833/], count 0
[rospy.internal][INFO] 2019-03-05 08:17:38,845: topic[/air_to_air/firing_reports] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-05 08:17:38,860: topic[/autopilot/waypoint_goto] adding connection to [/autopilot], count 0
[rospy.internal][INFO] 2019-03-05 08:17:39,467: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-05 08:17:39,592: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:50251/], count 0
[rospy.internal][INFO] 2019-03-05 08:17:39,655: topic[/swarm_control/ap_intent] adding connection to [http://copter131:50251/], count 0
[rospy.internal][INFO] 2019-03-05 08:17:40,108: topic[/autopilot/status] adding connection to [http://copter131:60703/], count 0
