[rosmaster.main][INFO] 2012-12-31 16:00:18,332: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-31 16:00:18,332: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-31 16:00:18,334: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2012-12-31 16:00:18,335: Started XML-RPC server [http://copter131:11311/]
[rosmaster.master][INFO] 2012-12-31 16:00:18,335: Master initialized: port[11311], uri[http://copter131:11311/]
[xmlrpc][INFO] 2012-12-31 16:00:18,335: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-31 16:00:18,420: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,423: +PARAM [/roslaunch/uris/host_copter131__42889] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,543: +PARAM [/swarm_team] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,543: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,543: +PARAM [/aircraft_name] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,544: +PARAM [/fetch_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,544: +PARAM [/dis_between_land_points] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,544: +PARAM [/network_port] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,544: +PARAM [/aircraft_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,545: +PARAM [/do_deconflict_land] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,545: +PARAM [/subswarm_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,545: +PARAM [/aircraft_type] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,545: +PARAM [/sensor_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,546: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,546: +PARAM [/runway_pt2_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,546: +PARAM [/runway_pt2_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,546: +PARAM [/flight_ready] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,547: +PARAM [/runway_pt1_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,547: +PARAM [/network_device] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,547: +PARAM [/verify_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,547: +PARAM [/rosbag_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,547: +PARAM [/runway_pt1_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,647: +SERVICE [/rosout/get_loggers] /rosout http://copter131:49069/
[rosmaster.master][INFO] 2012-12-31 16:00:18,649: +SERVICE [/rosout/set_logger_level] /rosout http://copter131:49069/
[rosmaster.master][INFO] 2012-12-31 16:00:18,653: +PUB [/rosout_agg] /rosout http://copter131:49069/
[rosmaster.master][INFO] 2012-12-31 16:00:18,662: +SUB [/rosout] /rosout http://copter131:49069/
[rosmaster.master][INFO] 2012-12-31 16:00:19,454: +PUB [/rosout] /altitude_sensor http://copter131:41906/
[rosmaster.master][INFO] 2012-12-31 16:00:19,518: +SERVICE [/altitude_sensor/get_loggers] /altitude_sensor http://copter131:41906/
[rosmaster.master][INFO] 2012-12-31 16:00:19,540: publisherUpdate[/rosout] -> http://copter131:49069/
[rosmaster.master][INFO] 2012-12-31 16:00:19,541: +SERVICE [/altitude_sensor/set_logger_level] /altitude_sensor http://copter131:41906/
[rosmaster.master][INFO] 2012-12-31 16:00:19,571: +PUB [/tactic_interface/altitude] /altitude_sensor http://copter131:41906/
[rosmaster.master][INFO] 2012-12-31 16:00:19,590: +PUB [/rosout] /radiation_sensor http://copter131:50242/
[rosmaster.master][INFO] 2012-12-31 16:00:19,635: +SERVICE [/radiation_sensor/get_loggers] /radiation_sensor http://copter131:50242/
[rosmaster.master][INFO] 2012-12-31 16:00:19,643: publisherUpdate[/rosout] -> http://copter131:49069/
[rosmaster.master][INFO] 2012-12-31 16:00:19,675: +SERVICE [/radiation_sensor/set_logger_level] /radiation_sensor http://copter131:50242/
[rosmaster.master][INFO] 2012-12-31 16:00:19,684: +PUB [/tactic_interface/radiation] /radiation_sensor http://copter131:50242/
[rosmaster.master][INFO] 2012-12-31 16:00:20,030: +PUB [/rosout] /safety http://copter131:41580/
[rosmaster.master][INFO] 2012-12-31 16:00:20,045: publisherUpdate[/rosout] -> http://copter131:49069/
[rosmaster.master][INFO] 2012-12-31 16:00:20,076: +PUB [/rosout] /network http://copter131:56070/
[rosmaster.master][INFO] 2012-12-31 16:00:20,100: +SERVICE [/safety/get_loggers] /safety http://copter131:41580/
[rosmaster.master][INFO] 2012-12-31 16:00:20,131: +SERVICE [/safety/set_logger_level] /safety http://copter131:41580/
[rosmaster.master][INFO] 2012-12-31 16:00:20,146: +SERVICE [/network/get_loggers] /network http://copter131:56070/
[rosmaster.master][INFO] 2012-12-31 16:00:20,149: publisherUpdate[/rosout] -> http://copter131:49069/
[rosmaster.master][INFO] 2012-12-31 16:00:20,196: +SERVICE [/network/set_logger_level] /network http://copter131:56070/
[rosmaster.master][INFO] 2012-12-31 16:00:20,433: +PUB [/rosout] /hit_tracker http://copter131:44833/
[rosmaster.master][INFO] 2012-12-31 16:00:20,452: publisherUpdate[/rosout] -> http://copter131:49069/
[rosmaster.master][INFO] 2012-12-31 16:00:20,500: +PUB [/autopilot/heartbeat_onboard] /safety http://copter131:41580/
[rosmaster.master][INFO] 2012-12-31 16:00:20,541: +SERVICE [/hit_tracker/get_loggers] /hit_tracker http://copter131:44833/
[rosmaster.master][INFO] 2012-12-31 16:00:20,566: +PUB [/safety/healthy] /safety http://copter131:41580/
[rosmaster.master][INFO] 2012-12-31 16:00:20,630: +SERVICE [/hit_tracker/set_logger_level] /hit_tracker http://copter131:44833/
[rosmaster.master][INFO] 2012-12-31 16:00:20,651: +PUB [/autopilot/payload_waypoint] /safety http://copter131:41580/
[rosmaster.master][INFO] 2012-12-31 16:00:20,703: +SERVICE [/hit_tracker/reset] /hit_tracker http://copter131:44833/
[rosmaster.master][INFO] 2012-12-31 16:00:20,708: +PUB [/autopilot/payload_rate] /safety http://copter131:41580/
[rosmaster.master][INFO] 2012-12-31 16:00:20,745: +SUB [/swarm_control/subswarm_id] /network http://copter131:56070/
[rosmaster.master][INFO] 2012-12-31 16:00:20,796: +PUB [/autopilot/payload_attitude] /safety http://copter131:41580/
[rosmaster.master][INFO] 2012-12-31 16:00:20,820: +PUB [/rosout] /autopilot http://copter131:60703/
[rosmaster.master][INFO] 2012-12-31 16:00:20,826: +PUB [/rosout] /recv_pose_rate http://copter131:41862/
[rosmaster.master][INFO] 2012-12-31 16:00:20,845: +PARAM [/subswarm_id] by /unnamed
[rosmaster.master][INFO] 2012-12-31 16:00:20,855: publisherUpdate[/rosout] -> http://copter131:49069/
[rosmaster.master][INFO] 2012-12-31 16:00:20,860: publisherUpdate[/rosout] -> http://copter131:49069/
[rosmaster.master][INFO] 2012-12-31 16:00:20,916: +PUB [/rosout] /task_runner http://copter131:42403/
[rosmaster.master][INFO] 2012-12-31 16:00:20,956: publisherUpdate[/rosout] -> http://copter131:49069/
[rosmaster.master][INFO] 2012-12-31 16:00:21,010: +SERVICE [/autopilot/get_loggers] /autopilot http://copter131:60703/
[rosmaster.master][INFO] 2012-12-31 16:00:21,045: +SERVICE [/recv_pose_rate/get_loggers] /recv_pose_rate http://copter131:41862/
[rosmaster.master][INFO] 2012-12-31 16:00:21,063: +SERVICE [/autopilot/set_logger_level] /autopilot http://copter131:60703/
[rosmaster.master][INFO] 2012-12-31 16:00:21,085: +SERVICE [/task_runner/get_loggers] /task_runner http://copter131:42403/
[rosmaster.master][INFO] 2012-12-31 16:00:21,120: +SERVICE [/recv_pose_rate/set_logger_level] /recv_pose_rate http://copter131:41862/
[rosmaster.master][INFO] 2012-12-31 16:00:21,141: +SERVICE [/task_runner/set_logger_level] /task_runner http://copter131:42403/
[rosmaster.master][INFO] 2012-12-31 16:00:21,171: +SUB [/network/recv_swarm_data] /hit_tracker http://copter131:44833/
[rosmaster.master][INFO] 2012-12-31 16:00:21,185: +PUB [/rosout] /swarm_tracker http://copter131:36138/
[rosmaster.master][INFO] 2012-12-31 16:00:21,233: +PUB [/rosout] /swarm_control http://copter131:50251/
[rosmaster.master][INFO] 2012-12-31 16:00:21,256: +SUB [/swarm_control/swarm_behavior] /network http://copter131:56070/
[rosmaster.master][INFO] 2012-12-31 16:00:21,259: publisherUpdate[/rosout] -> http://copter131:49069/
[rosmaster.master][INFO] 2012-12-31 16:00:21,275: publisherUpdate[/rosout] -> http://copter131:49069/
[rosmaster.master][INFO] 2012-12-31 16:00:21,336: +SUB [/autopilot/heartbeat_ground] /safety http://copter131:41580/
[rosmaster.master][INFO] 2012-12-31 16:00:21,390: +SERVICE [/swarm_tracker/get_loggers] /swarm_tracker http://copter131:36138/
[rosmaster.master][INFO] 2012-12-31 16:00:21,484: +SERVICE [/swarm_control/get_loggers] /swarm_control http://copter131:50251/
[rosmaster.master][INFO] 2012-12-31 16:00:21,516: +SERVICE [/swarm_tracker/set_logger_level] /swarm_tracker http://copter131:36138/
[rosmaster.master][INFO] 2012-12-31 16:00:21,571: +SERVICE [/swarm_control/set_logger_level] /swarm_control http://copter131:50251/
[rosmaster.master][INFO] 2012-12-31 16:00:21,691: +SERVICE [/swarm_control/register_behavior] /swarm_control http://copter131:50251/
[rosmaster.master][INFO] 2012-12-31 16:00:21,733: +SUB [/network/recv_pose] /recv_pose_rate http://copter131:41862/
[rosmaster.master][INFO] 2012-12-31 16:00:21,747: +SUB [/autopilot/status] /task_runner http://copter131:42403/
[rosmaster.master][INFO] 2012-12-31 16:00:21,775: +SERVICE [/swarm_control/run_behavior] /swarm_control http://copter131:50251/
[rosmaster.master][INFO] 2012-12-31 16:00:21,826: +PUB [/logging/recv_pose_rate] /recv_pose_rate http://copter131:41862/
[rosmaster.master][INFO] 2012-12-31 16:00:21,886: +SERVICE [/swarm_control/pause_behavior] /swarm_control http://copter131:50251/
[rosmaster.master][INFO] 2012-12-31 16:00:21,928: +SUB [/autopilot/acs_pose] /safety http://copter131:41580/
[rosmaster.master][INFO] 2012-12-31 16:00:21,941: +PUB [/rosout] /independent_transit http://copter131:41739/
[rosmaster.master][INFO] 2019-03-05 08:17:36,165: publisherUpdate[/rosout] -> http://copter131:49069/
[rosmaster.master][INFO] 2019-03-05 08:17:36,167: +SERVICE [/swarm_control/set_subswarm] /swarm_control http://copter131:50251/
[rosmaster.master][INFO] 2019-03-05 08:17:36,183: +PUB [/rosout] /simple_ground_attack http://copter131:59529/
[rosmaster.master][INFO] 2019-03-05 08:17:36,183: publisherUpdate[/rosout] -> http://copter131:49069/
[rosmaster.master][INFO] 2019-03-05 08:17:36,307: +SERVICE [/swarm_control/set_swarm_state] /swarm_control http://copter131:50251/
[rosmaster.master][INFO] 2019-03-05 08:17:36,377: +SERVICE [/independent_transit/get_loggers] /independent_transit http://copter131:41739/
[rosmaster.master][INFO] 2019-03-05 08:17:36,423: +SERVICE [/simple_ground_attack/get_loggers] /simple_ground_attack http://copter131:59529/
[rosmaster.master][INFO] 2019-03-05 08:17:36,432: +SUB [/network/net_reset] /hit_tracker http://copter131:44833/
[rosmaster.master][INFO] 2019-03-05 08:17:36,483: +SERVICE [/independent_transit/set_logger_level] /independent_transit http://copter131:41739/
[rosmaster.master][INFO] 2019-03-05 08:17:36,525: +SERVICE [/simple_ground_attack/set_logger_level] /simple_ground_attack http://copter131:59529/
[rosmaster.master][INFO] 2019-03-05 08:17:36,552: +PUB [/hit_tracker/hit_uavs] /hit_tracker http://copter131:44833/
