[rospy.client][INFO] 2012-12-31 16:00:19,950: init_node, name[/network], pid[2838]
[xmlrpc][INFO] 2012-12-31 16:00:19,951: XML-RPC server binding to 0.0.0.0:0
[rospy.init][INFO] 2012-12-31 16:00:19,953: ROS Slave URI: [http://copter131:56070/]
[xmlrpc][INFO] 2012-12-31 16:00:19,954: Started XML-RPC server [http://copter131:56070/]
[rospy.impl.masterslave][INFO] 2012-12-31 16:00:19,954: _ready: http://copter131:56070/
[xmlrpc][INFO] 2012-12-31 16:00:19,954: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2012-12-31 16:00:19,956: Registering with master node http://localhost:11311
[rospy.init][INFO] 2012-12-31 16:00:20,054: registered with master
[rospy.rosout][INFO] 2012-12-31 16:00:20,055: initializing /rosout core topic
[rospy.rosout][INFO] 2012-12-31 16:00:20,080: connected to core topic /rosout
[rospy.simtime][INFO] 2012-12-31 16:00:20,096: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2012-12-31 16:00:20,375: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-05 08:17:38,168: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:59529/], count 0
[rospy.internal][INFO] 2019-03-05 08:17:38,176: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:36353/], count 1
[rospy.internal][INFO] 2019-03-05 08:17:38,177: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:60309/], count 1
[rospy.internal][INFO] 2019-03-05 08:17:38,194: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:47960/], count 3
[rospy.internal][INFO] 2019-03-05 08:17:38,194: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:50526/], count 3
[rospy.internal][INFO] 2019-03-05 08:17:38,198: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:59482/], count 5
[rospy.internal][INFO] 2019-03-05 08:17:38,203: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:56390/], count 6
[rospy.internal][INFO] 2019-03-05 08:17:38,413: topic[/autopilot/acs_pose] adding connection to [http://copter131:60703/], count 0
[rospy.internal][INFO] 2019-03-05 08:17:38,419: topic[/network/recv_pose] adding connection to [/recv_pose_rate], count 0
[rospy.internal][INFO] 2019-03-05 08:17:38,502: topic[/autopilot/heartbeat_ground] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-05 08:17:38,530: topic[/autopilot/heartbeat_ground] adding connection to [/autopilot], count 1
[rospy.internal][INFO] 2019-03-05 08:17:38,537: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:56520/], count 7
[rospy.internal][INFO] 2019-03-05 08:17:38,540: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:37350/], count 8
[rospy.internal][INFO] 2019-03-05 08:17:38,657: topic[/air_to_air/firing_reports] adding connection to [http://copter131:59482/], count 0
[rospy.internal][INFO] 2019-03-05 08:17:38,659: topic[/air_to_air/firing_reports] adding connection to [http://copter131:50526/], count 0
[rospy.internal][INFO] 2019-03-05 08:17:38,659: topic[/air_to_air/firing_reports] adding connection to [http://copter131:56520/], count 1
[rospy.internal][INFO] 2019-03-05 08:17:38,726: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:46403/], count 9
[rospy.internal][INFO] 2019-03-05 08:17:38,843: topic[/air_to_air/firing_reports] adding connection to [http://copter131:46403/], count 3
[rospy.internal][INFO] 2019-03-05 08:17:38,960: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:41739/], count 10
[rospy.internal][INFO] 2019-03-05 08:17:39,176: topic[/network/swarm_sub_behavior] adding connection to [http://copter131:35783/], count 0
[rospy.internal][INFO] 2019-03-05 08:17:39,184: topic[/air_to_air/firing_reports] adding connection to [http://copter131:35783/], count 4
[rospy.internal][INFO] 2019-03-05 08:17:39,191: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:35783/], count 11
[rospy.internal][INFO] 2019-03-05 08:17:39,237: topic[/network/recv_pose] adding connection to [/swarm_tracker], count 1
[rospy.internal][INFO] 2019-03-05 08:17:39,253: topic[/network/recv_swarm_ctl_state] adding connection to [/swarm_tracker], count 0
[rospy.internal][INFO] 2019-03-05 08:17:39,365: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:34832/], count 12
[rospy.internal][INFO] 2019-03-05 08:17:39,487: topic[/air_to_air/firing_reports] adding connection to [http://copter131:34832/], count 5
[rospy.internal][INFO] 2019-03-05 08:17:39,553: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:50251/], count 0
[rospy.internal][INFO] 2019-03-05 08:17:39,608: topic[/swarm_control/swarm_state] adding connection to [http://copter131:50251/], count 0
[rospy.internal][INFO] 2019-03-05 08:17:39,627: topic[/swarm_control/swarm_behavior] adding connection to [http://copter131:50251/], count 0
[rospy.internal][INFO] 2019-03-05 08:17:39,679: topic[/swarm_control/behavior_summary] adding connection to [http://copter131:50251/], count 0
[rospy.internal][INFO] 2019-03-05 08:17:40,086: topic[/autopilot/status] adding connection to [http://copter131:60703/], count 0
