[rospy.client][INFO] 2012-12-31 16:00:21,767: init_node, name[/simple_ground_attack], pid[2979]
[xmlrpc][INFO] 2012-12-31 16:00:21,785: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2012-12-31 16:00:21,786: Started XML-RPC server [http://copter131:59529/]
[rospy.impl.masterslave][INFO] 2012-12-31 16:00:21,786: _ready: http://copter131:59529/
[rospy.init][INFO] 2012-12-31 16:00:21,789: ROS Slave URI: [http://copter131:59529/]
[xmlrpc][INFO] 2012-12-31 16:00:21,814: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2012-12-31 16:00:21,816: Registering with master node http://localhost:11311
[rospy.init][INFO] 2012-12-31 16:00:21,890: registered with master
[rospy.rosout][INFO] 2012-12-31 16:00:21,891: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-05 08:17:36,188: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-05 08:17:36,304: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-05 08:17:36,424: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-05 08:17:37,485: topic[/autopilot/waypoint_goto] adding connection to [/autopilot], count 0
[rospy.internal][INFO] 2019-03-05 08:17:38,076: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-05 08:17:38,199: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-05 08:17:38,267: topic[/safety/payload_rate] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-05 08:17:39,423: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-05 08:17:39,560: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:50251/], count 0
[rospy.internal][INFO] 2019-03-05 08:17:39,631: topic[/swarm_control/ap_intent] adding connection to [http://copter131:50251/], count 0
[rospy.internal][INFO] 2019-03-05 08:17:40,062: topic[/autopilot/status] adding connection to [http://copter131:60703/], count 0
